Date	Open	High	Low	Close	Adj Close	Volume
1993-01-29	24.40	24.40	24.28	24.38		1003200.00
1993-02-01	24.40	24.55	24.40	24.55		480500.00
1993-02-02	24.54	24.62	24.48	24.61		201300.00
1993-02-03	24.64	24.88	24.62	24.87		529400.00
1993-02-04	24.95	25.02	24.68	24.97		531500.00
1993-02-05	24.95	25.00	24.81	24.95		492100.00
1993-02-08	24.95	25.04	24.92	24.95		596100.00
1993-02-09	24.87	24.87	24.73	24.78		122100.00
1993-02-10	24.78	24.83	24.71	24.81		379600.00
1993-02-11	24.85	25.04	24.85	24.94		19500.00
1993-02-12	24.90	24.90	24.74	24.74		42500.00
1993-02-16	24.68	24.68	24.09	24.12		374800.00
1993-02-17	24.12	24.16	24.02	24.10		210900.00
1993-02-18	24.38	24.38	23.76	24.09		378100.00
1993-02-19	24.09	24.17	24.05	24.17		34900.00
1993-02-22	24.24	24.29	24.17	24.26		513600.00
1993-02-23	24.33	24.35	24.12	24.24		373700.00
1993-02-24	24.26	24.55	24.26	24.55		26300.00
1993-02-25	24.54	24.62	24.48	24.61		44500.00
1993-02-26	24.66	24.66	24.52	24.64		66200.00
1993-03-01	24.73	24.73	24.54	24.57		66500.00
1993-03-02	24.59	24.94	24.55	24.94		182400.00
1993-03-03	24.97	25.06	24.94	25.04		280100.00
1993-03-04	25.07	25.07	24.90	24.90		89500.00
1993-03-05	24.94	25.04	24.81	24.83		40000.00
1993-03-08	24.88	25.39	24.88	25.39		50800.00
1993-03-09	25.33	25.35	25.25	25.30		169300.00
1993-03-10	25.30	25.35	25.20	25.35		194400.00
1993-03-11	25.37	25.44	25.25	25.28		70900.00
1993-03-12	25.07	25.09	24.87	25.02		643600.00
1993-03-15	25.00	25.14	25.00	25.14		310800.00
1993-03-16	25.14	25.21	25.14	25.14		30800.00
1993-03-17	25.11	25.11	24.95	24.99		21800.00
1993-03-18	25.09	25.25	25.09	25.14		59300.00
1993-03-19	25.24	25.24	25.11	25.11		66900.00
1993-03-22	24.86	25.02	24.84	24.97		183400.00
1993-03-23	25.04	25.05	24.98	25.02		55200.00
1993-03-24	24.98	25.12	24.86	25.02		37200.00
1993-03-25	25.04	25.23	25.00	25.18		110100.00
1993-03-26	25.16	25.18	25.02	25.04		101500.00
1993-03-29	25.05	25.26	25.05	25.14		87100.00
1993-03-30	25.18	25.21	25.14	25.21		56000.00
1993-03-31	25.28	25.35	25.19	25.19		111600.00
1993-04-01	25.23	25.23	25.05	25.11		129500.00
1993-04-02	24.90	24.90	24.58	24.58		59400.00
1993-04-05	24.77	24.77	24.63	24.70		172200.00
1993-04-06	24.76	24.76	24.57	24.63		129700.00
1993-04-07	24.67	24.72	24.62	24.72		28000.00
1993-04-08	24.83	24.83	24.58	24.69		180800.00
1993-04-12	24.93	25.05	24.90	25.04		348500.00
1993-04-13	25.02	25.18	25.00	25.09		146100.00
1993-04-14	25.11	25.12	25.04	25.05		119600.00
1993-04-15	25.04	25.11	24.95	25.05		148600.00
1993-04-16	25.07	25.11	25.02	25.05		47900.00
1993-04-19	25.05	25.12	24.93	24.95		157000.00
1993-04-20	24.91	24.95	24.67	24.83		279500.00
1993-04-21	24.88	24.88	24.74	24.81		67900.00
1993-04-22	24.70	24.91	24.50	24.50		97700.00
1993-04-23	24.44	24.51	24.36	24.39		106000.00
1993-04-26	24.41	24.50	24.13	24.20		62600.00
1993-04-27	24.16	24.46	24.16	24.46		156800.00
1993-04-28	24.43	24.48	24.37	24.41		85900.00
1993-04-29	24.46	24.51	24.32	24.51		85000.00
1993-04-30	24.60	24.69	24.55	24.55		88500.00
1993-05-03	24.58	24.70	24.48	24.70		80500.00
1993-05-04	24.76	24.88	24.72	24.79		149100.00
1993-05-05	24.79	24.95	24.79	24.86		109000.00
1993-05-06	24.83	24.84	24.76	24.77		54700.00
1993-05-07	24.79	24.79	24.69	24.72		68000.00
1993-05-10	24.76	24.91	24.76	24.77		113900.00
1993-05-11	24.77	24.88	24.70	24.88		42600.00
1993-05-12	24.77	24.86	24.77	24.84		31000.00
1993-05-13	24.74	24.74	24.53	24.55		129100.00
1993-05-14	24.55	24.62	24.51	24.53		63500.00
1993-05-17	24.60	24.62	24.50	24.62		34000.00
1993-05-18	24.63	24.65	24.51	24.60		105200.00
1993-05-19	24.60	25.11	24.44	25.11		50200.00
1993-05-20	25.11	25.18	25.05	25.18		98200.00
1993-05-21	25.19	25.23	24.93	24.95		221400.00
1993-05-24	25.00	25.14	25.00	25.05		30500.00
1993-05-25	25.16	25.16	25.11	25.11		191800.00
1993-05-26	25.18	25.44	25.16	25.42		102400.00
1993-05-27	25.45	25.45	25.30	25.33		53800.00
1993-05-28	25.31	25.31	25.09	25.21		79100.00
