Date	Close	High	Low	Open	Volume
	STE	STE	STE	STE	STE
1992-06-01	1.50	1.50	1.32	1.32	3012000
1992-06-02	1.52	1.55	1.45	1.50	1220800
1992-06-03	1.77	1.77	1.50	1.55	1423200
1992-06-04	1.77	1.86	1.73	1.86	883200
1992-06-05	1.68	1.77	1.55	1.77	413600
1992-06-08	1.68	1.68	1.59	1.68	307200
1992-06-09	1.45	1.68	1.41	1.68	175200
1992-06-10	1.59	1.59	1.45	1.45	70400
1992-06-11	1.59	1.59	1.50	1.59	120800
1992-06-12	1.68	1.68	1.59	1.64	151600
1992-06-15	1.73	1.73	1.64	1.68	238800
1992-06-16	1.68	1.73	1.61	1.73	165200
1992-06-17	1.45	1.64	1.41	1.55	322800
1992-06-18	1.43	1.55	1.41	1.50	112000
1992-06-19	1.55	1.55	1.50	1.50	26800
1992-06-22	1.45	1.55	1.41	1.55	94800
1992-06-23	1.55	1.55	1.50	1.55	63200
1992-06-24	1.45	1.55	1.45	1.55	549600
1992-06-25	1.55	1.59	1.50	1.59	110800
1992-06-26	1.59	1.59	1.50	1.59	20000
1992-06-29	1.68	1.68	1.55	1.59	59600
1992-06-30	1.68	1.68	1.61	1.68	26800
1992-07-01	1.68	1.77	1.64	1.68	644800
1992-07-02	1.50	1.77	1.43	1.77	1184400
1992-07-06	1.55	1.55	1.45	1.55	66400
1992-07-07	1.41	1.55	1.41	1.55	70000
1992-07-08	1.45	1.45	1.36	1.45	523200
1992-07-09	1.50	1.50	1.45	1.50	15600
1992-07-10	1.59	1.59	1.50	1.50	27200
1992-07-13	1.59	1.59	1.55	1.59	42000
1992-07-14	1.59	1.59	1.50	1.55	122000
1992-07-15	1.59	1.73	1.55	1.59	91200
1992-07-16	1.59	1.73	1.59	1.73	23600
1992-07-17	1.68	1.73	1.59	1.59	44000
1992-07-20	1.68	1.68	1.59	1.64	47200
1992-07-21	1.77	1.82	1.64	1.73	382800
1992-07-22	1.64	1.77	1.64	1.77	113200
1992-07-23	1.61	1.68	1.59	1.59	56400
1992-07-24	1.64	1.64	1.55	1.64	82000
1992-07-27	1.59	1.68	1.59	1.64	38800
1992-07-28	1.77	1.77	1.64	1.64	144000
1992-07-29	1.82	1.86	1.68	1.77	251200
1992-07-30	1.86	1.91	1.73	1.86	152000
1992-07-31	1.86	1.91	1.82	1.91	216800
1992-08-03	1.91	1.91	1.82	1.86	206400
1992-08-04	1.82	1.91	1.82	1.82	29600
1992-08-05	1.95	2.00	1.82	1.82	188000
1992-08-06	1.91	1.96	1.91	1.96	86000
1992-08-07	1.93	2.00	1.86	1.95	72400
1992-08-10	1.95	1.95	1.95	1.95	10400
1992-08-11	1.91	2.00	1.86	1.96	67600
