Date	Open	High	Low	Close	Volume
1996-11-22	2.79	2.97	2.69	2.97	16753600.00
1996-11-25	2.89	2.95	2.71	2.85	3246400.00
1996-11-26	2.89	2.89	2.77	2.81	1731600.00
1996-11-27	2.87	2.87	2.79	2.79	626400.00
1996-11-29	2.87	2.91	2.79	2.91	374000.00
1996-12-02	2.91	2.91	2.79	2.81	490400.00
1996-12-03	2.87	2.87	2.79	2.87	803200.00
1996-12-04	2.83	2.87	2.75	2.87	299200.00
1996-12-05	2.91	2.91	2.79	2.83	568000.00
1996-12-06	2.75	2.85	2.67	2.85	551600.00
1996-12-09	2.79	2.87	2.79	2.79	886800.00
1996-12-10	2.79	2.91	2.79	2.81	971200.00
1996-12-11	2.89	2.89	2.79	2.87	202800.00
1996-12-12	2.79	2.87	2.79	2.85	398000.00
1996-12-13	2.79	2.87	2.79	2.85	465200.00
1996-12-16	2.81	2.91	2.79	2.79	862000.00
1996-12-17	2.77	2.89	2.77	2.83	696800.00
1996-12-18	2.91	2.97	2.85	2.97	224000.00
1996-12-19	2.99	3.35	2.91	3.11	1774800.00
1996-12-20	3.19	3.19	3.07	3.15	679600.00
1996-12-23	3.15	3.15	3.07	3.13	422800.00
1996-12-24	3.13	3.13	3.03	3.07	64400.00
1996-12-26	3.07	3.07	2.99	3.03	166400.00
1996-12-27	3.03	3.11	3.03	3.05	346000.00
1996-12-30	3.03	3.09	3.03	3.09	136400.00
1996-12-31	3.09	3.09	2.99	3.05	77200.00
1997-01-02	3.05	3.05	2.99	3.03	267200.00
1997-01-03	3.03	3.15	3.03	3.11	223600.00
1997-01-06	3.13	3.25	3.09	3.23	296800.00
1997-01-07	3.23	3.61	3.21	3.47	1013600.00
1997-01-08	3.51	3.51	3.33	3.47	1590800.00
1997-01-09	3.41	3.59	3.41	3.53	778800.00
1997-01-10	3.59	3.80	3.51	3.78	946000.00
1997-01-13	3.74	3.84	3.72	3.80	761200.00
1997-01-14	3.82	3.82	3.70	3.74	253200.00
1997-01-15	3.74	3.74	3.59	3.63	448000.00
1997-01-16	3.68	3.68	3.63	3.68	556400.00
1997-01-17	3.68	3.72	3.65	3.72	83200.00
1997-01-20	3.74	3.90	3.66	3.88	396000.00
1997-01-21	3.94	4.04	3.86	3.92	768400.00
1997-01-22	3.94	3.94	3.59	3.70	508000.00
1997-01-23	3.63	3.70	3.39	3.45	603200.00
