Date	Close	High	Low	Open	Volume
	STM	STM	STM	STM	STM
1994-12-08	2.21	2.22	2.21	2.21	41167800
1994-12-09	2.18	2.21	2.17	2.21	2685000
1994-12-12	2.21	2.21	2.18	2.18	928200
1994-12-13	2.16	2.21	2.16	2.21	992400
1994-12-14	2.16	2.16	2.14	2.16	700800
1994-12-15	2.14	2.16	2.14	2.14	1671600
1994-12-16	2.17	2.17	2.14	2.16	1111800
1994-12-19	2.16	2.17	2.14	2.17	284400
1994-12-20	2.17	2.17	2.16	2.16	930000
1994-12-21	2.18	2.19	2.16	2.16	264000
1994-12-22	2.18	2.18	2.17	2.18	294000
1994-12-23	2.18	2.18	2.17	2.18	67800
1994-12-27	2.22	2.22	2.19	2.21	1027200
1994-12-28	2.21	2.22	2.21	2.22	486000
1994-12-29	2.22	2.22	2.21	2.22	39000
1994-12-30	2.26	2.26	2.21	2.22	258000
1995-01-03	2.32	2.32	2.23	2.26	1914000
1995-01-04	2.40	2.45	2.35	2.35	1012800
1995-01-05	2.43	2.43	2.40	2.40	981000
1995-01-06	2.45	2.47	2.43	2.43	261600
1995-01-09	2.60	2.60	2.52	2.53	660000
1995-01-10	2.61	2.65	2.60	2.65	618000
1995-01-11	2.55	2.66	2.55	2.63	2096400
1995-01-12	2.55	2.57	2.53	2.53	468600
1995-01-13	2.54	2.55	2.52	2.55	472200
1995-01-16	2.61	2.61	2.57	2.58	241800
1995-01-17	2.63	2.63	2.57	2.63	910200
1995-01-18	2.64	2.65	2.63	2.64	222000
1995-01-19	2.60	2.65	2.60	2.65	1236000
1995-01-20	2.53	2.60	2.53	2.60	768600
1995-01-23	2.44	2.45	2.43	2.45	258000
1995-01-24	2.49	2.49	2.45	2.47	28800
1995-01-25	2.52	2.52	2.48	2.48	58200
1995-01-26	2.50	2.50	2.47	2.50	483000
1995-01-27	2.52	2.52	2.49	2.49	237600
1995-01-30	2.50	2.50	2.48	2.49	65400
1995-01-31	2.47	2.50	2.47	2.50	870600
1995-02-01	2.49	2.50	2.48	2.48	174600
1995-02-02	2.49	2.49	2.48	2.49	211200
1995-02-03	2.50	2.52	2.48	2.48	324000
1995-02-06	2.50	2.54	2.50	2.52	226200
1995-02-07	2.49	2.54	2.47	2.52	429000
1995-02-08	2.52	2.52	2.48	2.50	257400
1995-02-09	2.54	2.55	2.53	2.54	664800
1995-02-10	2.60	2.61	2.53	2.53	356400
1995-02-13	2.59	2.61	2.59	2.61	871800
1995-02-14	2.55	2.59	2.55	2.59	355800
1995-02-15	2.53	2.55	2.53	2.55	90600
1995-02-16	2.50	2.53	2.50	2.53	2152200
1995-02-17	2.53	2.53	2.52	2.52	20400
1995-02-21	2.52	2.55	2.50	2.55	36600
1995-02-22	2.52	2.52	2.49	2.50	67200
1995-02-23	2.52	2.53	2.50	2.52	418200
