Date	Open	High	Low	Close	Volume
2002-12-11	5.31	5.55	5.20	5.31	36719700.00
2002-12-12	5.31	5.36	5.09	5.17	9195600.00
2002-12-13	5.13	5.31	5.06	5.28	7739400.00
2002-12-16	5.23	5.37	5.14	5.37	3836400.00
2002-12-17	5.36	5.44	5.29	5.31	2729900.00
2002-12-18	5.28	5.28	5.14	5.18	2152800.00
2002-12-19	5.15	5.18	4.95	4.97	6450800.00
2002-12-20	5.01	5.06	4.88	5.00	2930900.00
2002-12-23	4.95	4.95	4.71	4.81	3455900.00
2002-12-24	4.81	4.83	4.62	4.73	3302500.00
2002-12-26	4.64	4.71	4.62	4.64	2019200.00
2002-12-27	4.62	4.68	4.56	4.68	1639400.00
2002-12-30	4.72	4.88	4.62	4.84	2742800.00
2002-12-31	4.76	5.07	4.76	4.96	3730800.00
2003-01-02	4.97	4.97	4.74	4.85	3473000.00
2003-01-03	4.85	4.97	4.77	4.97	1716600.00
2003-01-06	5.04	5.35	5.01	5.28	4041400.00
2003-01-07	5.31	5.66	5.27	5.66	6823500.00
2003-01-08	5.57	5.66	5.52	5.64	4623100.00
2003-01-09	5.68	5.99	5.66	5.82	9553400.00
2003-01-10	5.31	5.52	4.95	5.13	7554700.00
2003-01-13	5.15	5.21	4.69	4.73	2834700.00
2003-01-14	4.73	4.78	4.62	4.74	1629200.00
2003-01-15	4.79	5.03	4.71	4.98	2588100.00
2003-01-16	5.07	5.13	4.98	5.09	1443400.00
2003-01-17	5.07	5.08	4.81	4.99	2000000.00
2003-01-21	5.04	5.07	4.72	4.73	1165700.00
2003-01-22	4.78	4.78	4.30	4.40	3488500.00
2003-01-23	4.51	4.69	4.44	4.62	2498200.00
2003-01-24	4.70	4.82	4.53	4.60	2772100.00
2003-01-27	4.53	4.58	4.31	4.32	1150600.00
2003-01-28	4.36	4.49	4.34	4.34	1267000.00
2003-01-29	4.35	4.58	4.34	4.50	1174400.00
2003-01-30	4.52	4.57	4.34	4.34	720700.00
2003-01-31	4.30	4.32	4.15	4.24	1402500.00
2003-02-03	4.27	4.37	4.23	4.24	1002400.00
2003-02-04	4.24	4.24	4.14	4.18	1087700.00
2003-02-05	4.21	4.26	4.15	4.18	1233500.00
2003-02-06	4.21	4.32	4.17	4.18	923500.00
2003-02-07	4.23	4.24	4.14	4.16	1069500.00
2003-02-10	4.04	4.04	3.60	4.02	10046400.00
2003-02-11	4.02	4.13	3.80	4.13	2238900.00
2003-02-12	4.15	4.15	3.79	3.87	1726000.00
2003-02-13	3.87	3.92	3.71	3.74	2111000.00
2003-02-14	3.74	3.90	3.74	3.90	881000.00
2003-02-18	3.90	4.05	3.89	4.05	2049100.00
2003-02-19	4.09	4.17	4.05	4.17	1506300.00
2003-02-20	4.12	4.24	4.11	4.18	760000.00
2003-02-21	4.19	4.34	4.19	4.27	1519300.00
2003-02-24	4.29	4.36	4.12	4.17	1055600.00
2003-02-25	4.17	4.52	4.16	4.49	3049400.00
2003-02-26	4.47	4.52	4.37	4.41	782300.00
2003-02-27	4.37	4.49	4.32	4.38	387000.00
2003-02-28	4.41	4.41	4.26	4.30	808500.00
2003-03-03	4.29	4.41	4.28	4.31	575800.00
2003-03-04	4.33	4.35	4.27	4.30	517600.00
2003-03-05	4.28	4.37	4.24	4.31	1017700.00
2003-03-06	4.26	4.52	4.26	4.44	1481100.00
2003-03-07	4.40	4.56	4.35	4.50	898800.00
2003-03-10	4.38	4.53	4.38	4.53	1837100.00
2003-03-11	4.50	4.52	4.38	4.43	1960400.00
2003-03-12	4.34	4.36	4.15	4.19	4556400.00
2003-03-13	4.19	4.24	4.12	4.20	4223600.00
2003-03-14	4.18	4.22	4.06	4.15	2401400.00
