Date	Open	High	Low	Close	Volume
2014-07-31	18.43	19.23	18.11	18.43	56477500.00
2014-08-01	18.35	18.43	18.16	18.43	6458900.00
2014-08-04	18.51	18.53	18.35	18.43	3455900.00
2014-08-05	18.42	18.44	18.16	18.43	4450200.00
2014-08-06	18.27	18.41	18.16	18.41	6993400.00
2014-08-07	18.34	18.43	18.27	18.37	3186900.00
2014-08-08	18.37	18.45	18.27	18.39	2855000.00
2014-08-11	18.35	18.37	18.27	18.37	1767500.00
2014-08-12	18.34	18.43	18.29	18.43	1549700.00
2014-08-13	18.43	18.61	18.33	18.57	1659100.00
2014-08-14	18.59	18.60	18.39	18.44	1391700.00
2014-08-15	18.44	18.49	18.43	18.43	1948100.00
2014-08-18	18.48	18.56	18.44	18.56	1073700.00
2014-08-19	18.59	19.58	18.59	19.56	2851800.00
2014-08-20	19.47	20.50	19.44	20.18	3544500.00
2014-08-21	20.41	20.45	19.97	20.34	2358000.00
2014-08-22	20.23	20.38	20.11	20.32	891600.00
2014-08-25	20.33	20.35	19.93	20.13	1185400.00
2014-08-26	20.03	20.11	19.98	20.07	951000.00
2014-08-27	20.03	20.46	19.99	20.41	1230600.00
2014-08-28	20.35	20.70	20.28	20.58	981700.00
2014-08-29	20.68	20.78	20.39	20.66	981200.00
2014-09-02	20.59	20.75	20.45	20.66	1873200.00
2014-09-03	20.82	20.83	20.54	20.66	996500.00
2014-09-04	20.46	20.63	20.44	20.59	1117500.00
2014-09-05	20.59	20.85	20.53	20.65	1089800.00
2014-09-08	20.69	20.82	19.73	19.90	2534800.00
2014-09-09	20.27	20.51	19.79	20.06	3608600.00
2014-09-10	20.18	20.28	19.78	19.79	1974600.00
2014-09-11	19.83	20.05	19.73	19.75	2029100.00
2014-09-12	19.65	19.83	19.58	19.63	1106800.00
2014-09-15	19.51	19.53	19.17	19.35	1125600.00
2014-09-16	19.42	19.52	19.13	19.48	1512100.00
2014-09-17	19.59	19.78	19.52	19.67	940400.00
2014-09-18	19.69	19.90	19.68	19.77	879100.00
2014-09-19	19.91	20.42	19.80	20.36	5257900.00
2014-09-22	20.26	20.32	19.83	19.90	737000.00
2014-09-23	19.76	19.79	19.37	19.69	940000.00
2014-09-24	19.81	20.03	19.77	19.97	964600.00
2014-09-25	20.02	20.02	19.72	19.73	1350800.00
2014-09-26	19.72	19.87	19.50	19.85	1252800.00
2014-09-29	19.69	19.85	19.50	19.79	1482000.00
2014-09-30	19.93	20.13	19.40	19.67	8795100.00
2014-10-01	19.58	19.70	19.37	19.41	1196600.00
2014-10-02	19.51	19.78	19.04	19.69	1253000.00
2014-10-03	19.85	20.10	19.56	19.89	1737500.00
2014-10-06	19.92	20.12	19.83	20.03	1057100.00
2014-10-07	19.98	20.00	19.67	19.91	803600.00
2014-10-08	19.88	20.05	19.79	20.05	1074500.00
2014-10-09	20.05	20.08	19.57	19.67	2536300.00
2014-10-10	19.63	19.81	19.34	19.39	1561700.00
2014-10-13	19.44	19.85	19.39	19.60	1726100.00
2014-10-14	19.73	19.99	19.69	19.91	1036400.00
2014-10-15	19.82	20.01	19.25	19.65	1529300.00
2014-10-16	19.39	19.87	19.33	19.71	1889000.00
2014-10-17	19.81	20.11	19.75	19.85	981700.00
2014-10-20	19.83	19.91	19.55	19.80	938300.00
2014-10-21	19.85	20.24	19.80	20.17	1699700.00
2014-10-22	20.23	20.39	20.15	20.34	1546100.00
2014-10-23	20.41	20.76	20.38	20.68	970100.00
2014-10-24	20.63	21.12	20.63	20.92	1223100.00
2014-10-27	20.90	21.47	20.85	21.26	1011400.00
2014-10-28	21.42	21.72	21.32	21.51	1002300.00
2014-10-29	21.48	21.70	21.37	21.63	730100.00
2014-10-30	21.70	21.99	21.24	21.47	1039100.00
2014-10-31	21.67	21.72	21.51	21.65	934600.00
2014-11-03	21.70	22.24	21.51	21.91	983700.00
2014-11-04	21.87	21.99	21.03	21.64	999300.00
2014-11-05	21.79	22.03	21.39	22.01	587300.00
2014-11-06	22.04	22.25	21.85	22.10	993100.00
2014-11-07	22.21	22.57	21.83	22.56	1165800.00
2014-11-10	22.62	23.13	22.43	23.05	1474200.00
2014-11-11	23.08	23.44	23.00	23.32	1643700.00
2014-11-12	23.24	23.36	22.95	23.26	1033700.00
2014-11-13	23.24	23.42	23.09	23.23	1656800.00
2014-11-14	23.17	23.68	23.12	23.28	1912000.00
2014-11-17	23.28	23.44	23.10	23.34	1010300.00
2014-11-18	23.40	23.58	23.06	23.20	948900.00
2014-11-19	23.23	23.24	22.96	23.19	2141800.00
2014-11-20	23.20	23.52	23.16	23.43	1300600.00
2014-11-21	23.48	23.56	23.24	23.37	1003900.00
2014-11-24	23.45	23.56	23.12	23.21	1177500.00
2014-11-25	23.18	23.49	22.46	22.96	5938500.00
2014-11-26	23.10	23.30	23.03	23.08	1327400.00
2014-11-28	23.04	23.26	23.04	23.24	425200.00
2014-12-01	23.24	23.34	23.02	23.14	1020800.00
2014-12-02	23.19	23.48	23.15	23.28	1091200.00
2014-12-03	23.33	23.35	23.16	23.24	730200.00
2014-12-04	23.24	23.51	23.16	23.36	829000.00
2014-12-05	23.46	23.47	23.18	23.44	818700.00
2014-12-08	23.47	23.91	23.25	23.64	1644100.00
2014-12-09	23.66	23.74	23.39	23.65	1085700.00
2014-12-10	23.68	23.96	23.64	23.76	760000.00
2014-12-11	23.77	24.04	23.58	23.65	1057900.00
2014-12-12	23.50	23.62	23.18	23.24	1632500.00
2014-12-15	23.36	23.40	22.56	22.94	1310500.00
2014-12-16	22.92	22.96	22.56	22.79	2238500.00
