Date	Close	High	Low	Open	Volume
	SYM	SYM	SYM	SYM	SYM
2021-03-09	10.25	10.50	10.25	10.39	6667000
2021-03-10	10.28	10.33	10.17	10.33	3536600
2021-03-11	10.37	10.44	10.28	10.30	471800
2021-03-12	10.44	10.47	10.34	10.47	166500
2021-03-15	10.41	10.45	10.31	10.40	178800
2021-03-16	10.44	10.46	10.36	10.46	289100
2021-03-17	10.36	10.44	10.33	10.36	82900
2021-03-18	10.32	10.35	10.29	10.34	74500
2021-03-19	10.28	10.32	10.20	10.30	229500
2021-03-22	10.27	10.35	10.25	10.30	206700
2021-03-23	10.17	10.30	10.15	10.25	266400
2021-03-24	10.05	10.13	9.95	10.13	689300
2021-03-25	10.10	10.16	9.94	9.99	452200
2021-03-26	9.97	10.16	9.82	10.09	571000
2021-03-29	10.00	10.35	9.95	9.95	75200
2021-03-30	10.09	10.10	10.00	10.10	65100
2021-03-31	10.10	10.19	10.05	10.19	12300
2021-04-01	10.10	10.10	10.05	10.10	75600
2021-04-05	10.09	10.16	10.06	10.15	56900
2021-04-06	10.07	10.10	10.04	10.10	34700
2021-04-07	10.19	10.20	10.09	10.10	224800
2021-04-08	10.27	10.27	10.17	10.24	74800
2021-04-09	10.25	10.26	10.23	10.25	14400
2021-04-12	10.15	10.25	10.10	10.21	68700
2021-04-13	10.15	10.18	10.10	10.15	123900
2021-04-14	10.21	10.27	10.11	10.11	36500
2021-04-15	10.35	10.36	10.23	10.23	94500
2021-04-16	10.20	10.35	10.19	10.33	151400
2021-04-19	10.23	10.27	10.15	10.20	28000
2021-04-20	10.20	10.23	10.15	10.20	20200
2021-04-21	10.29	10.29	10.18	10.20	19500
2021-04-22	10.18	10.20	10.18	10.20	8700
2021-04-23	10.54	10.70	10.18	10.18	412900
2021-04-26	10.48	10.50	10.21	10.50	176100
2021-04-27	10.33	10.44	10.27	10.41	23800
2021-04-28	10.25	10.28	10.24	10.25	20100
2021-04-29	10.30	10.34	10.28	10.34	23400
2021-04-30	10.49	10.49	10.30	10.35	19600
2021-05-03	10.17	10.58	10.16	10.50	135300
2021-05-04	10.13	10.19	10.01	10.17	1316200
2021-05-05	10.14	10.20	10.10	10.12	65300
2021-05-06	10.24	10.24	10.12	10.14	65200
2021-05-07	10.20	10.20	10.15	10.20	14000
2021-05-10	10.20	10.20	10.11	10.16	65900
2021-05-11	10.03	10.10	10.02	10.06	45600
2021-05-12	9.96	10.11	9.96	10.05	587600
2021-05-13	9.97	10.07	9.95	9.95	130100
2021-05-14	10.00	10.01	10.00	10.01	24000
2021-05-17	9.99	10.02	9.98	10.02	10700
2021-05-18	9.94	9.98	9.93	9.98	612500
2021-05-19	9.94	10.00	9.93	9.96	332700
2021-05-20	9.96	10.03	9.94	9.94	124900
2021-05-21	9.97	9.99	9.97	9.97	4200
2021-05-24	9.96	10.02	9.94	10.02	6700
2021-05-25	9.96	10.02	9.94	9.94	26800
2021-05-26	9.95	10.05	9.94	10.05	12800
2021-05-27	9.96	10.00	9.94	9.95	36600
2021-05-28	9.95	10.00	9.93	9.96	3600
2021-06-01	9.89	9.95	9.88	9.94	35700
2021-06-02	9.95	9.99	9.88	9.89	53800
2021-06-03	10.00	10.02	9.87	9.91	66600
2021-06-04	9.98	10.00	9.91	9.91	24400
2021-06-07	9.97	9.98	9.88	9.88	5600
2021-06-08	9.98	10.00	9.95	9.95	12000
2021-06-09	9.98	10.00	9.94	9.95	74800
2021-06-10	9.95	9.99	9.92	9.99	16600
2021-06-11	9.96	9.98	9.91	9.92	19900
2021-06-14	9.96	9.98	9.90	9.94	67700
2021-06-15	9.95	10.00	9.92	9.92	173100
2021-06-16	9.98	10.00	9.96	9.98	27900
2021-06-17	9.95	10.04	9.93	10.04	22400
2021-06-18	9.95	9.97	9.93	9.95	24400
2021-06-21	9.95	9.97	9.93	9.96	78900
2021-06-22	9.95	9.97	9.90	9.94	53900
2021-06-23	9.95	9.97	9.93	9.95	13400
2021-06-24	9.95	9.96	9.90	9.93	19300
2021-06-25	9.91	10.00	9.91	9.95	64100
2021-06-28	9.92	9.94	9.89	9.91	115100
2021-06-29	9.92	9.92	9.88	9.90	37300
2021-06-30	9.94	9.94	9.86	9.86	48800
2021-07-01	9.92	9.93	9.90	9.90	3200
2021-07-02	9.91	9.92	9.86	9.87	6000
2021-07-06	9.93	9.98	9.90	9.98	12000
2021-07-07	9.90	9.93	9.90	9.90	24200
2021-07-08	9.95	9.95	9.86	9.90	53100
2021-07-09	9.95	9.95	9.92	9.94	19900
2021-07-12	9.95	9.95	9.86	9.88	2100
2021-07-13	9.95	9.95	9.91	9.93	6200
2021-07-14	9.93	9.94	9.91	9.93	2500
2021-07-15	9.92	9.93	9.85	9.90	14300
2021-07-16	9.92	9.95	9.91	9.92	105800
2021-07-19	9.95	9.95	9.85	9.88	25000
2021-07-20	9.95	9.95	9.90	9.91	1966200
2021-07-21	9.92	9.95	9.90	9.95	19500
2021-07-22	9.92	9.92	9.90	9.90	23400
2021-07-23	9.90	9.92	9.87	9.87	9900
2021-07-26	9.86	9.90	9.86	9.90	6600
2021-07-27	9.89	9.89	9.85	9.86	23600
2021-07-28	9.84	9.89	9.84	9.88	231200
2021-07-29	9.85	9.85	9.82	9.84	19900
2021-07-30	9.80	9.88	9.76	9.82	141800
2021-08-02	9.79	9.86	9.74	9.80	1062700
2021-08-03	9.80	9.83	9.78	9.78	10300
2021-08-04	9.82	9.84	9.76	9.79	53900
2021-08-05	9.83	9.83	9.77	9.77	1100
2021-08-06	9.83	9.83	9.77	9.77	2800
2021-08-09	9.80	9.84	9.76	9.80	477900
2021-08-10	9.79	9.80	9.75	9.80	411200
2021-08-11	9.75	9.80	9.75	9.75	19100
2021-08-12	9.77	9.77	9.70	9.75	9000
2021-08-13	9.76	9.80	9.70	9.71	136600
2021-08-16	9.80	9.80	9.73	9.73	37900
2021-08-17	9.78	9.80	9.75	9.75	1900
2021-08-18	9.78	9.79	9.71	9.79	5000
2021-08-19	9.72	9.78	9.70	9.70	25300
2021-08-20	9.69	9.78	9.68	9.71	41800
2021-08-23	9.70	9.78	9.68	9.70	269300
2021-08-24	9.70	9.73	9.67	9.67	159400
2021-08-25	9.70	9.71	9.65	9.67	311400
2021-08-26	9.69	9.69	9.68	9.68	25800
2021-08-27	9.69	9.69	9.67	9.67	1400
2021-08-30	9.69	9.69	9.66	9.66	7400
2021-08-31	9.74	9.78	9.70	9.70	3000
2021-09-01	9.73	9.73	9.70	9.73	8500
2021-09-02	9.73	9.74	9.72	9.72	4200
2021-09-03	9.74	9.74	9.74	9.74	100
2021-09-07	9.74	9.74	9.72	9.72	400
2021-09-08	9.73	9.74	9.72	9.74	3600
2021-09-09	9.83	9.84	9.73	9.73	19700
2021-09-10	9.84	9.86	9.77	9.81	27600
2021-09-13	9.80	9.85	9.80	9.80	3900
2021-09-14	9.85	9.85	9.77	9.77	1900
2021-09-15	9.80	9.80	9.78	9.80	6600
2021-09-16	9.77	9.80	9.73	9.74	229100
2021-09-17	9.80	9.81	9.77	9.81	1700
2021-09-20	9.73	9.82	9.73	9.77	5000
2021-09-21	9.80	9.80	9.72	9.72	58200
2021-09-22	9.80	9.80	9.80	9.80	0
2021-09-23	9.80	9.80	9.80	9.80	800
2021-09-24	9.80	9.80	9.76	9.76	7500
2021-09-27	9.80	9.82	9.76	9.80	3490100
2021-09-28	9.80	9.81	9.75	9.80	63800
2021-09-29	9.81	9.82	9.74	9.79	314300
2021-09-30	9.83	9.83	9.78	9.79	109900
2021-10-01	9.76	9.82	9.75	9.75	10300
2021-10-04	9.82	9.82	9.79	9.82	20300
2021-10-05	9.82	9.82	9.76	9.82	1227300
2021-10-06	9.85	9.85	9.76	9.80	63500
2021-10-07	9.83	9.85	9.81	9.85	28700
2021-10-08	9.85	9.85	9.77	9.77	5200
2021-10-11	9.82	9.82	9.80	9.80	300
2021-10-12	9.82	9.82	9.82	9.82	0
2021-10-13	9.81	9.82	9.80	9.80	69000
2021-10-14	9.83	9.83	9.74	9.74	77000
2021-10-15	9.86	9.89	9.80	9.89	134900
2021-10-18	9.89	10.24	9.79	9.87	559100
2021-10-19	9.95	9.95	9.85	9.91	139400
2021-10-20	9.92	9.95	9.89	9.95	121600
2021-10-21	9.90	9.94	9.89	9.94	86200
2021-10-22	9.90	9.90	9.88	9.90	368500
2021-10-25	9.90	9.91	9.85	9.87	151200
2021-10-26	9.98	9.98	9.87	9.87	369400
2021-10-27	9.94	9.99	9.92	9.98	189800
2021-10-28	9.95	9.99	9.86	9.94	26700
2021-10-29	9.99	9.99	9.88	9.96	150200
2021-11-01	10.05	10.09	9.99	9.99	1464800
2021-11-02	10.04	10.09	10.00	10.02	325500
2021-11-03	10.06	10.06	10.00	10.06	225200
2021-11-04	10.04	10.08	10.00	10.08	36700
2021-11-05	10.05	10.06	10.01	10.01	20600
2021-11-08	10.05	10.07	10.01	10.07	24800
2021-11-09	10.05	10.21	10.00	10.01	1458400
2021-11-10	10.00	10.05	10.00	10.01	224400
2021-11-11	10.02	10.03	9.99	10.01	514300
2021-11-12	9.98	10.02	9.97	10.02	18100
2021-11-15	10.07	10.10	9.93	9.99	515900
2021-11-16	10.05	10.06	10.01	10.03	5200
2021-11-17	10.00	10.07	10.00	10.01	28600
2021-11-18	10.01	10.06	9.94	10.04	22100
2021-11-19	9.95	10.00	9.95	9.96	120200
2021-11-22	9.96	10.00	9.92	9.95	30100
2021-11-23	9.98	9.98	9.94	9.98	15600
2021-11-24	9.92	9.98	9.90	9.90	9500
2021-11-26	9.87	9.89	9.81	9.85	20600
2021-11-29	9.99	9.99	9.88	9.89	37800
2021-11-30	10.00	10.02	9.93	10.00	161300
2021-12-01	10.00	10.00	9.95	9.96	18400
2021-12-02	9.99	9.99	9.85	9.94	30000
2021-12-03	10.02	10.04	9.83	9.90	97100
2021-12-06	10.05	10.05	9.94	9.99	45400
2021-12-07	9.90	10.00	9.90	10.00	6000
2021-12-08	9.87	9.90	9.84	9.84	54000
2021-12-09	9.95	9.95	9.86	9.90	12900
2021-12-10	9.92	9.92	9.89	9.91	16900
2021-12-13	9.99	10.00	9.93	9.95	1458000
2021-12-14	10.04	10.05	9.91	9.98	550900
2021-12-15	10.00	10.03	9.96	10.00	995300
2021-12-16	9.98	10.02	9.97	10.02	495100
2021-12-17	9.96	10.00	9.92	10.00	154500
2021-12-20	9.96	10.01	9.94	10.01	124200
2021-12-21	10.01	10.06	9.93	9.94	712600
2021-12-22	9.97	10.03	9.94	10.00	1374100
2021-12-23	9.97	10.00	9.96	9.97	351200
2021-12-27	9.99	10.05	9.98	9.99	586400
2021-12-28	9.96	10.01	9.95	10.01	86900
