Date	Close	High	Low	Open	Volume
	TCOM	TCOM	TCOM	TCOM	TCOM
2003-12-09	2.08	2.28	1.47	1.47	89640000
2003-12-10	1.99	2.11	1.82	2.09	27417600
2003-12-11	2.06	2.08	1.91	1.98	12297600
2003-12-12	2.40	2.45	2.00	2.06	21193600
2003-12-15	2.11	2.63	2.06	2.55	21692800
2003-12-16	2.02	2.12	1.91	2.12	14164800
2003-12-17	1.96	2.12	1.93	2.05	9542400
2003-12-18	1.84	2.02	1.82	1.96	6592000
2003-12-19	1.74	1.82	1.71	1.82	11424000
2003-12-22	1.98	2.00	1.75	1.75	8024000
2003-12-23	1.99	2.12	1.90	1.96	8358400
2003-12-24	2.02	2.07	1.96	2.00	1632000
2003-12-26	2.07	2.13	2.02	2.03	3736000
2003-12-29	1.97	2.11	1.93	2.10	8683200
2003-12-30	2.01	2.07	1.96	1.98	3929600
2003-12-31	2.08	2.09	1.98	2.02	2305600
2004-01-02	2.32	2.41	2.07	2.07	8720000
2004-01-05	2.40	2.55	2.31	2.34	5232000
2004-01-06	2.29	2.44	2.20	2.42	3886400
2004-01-07	2.31	2.35	2.24	2.31	1838400
2004-01-08	2.24	2.34	2.18	2.28	3619200
2004-01-09	2.15	2.25	2.14	2.22	2048000
2004-01-12	2.09	2.23	2.05	2.19	2732800
2004-01-13	2.12	2.18	2.04	2.13	4089600
2004-01-14	2.15	2.22	2.13	2.17	2995200
2004-01-15	2.12	2.21	2.11	2.18	1569600
2004-01-16	2.08	2.17	2.03	2.14	1099200
2004-01-20	2.14	2.20	2.11	2.12	4126400
2004-01-21	2.02	2.17	1.99	2.17	6716800
2004-01-22	1.98	2.08	1.94	2.07	2944000
2004-01-23	1.99	2.05	1.95	2.01	1091200
2004-01-26	2.03	2.05	1.96	1.99	1606400
2004-01-27	1.95	2.04	1.94	2.04	1531200
2004-01-28	1.75	1.96	1.73	1.96	6846400
2004-01-29	1.78	1.83	1.72	1.80	2633600
2004-01-30	1.77	1.78	1.72	1.76	1446400
2004-02-02	1.77	1.79	1.72	1.74	1564800
2004-02-03	1.73	1.77	1.66	1.74	2761600
2004-02-04	1.67	1.74	1.66	1.74	1526400
2004-02-05	1.60	1.68	1.51	1.67	10072000
2004-02-06	1.61	1.64	1.56	1.64	6715200
2004-02-09	1.75	1.82	1.63	1.63	7320000
2004-02-10	1.74	1.77	1.73	1.77	1760000
2004-02-11	1.77	1.80	1.74	1.77	1041600
2004-02-12	1.74	1.80	1.73	1.76	801600
2004-02-13	1.74	1.78	1.74	1.76	1416000
2004-02-17	1.76	1.79	1.69	1.79	1120000
2004-02-18	1.97	1.99	1.77	1.79	5049600
2004-02-19	1.99	2.07	1.97	2.01	3172800
2004-02-20	1.90	2.03	1.84	2.03	2758400
2004-02-23	2.00	2.01	1.93	1.94	2622400
2004-02-24	1.73	1.83	1.67	1.70	10030400
2004-02-25	1.72	1.75	1.68	1.71	2641600
2004-02-26	1.79	1.80	1.69	1.72	1280000
2004-02-27	1.79	1.80	1.77	1.80	988800
