Date	Open	High	Low	Close	Volume
2008-04-01	31.45	32.29	31.45	32.29	86100.00
2008-04-02	31.83	32.38	31.53	31.69	91800.00
2008-04-03	31.47	33.83	31.28	31.58	74300.00
2008-04-04	31.48	31.72	31.32	31.58	38400.00
2008-04-07	31.75	31.82	31.52	31.59	36800.00
2008-04-08	31.60	31.75	31.56	31.70	56200.00
2008-04-09	31.52	31.59	31.40	31.49	49800.00
2008-04-10	31.55	31.82	31.40	31.72	51400.00
2008-04-11	31.40	31.40	31.09	31.12	33400.00
2008-04-14	31.22	31.24	31.06	31.22	39300.00
2008-04-15	31.34	31.34	31.13	31.21	40800.00
2008-04-16	32.24	32.68	32.24	32.68	149400.00
2008-04-17	32.67	32.73	32.59	32.70	39800.00
2008-04-18	32.82	32.96	32.74	32.80	52800.00
2008-04-21	32.38	32.47	32.27	32.43	22000.00
2008-04-22	32.69	32.69	32.42	32.55	21500.00
2008-04-23	32.18	32.29	32.10	32.25	24700.00
2008-04-24	32.21	32.57	32.02	32.41	34900.00
2008-04-25	31.83	31.99	31.70	31.96	17100.00
2008-04-28	31.96	32.05	31.93	31.99	15500.00
2008-04-29	31.90	31.93	31.72	31.77	84700.00
2008-04-30	32.09	35.17	31.85	31.87	37800.00
2008-05-01	31.97	32.23	31.82	32.23	17300.00
2008-05-02	32.58	32.58	32.26	32.33	187300.00
2008-05-05	32.34	32.44	32.07	32.22	14900.00
2008-05-06	32.30	32.62	32.21	32.44	19800.00
2008-05-07	32.58	32.62	32.08	32.15	149300.00
2008-05-08	32.16	32.42	32.14	32.38	21800.00
2008-05-09	32.21	32.21	31.95	32.03	57300.00
2008-05-12	31.50	31.80	31.48	31.80	15000.00
2008-05-13	31.51	31.55	31.32	31.47	17800.00
2008-05-14	31.83	31.91	31.73	31.73	24400.00
2008-05-15	31.95	32.39	31.95	32.38	53600.00
2008-05-16	32.70	32.86	32.61	32.78	65200.00
2008-05-19	32.77	33.15	32.75	32.84	68500.00
2008-05-20	33.00	33.00	32.60	32.79	57300.00
2008-05-21	33.41	33.43	32.93	33.08	53800.00
2008-05-22	33.08	33.54	33.05	33.35	917100.00
2008-05-23	33.25	33.25	32.81	32.93	314400.00
2008-05-27	32.24	32.27	31.96	32.23	296100.00
2008-05-28	31.13	31.22	30.88	31.14	265200.00
2008-05-29	30.85	31.08	30.71	31.00	67900.00
2008-05-30	31.09	31.33	31.01	31.21	195400.00
2008-06-02	30.18	30.18	29.56	29.68	164300.00
2008-06-03	29.76	29.76	29.28	29.59	166400.00
2008-06-04	29.50	30.50	29.46	29.57	143200.00
2008-06-05	29.43	29.87	29.33	29.81	122300.00
2008-06-06	29.46	29.46	28.86	28.90	72800.00
2008-06-09	28.96	28.96	28.57	28.78	51900.00
2008-06-10	28.68	28.68	28.40	28.67	60400.00
2008-06-11	28.36	28.40	27.89	28.03	88200.00
2008-06-12	28.31	28.52	28.24	28.31	47400.00
2008-06-13	28.25	28.36	28.09	28.21	39700.00
2008-06-16	27.93	28.20	27.91	28.13	26500.00
2008-06-17	27.81	27.97	27.55	27.61	213300.00
2008-06-18	27.29	27.29	26.76	26.89	85100.00
2008-06-19	26.22	26.28	25.08	25.57	895000.00
2008-06-20	26.66	26.99	25.68	26.34	603100.00
2008-06-23	26.59	26.93	26.44	26.44	281800.00
2008-06-24	26.45	26.93	26.29	26.62	194500.00
2008-06-25	27.26	27.57	27.18	27.33	82900.00
2008-06-26	27.42	27.42	26.58	26.64	43500.00
2008-06-27	26.89	27.19	26.65	26.97	119000.00
2008-06-30	26.77	27.35	26.77	27.35	56600.00
2008-07-01	26.51	27.08	26.34	26.73	61200.00
2008-07-02	26.59	26.85	26.31	26.42	101200.00
2008-07-03	26.19	26.21	25.75	26.06	56700.00
2008-07-07	25.74	25.74	25.24	25.35	111400.00
2008-07-08	25.19	25.86	25.19	25.68	20500.00
2008-07-09	25.47	25.47	24.75	24.75	17800.00
2008-07-10	25.06	25.49	24.98	25.45	40700.00
2008-07-11	25.34	25.48	24.94	25.09	24300.00
2008-07-14	25.09	25.14	24.53	24.53	19400.00
2008-07-15	24.04	24.63	23.94	24.33	50600.00
2008-07-16	23.61	24.25	23.37	24.25	15900.00
2008-07-17	24.01	24.39	23.94	24.33	47700.00
2008-07-18	23.58	23.97	23.52	23.52	24700.00
2008-07-21	24.25	24.56	24.17	24.24	24300.00
2008-07-22	24.45	24.66	24.14	24.56	17200.00
2008-07-23	24.82	24.93	24.52	24.81	27900.00
2008-07-24	24.49	24.64	24.16	24.27	38100.00
2008-07-25	24.38	24.38	23.95	24.14	16800.00
2008-07-28	24.34	27.87	23.89	24.08	6400.00
2008-07-29	23.85	24.30	23.85	24.30	58300.00
2008-07-30	23.68	24.10	23.59	24.09	13900.00
2008-07-31	23.67	23.86	23.40	23.40	27700.00
2008-08-01	24.11	26.37	23.79	23.84	33900.00
2008-08-04	24.13	24.13	23.61	23.84	27200.00
2008-08-05	23.56	24.24	23.56	24.24	19200.00
2008-08-06	24.04	24.37	23.95	24.37	7000.00
2008-08-07	25.29	25.29	24.40	25.01	128700.00
2008-08-08	24.68	25.10	24.30	25.08	12100.00
2008-08-11	25.17	25.63	25.17	25.41	72000.00
2008-08-12	25.20	25.34	23.31	24.91	13200.00
2008-08-13	25.00	25.23	24.76	24.97	13300.00
2008-08-14	25.02	25.34	25.02	25.16	2600.00
2008-08-15	25.15	25.24	24.88	25.01	4200.00
2008-08-18	24.85	24.85	24.27	24.27	3400.00
2008-08-19	24.20	24.20	23.84	23.84	3200.00
2008-08-20	23.90	24.06	23.90	24.00	8300.00
2008-08-21	23.79	23.84	23.58	23.83	14000.00
2008-08-22	24.26	24.38	23.99	24.20	22900.00
2008-08-25	23.97	23.97	23.47	23.47	9500.00
2008-08-26	23.21	23.39	23.16	23.35	4300.00
2008-08-27	23.72	24.15	23.54	24.15	14100.00
2008-08-28	24.20	24.56	24.20	24.41	21400.00
2008-08-29	24.20	24.20	23.69	23.69	11500.00
2008-09-02	23.15	23.69	22.57	22.61	57700.00
2008-09-03	22.46	22.67	22.39	22.50	41900.00
2008-09-04	22.87	22.91	22.34	22.58	16000.00
2008-09-05	22.33	22.69	22.13	22.69	8400.00
