Date	Close	High	Low	Open	Volume
	TIMB	TIMB	TIMB	TIMB	TIMB
1998-11-16	3.32	3.34	3.28	3.28	124058
1998-11-17	3.37	3.40	3.32	3.34	140364
1998-11-18	3.74	3.74	3.34	3.34	247275
1998-11-19	3.76	3.77	3.63	3.74	491861
1998-11-20	4.38	4.40	3.97	3.97	204410
1998-11-23	5.32	5.70	4.62	4.62	594065
1998-11-24	6.21	6.25	5.14	5.38	446474
1998-11-25	7.19	7.77	6.41	6.41	887736
1998-11-27	6.78	7.68	6.73	6.95	445633
1998-11-30	5.85	6.52	5.81	6.46	224245
1998-12-01	6.36	6.36	5.14	5.65	163057
1998-12-02	5.85	6.36	5.65	6.36	144734
1998-12-03	5.78	5.85	5.20	5.27	242400
1998-12-04	5.30	5.85	5.11	5.78	193315
1998-12-07	5.85	5.97	5.04	5.17	161376
1998-12-08	5.56	5.91	5.49	5.91	134144
1998-12-09	5.36	5.56	5.06	5.52	140027
1998-12-10	5.40	5.72	5.36	5.43	85227
1998-12-11	5.04	5.30	4.88	5.27	214159
1998-12-14	4.59	4.98	4.58	4.98	169109
1998-12-15	4.62	4.69	4.43	4.66	98170
1998-12-16	4.40	4.75	4.37	4.59	80184
1998-12-17	4.69	4.72	4.34	4.34	65559
1998-12-18	4.62	4.66	4.58	4.66	72451
1998-12-21	5.51	5.68	4.85	4.88	95313
1998-12-22	5.41	5.48	5.33	5.46	55305
1998-12-23	5.40	5.40	5.33	5.40	28577
1998-12-24	5.40	5.43	5.40	5.40	4034
1998-12-28	4.85	5.43	4.75	5.43	128260
1998-12-29	4.50	4.75	4.45	4.75	78839
1998-12-30	4.40	4.56	4.24	4.56	65055
1998-12-31	4.48	4.53	4.27	4.34	14625
1999-01-04	4.75	4.90	4.43	4.43	33956
1999-01-05	5.31	5.41	4.75	4.75	3456136
1999-01-06	5.41	5.54	5.34	5.44	123722
1999-01-07	5.27	5.34	5.12	5.19	122041
1999-01-08	5.37	5.44	5.24	5.44	115653
1999-01-11	5.17	5.31	5.02	5.31	247948
1999-01-12	5.31	5.31	5.07	5.10	210293
1999-01-13	4.95	5.64	4.37	4.37	94977
1999-01-14	5.10	5.37	4.60	5.02	126243
1999-01-15	5.27	5.37	4.79	5.10	187936
1999-01-19	5.10	5.44	4.94	5.41	62701
1999-01-20	4.73	4.97	4.53	4.97	238366
1999-01-21	4.57	4.67	4.47	4.67	669542
