Date	Close	High	Low	Open	Volume
	TLN	TLN	TLN	TLN	TLN
2023-06-02	46.50	46.50	46.25	46.38	75000
2023-06-05	46.50	46.50	45.00	45.00	900
2023-06-06	46.00	46.00	44.50	44.50	800
2023-06-07	46.25	46.25	46.00	46.00	90200
2023-06-08	46.50	46.50	46.25	46.25	1600
2023-06-09	46.00	46.50	46.00	46.49	27200
2023-06-12	46.50	46.50	45.00	45.00	900
2023-06-13	46.43	46.50	46.40	46.50	8400
2023-06-14	46.50	46.50	46.42	46.50	112200
2023-06-15	46.50	46.50	46.50	46.50	0
2023-06-16	46.50	46.50	46.50	46.50	0
2023-06-20	46.15	46.50	46.15	46.50	112000
2023-06-21	46.50	46.50	46.50	46.50	5000
2023-06-22	46.50	46.50	46.50	46.50	600
2023-06-23	46.45	46.50	46.40	46.50	600
2023-06-26	47.12	48.50	46.40	47.10	30800
2023-06-27	47.50	47.50	47.05	47.05	108300
2023-06-28	50.00	52.50	48.00	48.00	34600
2023-06-29	49.49	49.88	49.38	49.88	59700
2023-06-30	50.15	50.45	49.00	49.50	187500
2023-07-03	50.36	50.99	50.36	50.99	800
2023-07-05	50.00	50.35	49.53	50.35	19300
2023-07-06	50.15	50.25	49.50	50.25	126600
2023-07-07	51.51	52.50	51.00	51.00	61100
2023-07-10	52.25	52.25	51.00	51.75	229300
2023-07-11	52.00	52.16	52.00	52.15	245700
2023-07-12	52.15	52.50	51.70	51.90	160100
2023-07-13	51.75	52.15	51.75	52.04	68300
2023-07-14	52.00	52.10	51.75	52.10	157900
2023-07-17	51.90	52.15	51.58	51.90	12100
2023-07-18	51.75	51.75	51.62	51.62	600
2023-07-19	51.95	51.95	51.75	51.75	5900
2023-07-20	51.88	51.90	51.75	51.90	151500
2023-07-21	52.00	52.00	51.75	51.75	12800
2023-07-24	51.50	51.75	51.38	51.75	9900
2023-07-25	52.50	52.50	51.00	51.25	390300
2023-07-26	52.69	52.75	51.00	51.00	327200
2023-07-27	52.50	54.41	51.50	53.00	129900
2023-07-28	54.25	54.25	53.00	53.25	5100
2023-07-31	54.25	54.75	52.50	54.75	134600
2023-08-01	54.10	54.10	53.00	53.67	211500
2023-08-02	53.38	54.25	52.75	54.00	4600
2023-08-03	53.75	55.00	53.50	54.00	50600
2023-08-04	53.62	56.30	53.38	54.25	358600
2023-08-07	54.00	54.00	54.00	54.00	200
2023-08-08	55.00	55.00	54.60	54.86	1800
2023-08-09	54.50	55.50	54.50	55.50	55500
2023-08-10	54.50	55.00	54.35	55.00	41800
2023-08-11	54.25	54.50	54.25	54.50	5400
2023-08-14	55.00	55.50	54.60	55.00	28800
2023-08-15	54.35	55.00	54.25	55.00	22700
2023-08-16	55.00	55.50	54.00	54.48	193200
2023-08-17	54.00	54.39	53.40	54.39	2800
2023-08-18	53.50	54.00	52.05	52.05	7800
2023-08-21	53.00	53.12	52.94	53.12	7000
2023-08-22	53.50	57.30	52.75	52.75	105800
2023-08-23	54.00	54.00	53.75	54.00	24400
2023-08-24	53.65	54.00	53.25	53.50	66000
2023-08-25	53.50	53.50	53.25	53.29	5900
2023-08-28	55.00	55.00	53.75	53.79	5400
2023-08-29	54.75	55.00	54.30	55.00	23500
2023-08-30	55.00	55.00	52.75	55.00	2800
2023-08-31	55.25	55.30	55.00	55.00	259800
2023-09-01	55.25	56.83	55.25	55.48	14300
2023-09-05	54.75	56.00	54.75	55.00	62000
2023-09-06	55.00	55.00	54.00	54.75	8100
2023-09-07	55.00	55.00	54.83	55.00	11100
2023-09-08	54.75	55.00	54.25	54.80	44100
2023-09-11	54.85	55.00	54.50	54.75	35300
2023-09-12	54.90	54.90	54.81	54.85	8200
2023-09-13	54.90	55.00	53.26	54.60	3100
2023-09-14	54.90	55.00	54.50	54.90	30800
2023-09-15	54.90	55.00	54.90	55.00	20800
2023-09-18	54.90	54.90	54.90	54.90	0
2023-09-19	54.90	54.90	54.20	54.90	6600
2023-09-20	54.64	54.75	54.55	54.60	42100
2023-09-21	54.50	55.00	52.05	54.70	88600
2023-09-22	54.50	54.75	54.25	54.74	44400
2023-09-25	54.40	54.75	54.00	54.75	157900
2023-09-26	53.89	54.35	53.50	54.35	26900
2023-09-27	53.25	54.90	50.50	53.50	227900
2023-09-28	53.20	53.74	52.80	53.50	12200
2023-09-29	52.90	53.75	52.83	53.10	14900
2023-10-02	53.22	53.50	52.92	52.92	26800
2023-10-03	52.30	53.75	50.75	53.75	11600
2023-10-04	51.75	52.00	51.50	51.76	9600
2023-10-05	52.78	52.78	51.70	51.70	31800
2023-10-06	52.50	52.78	52.15	52.78	109600
2023-10-09	52.15	52.40	52.01	52.25	8500
2023-10-10	51.85	52.19	51.70	52.19	9500
2023-10-11	52.50	52.50	51.55	52.00	54700
2023-10-12	52.68	52.70	51.50	52.48	309700
2023-10-13	52.50	54.99	51.74	52.70	42100
2023-10-16	51.75	52.50	51.75	52.46	10200
2023-10-17	52.09	52.79	51.99	52.10	21500
2023-10-18	52.11	52.49	52.00	52.10	38600
