Date	Open	High	Low	Close	Volume
1975-11-17	3.00	3.00	3.00	3.00	53200.00
1975-11-18	3.09	3.09	3.09	3.09	106800.00
1975-11-19	2.95	2.95	2.95	2.95	170400.00
1975-11-20	2.90	2.90	2.90	2.90	61200.00
1975-11-21	2.90	2.90	2.90	2.90	64000.00
1975-11-24	2.89	2.89	2.89	2.89	88400.00
1975-11-25	2.88	2.88	2.88	2.88	75200.00
1975-11-26	2.90	2.90	2.90	2.90	89200.00
1975-11-28	2.93	2.93	2.93	2.93	95600.00
1975-12-01	2.84	2.84	2.84	2.84	102400.00
1975-12-02	2.71	2.71	2.71	2.71	78400.00
1975-12-03	2.58	2.58	2.58	2.58	86400.00
1975-12-04	2.58	2.58	2.58	2.58	48800.00
1975-12-05	2.56	2.56	2.56	2.56	62800.00
1975-12-08	2.56	2.56	2.56	2.56	87600.00
1975-12-09	2.56	2.56	2.56	2.56	158800.00
1975-12-10	2.57	2.57	2.57	2.57	99600.00
1975-12-11	2.58	2.58	2.58	2.58	62400.00
1975-12-12	2.71	2.71	2.71	2.71	116400.00
1975-12-15	2.70	2.70	2.70	2.70	170800.00
1975-12-16	2.74	2.74	2.74	2.74	110400.00
1975-12-17	2.76	2.76	2.76	2.76	92800.00
1975-12-18	2.78	2.78	2.78	2.78	81200.00
1975-12-19	2.75	2.75	2.75	2.75	130800.00
1975-12-22	2.75	2.75	2.75	2.75	67200.00
1975-12-23	2.76	2.76	2.76	2.76	59600.00
1975-12-24	2.69	2.69	2.69	2.69	135200.00
1975-12-26	2.70	2.70	2.70	2.70	46800.00
1975-12-29	2.67	2.67	2.67	2.67	52800.00
1975-12-30	2.66	2.66	2.66	2.66	54000.00
1975-12-31	2.66	2.66	2.66	2.66	34800.00
1976-01-02	2.71	2.71	2.71	2.71	71600.00
1976-01-05	2.74	2.74	2.74	2.74	104400.00
1976-01-06	2.86	2.86	2.86	2.86	132800.00
1976-01-07	2.80	2.80	2.80	2.80	120000.00
1976-01-08	2.80	2.80	2.80	2.80	85200.00
1976-01-09	2.80	2.80	2.80	2.80	59600.00
1976-01-12	2.80	2.80	2.80	2.80	48800.00
1976-01-13	2.76	2.76	2.76	2.76	112400.00
1976-01-14	2.80	2.80	2.80	2.80	90000.00
1976-01-15	2.75	2.75	2.75	2.75	174000.00
1976-01-16	2.75	2.75	2.75	2.75	14400.00
1976-01-19	2.76	2.76	2.76	2.76	56000.00
1976-01-20	2.78	2.78	2.78	2.78	59200.00
1976-01-21	2.75	2.75	2.75	2.75	62000.00
1976-01-22	2.73	2.73	2.73	2.73	52800.00
1976-01-23	2.71	2.71	2.71	2.71	42800.00
1976-01-26	2.59	2.59	2.59	2.59	84400.00
1976-01-27	2.58	2.58	2.58	2.58	272000.00
1976-01-28	2.65	2.65	2.65	2.65	212000.00
1976-01-29	2.82	2.86	2.82	2.82	158400.00
1976-01-30	2.80	2.80	2.75	2.75	304400.00
1976-02-02	2.80	2.84	2.80	2.80	73600.00
1976-02-03	2.81	2.85	2.81	2.81	66800.00
1976-02-04	2.84	2.88	2.84	2.84	184000.00
1976-02-05	2.84	2.86	2.82	2.82	64800.00
1976-02-06	2.81	2.81	2.76	2.76	72000.00
1976-02-09	2.80	2.84	2.80	2.80	42800.00
1976-02-10	2.80	2.81	2.76	2.76	91200.00
1976-02-11	2.78	2.82	2.78	2.78	28800.00
1976-02-12	2.80	2.84	2.80	2.80	131200.00
1976-02-13	2.80	2.84	2.80	2.80	20400.00
1976-02-17	2.80	2.82	2.78	2.78	36000.00
1976-02-18	2.78	2.81	2.76	2.76	79600.00
1976-02-19	2.74	2.74	2.70	2.70	159600.00
1976-02-20	2.73	2.78	2.73	2.73	388000.00
1976-02-23	2.73	2.78	2.73	2.73	223600.00
1976-02-24	2.78	2.82	2.78	2.78	114800.00
1976-02-25	2.80	2.84	2.80	2.80	96400.00
1976-02-26	2.80	2.80	2.75	2.75	248400.00
1976-02-27	2.74	2.74	2.70	2.70	124000.00
1976-03-01	2.70	2.73	2.69	2.69	76000.00
1976-03-02	2.70	2.74	2.70	2.70	70800.00
1976-03-03	2.70	2.70	2.66	2.66	44400.00
1976-03-04	2.66	2.70	2.66	2.66	57200.00
1976-03-05	2.66	2.69	2.65	2.65	45200.00
1976-03-08	2.68	2.72	2.68	2.68	27600.00
1976-03-09	2.73	2.78	2.73	2.73	37200.00
1976-03-10	2.76	2.81	2.76	2.76	85200.00
1976-03-11	2.86	2.90	2.86	2.86	150800.00
1976-03-12	2.86	2.90	2.86	2.86	92400.00
1976-03-15	2.84	2.84	2.80	2.80	89200.00
1976-03-16	2.82	2.86	2.82	2.82	50800.00
1976-03-17	2.82	2.86	2.82	2.82	86400.00
1976-03-18	2.82	2.86	2.82	2.82	93600.00
1976-03-19	2.82	2.86	2.82	2.82	26800.00
1976-03-22	2.82	2.86	2.82	2.82	28800.00
1976-03-23	2.91	2.96	2.91	2.91	210000.00
1976-03-24	2.94	2.98	2.94	2.94	137600.00
1976-03-25	2.98	3.02	2.98	2.98	124000.00
1976-03-26	2.97	2.97	2.93	2.93	70000.00
1976-03-29	2.93	2.93	2.88	2.88	33600.00
1976-03-30	2.88	2.90	2.86	2.86	41200.00
1976-03-31	2.86	2.90	2.86	2.86	18800.00
1976-04-01	2.86	2.90	2.86	2.86	30800.00
1976-04-02	2.87	2.91	2.87	2.87	10000.00
1976-04-05	2.96	3.00	2.96	2.96	79200.00
1976-04-06	2.96	2.99	2.95	2.95	110400.00
1976-04-07	2.95	2.96	2.91	2.91	32800.00
1976-04-08	2.91	2.93	2.88	2.88	55200.00
1976-04-09	2.84	2.84	2.80	2.80	104400.00
1976-04-12	2.80	2.82	2.78	2.78	71600.00
1976-04-13	2.78	2.80	2.75	2.75	201600.00
1976-04-14	2.78	2.82	2.78	2.78	51600.00
1976-04-15	2.75	2.75	2.71	2.71	129600.00
1976-04-19	2.73	2.78	2.73	2.73	36400.00
