Date	Open	High	Low	Close	Volume
2022-08-09	22.58	22.58	21.18	21.59	144000.00
2022-08-10	23.15	23.18	21.61	22.77	472800.00
2022-08-11	23.04	23.23	21.80	21.94	576000.00
2022-08-12	22.20	23.42	21.71	23.38	490200.00
2022-08-15	23.67	24.95	23.58	24.47	1058100.00
2022-08-16	24.79	25.13	23.76	24.18	1628500.00
2022-08-17	23.74	24.51	23.37	23.87	1190400.00
2022-08-18	24.11	24.14	23.62	23.71	507700.00
2022-08-19	23.25	23.36	22.51	23.00	899200.00
2022-08-22	22.38	22.46	21.77	22.19	586100.00
2022-08-23	22.36	23.21	21.97	22.95	674000.00
2022-08-24	23.08	23.77	22.94	23.00	751400.00
2022-08-25	23.61	23.67	22.37	22.89	688800.00
2022-08-26	23.04	23.54	21.87	21.96	984000.00
2022-08-29	21.32	21.89	21.10	21.59	803300.00
2022-08-30	21.92	21.96	20.20	20.78	828400.00
2022-08-31	21.09	21.11	20.12	20.51	725900.00
2022-09-01	20.16	20.72	19.48	20.72	846100.00
2022-09-02	21.13	21.23	19.77	19.93	671800.00
2022-09-06	20.12	20.52	19.42	20.38	561300.00
2022-09-07	20.21	21.40	20.14	21.40	609800.00
2022-09-08	21.10	22.03	20.96	22.03	641600.00
2022-09-09	22.28	23.21	22.24	23.20	1118800.00
2022-09-12	23.28	23.85	23.28	23.75	856900.00
2022-09-13	22.39	22.90	22.11	22.31	1387600.00
2022-09-14	22.33	23.87	22.25	23.49	1198300.00
2022-09-15	23.40	24.24	23.30	23.62	753200.00
2022-09-16	23.10	23.59	22.67	23.55	700900.00
2022-09-19	23.17	24.30	22.94	24.22	735700.00
2022-09-20	23.97	24.71	23.82	24.17	853200.00
2022-09-21	24.13	24.75	23.24	23.25	931800.00
2022-09-22	23.12	23.28	21.51	21.83	1013600.00
2022-09-23	21.19	21.33	20.03	20.32	1209000.00
2022-09-26	19.92	21.26	19.79	20.40	878400.00
2022-09-27	21.26	21.76	20.58	21.17	1052400.00
2022-09-28	21.15	21.81	20.55	21.68	981100.00
2022-09-29	21.10	21.19	19.20	19.50	1247000.00
2022-09-30	19.21	20.24	18.88	19.15	789800.00
2022-10-03	17.94	18.02	16.52	16.67	2376600.00
2022-10-04	17.51	18.13	16.61	17.43	2366000.00
