Date	Close	High	Low	Open	Volume
	TTE	TTE	TTE	TTE	TTE
1991-10-25	2.56	2.58	2.50	2.53	15468800
1991-10-28	2.52	2.58	2.50	2.56	2785800
1991-10-29	2.50	2.53	2.49	2.50	2518400
1991-10-30	2.56	2.56	2.50	2.52	2818600
1991-10-31	2.70	2.74	2.53	2.55	5662000
1991-11-01	2.71	2.76	2.67	2.70	3684600
1991-11-04	2.70	2.70	2.67	2.68	1641000
1991-11-05	2.65	2.68	2.65	2.68	751000
1991-11-06	2.65	2.65	2.62	2.65	589000
1991-11-07	2.79	2.79	2.65	2.65	3738600
1991-11-08	2.74	2.84	2.67	2.84	5527400
1991-11-11	2.74	2.79	2.74	2.78	1045200
1991-11-12	2.85	2.85	2.79	2.79	1833000
1991-11-13	2.96	2.97	2.82	2.82	4418000
1991-11-14	3.08	3.11	3.03	3.08	5054800
1991-11-15	2.85	3.02	2.79	3.02	2959600
1991-11-18	2.96	2.99	2.84	2.88	2685200
1991-11-19	2.87	2.90	2.81	2.87	2549800
1991-11-20	2.81	2.87	2.81	2.87	1403600
1991-11-21	2.79	2.84	2.78	2.79	1922800
1991-11-22	2.76	2.78	2.73	2.78	1252800
1991-11-25	2.74	2.76	2.73	2.76	891800
1991-11-26	2.81	2.81	2.76	2.78	2306600
1991-11-27	2.79	2.82	2.73	2.82	996800
1991-11-29	3.00	3.00	2.84	2.84	836000
1991-12-02	3.00	3.00	2.87	2.87	840200
1991-12-03	2.93	2.96	2.91	2.94	553800
1991-12-04	2.85	2.93	2.84	2.91	789400
1991-12-05	2.76	2.84	2.76	2.81	724000
1991-12-06	2.81	2.84	2.74	2.76	493400
1991-12-09	2.67	2.79	2.61	2.78	977200
1991-12-10	2.61	2.64	2.58	2.62	1690400
1991-12-11	2.59	2.64	2.50	2.62	2857000
1991-12-12	2.73	2.73	2.59	2.61	1804000
1991-12-13	2.70	2.71	2.68	2.71	882600
1991-12-16	2.71	2.74	2.70	2.71	465400
1991-12-17	2.67	2.74	2.64	2.73	1877000
1991-12-18	2.71	2.71	2.65	2.65	567400
1991-12-19	2.67	2.70	2.67	2.68	543200
1991-12-20	2.68	2.68	2.65	2.68	503800
