Date	Open	High	Low	Close	Volume
2000-05-16	15.47	15.49	15.40	15.47	346200.00
2000-05-17	15.27	15.27	15.14	15.18	174000.00
2000-05-18	15.29	15.36	15.29	15.30	151800.00
2000-05-19	15.21	15.21	15.10	15.12	63600.00
2000-05-22	15.13	15.18	14.98	15.06	87600.00
2000-05-23	15.36	15.41	15.34	15.39	78600.00
2000-05-24	15.39	15.41	15.36	15.41	54000.00
2000-05-25	15.67	15.76	15.66	15.73	763800.00
2000-05-26	15.62	15.66	15.53	15.63	99600.00
2000-05-30	15.71	15.73	15.47	15.50	72000.00
2000-05-31	15.56	15.62	15.56	15.62	23400.00
2000-06-01	15.63	15.65	15.60	15.65	22800.00
2000-06-02	16.10	16.33	16.10	16.32	127800.00
2000-06-05	16.26	16.45	16.24	16.45	141000.00
2000-06-06	16.54	16.79	16.54	16.76	65400.00
2000-06-07	16.82	16.93	16.82	16.93	54000.00
2000-06-08	17.24	17.27	17.00	17.06	94800.00
2000-06-09	17.06	17.19	17.04	17.13	43800.00
2000-06-12	17.12	17.22	17.12	17.20	33000.00
2000-06-13	17.44	17.49	17.44	17.49	37200.00
2000-06-14	17.52	17.68	17.52	17.67	91200.00
2000-06-15	17.61	17.61	17.13	17.13	331800.00
2000-06-16	17.32	17.41	17.32	17.38	92400.00
2000-06-19	17.18	17.22	17.08	17.20	44400.00
2000-06-20	17.16	17.22	17.13	17.22	12000.00
2000-06-21	16.92	17.14	16.90	17.05	128400.00
2000-06-22	17.02	17.02	16.79	16.79	111000.00
2000-06-23	16.77	16.79	16.70	16.74	60600.00
2000-06-26	16.63	16.65	16.60	16.65	9600.00
2000-06-27	16.55	16.73	16.55	16.73	46200.00
2000-06-28	16.93	16.95	16.92	16.95	19800.00
2000-06-29	16.86	16.86	16.74	16.74	28200.00
2000-06-30	16.92	16.99	16.92	16.97	82200.00
2000-07-03	16.84	16.92	16.77	16.92	66000.00
2000-07-05	17.11	17.21	17.11	17.21	64800.00
2000-07-06	17.26	17.26	17.18	17.23	26400.00
2000-07-07	17.16	17.20	17.15	17.20	11400.00
2000-07-10	17.18	17.18	17.10	17.15	95400.00
2000-07-11	17.15	17.20	17.14	17.18	49800.00
2000-07-12	16.28	16.28	15.24	15.61	8498400.00
2000-07-13	15.90	16.54	15.84	16.43	4113000.00
