Date	Close	High	Low	Open	Volume
	ULTA	ULTA	ULTA	ULTA	ULTA
2007-10-25	29.49	34.61	28.57	32.63	7486900
2007-10-26	31.65	32.62	28.93	29.36	1625600
2007-10-29	34.32	34.61	32.29	33.62	667900
2007-10-30	35.04	35.21	32.63	34.83	455600
2007-10-31	33.82	35.24	32.59	34.54	393200
2007-11-01	32.37	33.13	31.78	33.13	453900
2007-11-02	32.06	32.61	31.17	32.38	276000
2007-11-05	31.15	31.89	30.77	31.26	342300
2007-11-06	31.08	31.55	31.00	31.16	223100
2007-11-07	29.03	30.95	28.93	30.95	525600
2007-11-08	29.67	29.82	28.93	28.93	411100
2007-11-09	29.57	29.75	28.74	29.32	213400
2007-11-12	28.72	30.82	28.72	29.34	112900
2007-11-13	28.81	29.67	28.10	28.98	236700
2007-11-14	29.62	29.92	28.78	28.84	244500
2007-11-15	29.87	30.35	29.38	29.38	76800
2007-11-16	30.35	30.36	29.67	29.87	88900
2007-11-19	28.87	30.35	28.43	29.72	238300
2007-11-20	26.70	29.39	24.98	29.38	742900
2007-11-21	24.08	26.12	23.00	26.04	810400
2007-11-23	23.90	23.97	22.60	23.48	100200
2007-11-26	23.93	25.05	23.73	24.50	233800
2007-11-27	23.61	24.72	23.54	24.17	211200
2007-11-28	24.58	25.03	23.93	24.20	417400
2007-11-29	24.52	24.74	23.92	24.22	341700
2007-11-30	25.46	25.94	24.49	24.72	199100
2007-12-03	26.01	26.45	25.27	25.69	319200
2007-12-04	25.56	26.36	25.45	26.00	180500
2007-12-05	26.25	26.45	25.72	25.79	168500
2007-12-06	27.19	27.20	26.26	26.26	102100
2007-12-07	27.67	28.53	27.35	27.36	103200
2007-12-10	27.20	28.21	26.24	27.92	281500
2007-12-11	20.68	26.49	19.14	26.21	3591000
2007-12-12	19.33	21.61	18.21	20.89	1121400
2007-12-13	18.35	19.54	17.34	19.33	1190300
2007-12-14	18.34	18.49	17.90	18.49	173500
2007-12-17	17.66	18.39	17.22	18.39	161500
2007-12-18	17.50	17.80	16.93	17.80	220900
2007-12-19	17.55	17.72	16.91	17.61	143400
2007-12-20	16.56	17.55	16.32	17.55	252700
2007-12-21	16.40	16.96	15.43	16.81	1079900
2007-12-24	16.61	16.64	16.05	16.55	189600
2007-12-26	17.16	17.75	16.23	16.52	270700
2007-12-27	17.08	17.26	16.81	17.06	123400
2007-12-28	16.91	17.29	16.71	17.07	234400
2007-12-31	16.96	17.16	16.69	16.81	515300
2008-01-02	16.37	16.91	16.05	16.81	213100
2008-01-03	15.33	16.67	14.88	16.06	296500
2008-01-04	14.33	15.58	14.33	15.58	334400
2008-01-07	12.38	14.59	11.70	14.40	993300
2008-01-08	13.40	13.60	12.21	12.66	704000
2008-01-09	14.34	14.34	13.24	13.34	1019800
2008-01-10	15.89	16.08	14.19	14.19	1232700
2008-01-11	15.63	15.82	15.04	15.53	417800
2008-01-14	15.87	16.23	15.41	15.60	237900
2008-01-15	15.44	15.88	15.41	15.48	291600
2008-01-16	15.73	16.15	15.42	15.43	297100
2008-01-17	14.60	15.74	14.23	15.65	188900
2008-01-18	12.36	14.58	11.87	14.50	951100
2008-01-22	12.44	12.72	11.65	11.87	1503700
2008-01-23	14.09	14.34	12.13	12.14	391700
2008-01-24	14.14	14.39	13.84	14.14	579400
2008-01-25	15.02	15.51	14.09	14.37	340200
2008-01-28	15.33	15.59	14.67	14.94	212400
2008-01-29	16.17	16.42	14.97	15.33	233900
2008-01-30	15.38	16.35	15.32	15.93	330100
2008-01-31	15.07	15.60	15.04	15.23	281700
2008-02-01	14.59	15.51	13.94	15.38	375000
2008-02-04	13.87	14.72	13.73	14.47	189300
2008-02-05	13.85	14.03	13.54	13.56	166000
2008-02-06	14.04	14.59	13.85	13.88	92200
2008-02-07	15.74	16.07	13.78	13.99	243500
2008-02-08	15.38	15.61	14.95	15.58	395700
2008-02-11	14.92	15.43	14.63	15.38	125200
2008-02-12	14.75	15.68	14.64	14.97	123600
2008-02-13	14.76	14.91	14.34	14.85	147500
2008-02-14	14.63	14.92	14.17	14.82	174500
2008-02-15	14.63	14.63	14.28	14.58	67100
2008-02-19	14.62	15.86	14.59	14.88	119400
2008-02-20	14.75	14.83	14.24	14.58	72300
2008-02-21	14.62	15.36	14.60	14.89	123600
2008-02-22	13.85	14.72	13.34	14.63	155300
2008-02-25	13.99	14.14	13.75	14.12	275300
2008-02-26	15.00	15.31	13.92	13.92	141400
2008-02-27	14.66	14.79	14.48	14.79	106500
2008-02-28	14.46	14.88	14.42	14.87	192500
2008-02-29	13.85	14.52	13.64	14.34	155900
2008-03-03	14.59	14.93	14.09	14.09	269600
2008-03-04	14.16	14.77	13.87	14.41	65800
2008-03-05	14.28	14.63	13.92	14.26	110300
2008-03-06	14.14	14.29	13.85	14.18	121400
2008-03-07	13.33	14.15	13.27	13.93	118000
2008-03-10	12.55	13.51	12.36	13.35	228700
2008-03-11	12.68	13.20	12.59	12.90	137900
2008-03-12	12.08	13.00	12.01	12.72	176800
2008-03-13	10.37	11.87	10.32	11.87	271200
2008-03-14	10.58	10.88	9.97	10.68	691500
2008-03-17	11.16	11.38	10.03	10.04	175300
2008-03-18	11.67	11.80	10.88	11.57	255000
2008-03-19	11.37	12.12	11.33	11.87	240100
2008-03-20	12.64	13.20	10.24	10.59	745900
2008-03-24	13.84	14.79	12.37	12.89	205600
2008-03-25	14.85	16.93	13.73	13.73	390100
2008-03-26	14.49	14.73	14.13	14.73	131500
2008-03-27	14.31	14.57	13.75	14.57	113700
