Date	Open	High	Low	Close	Volume
1984-10-17	0.11	0.12	0.11	0.11	9868800.00
1984-10-18	0.12	0.12	0.12	0.12	5324800.00
1984-10-19	0.12	0.12	0.11	0.11	3043200.00
1984-10-22	0.11	0.12	0.11	0.11	2326400.00
1984-10-23	0.11	0.11	0.11	0.11	787200.00
1984-10-24	0.11	0.12	0.11	0.11	230400.00
1984-10-25	0.11	0.12	0.11	0.11	1587200.00
1984-10-26	0.11	0.11	0.11	0.11	758400.00
1984-10-29	0.11	0.11	0.11	0.11	614400.00
1984-10-30	0.11	0.12	0.11	0.11	192000.00
1984-10-31	0.11	0.12	0.11	0.11	297600.00
1984-11-01	0.11	0.11	0.11	0.11	352000.00
1984-11-02	0.11	0.11	0.11	0.11	1638400.00
1984-11-05	0.11	0.11	0.11	0.11	534400.00
1984-11-06	0.11	0.11	0.11	0.11	544000.00
1984-11-07	0.11	0.11	0.11	0.11	76800.00
1984-11-08	0.11	0.11	0.11	0.11	44800.00
1984-11-09	0.11	0.11	0.11	0.11	896000.00
1984-11-12	0.11	0.11	0.11	0.11	300800.00
1984-11-13	0.11	0.11	0.11	0.11	464000.00
1984-11-14	0.11	0.11	0.10	0.10	1523200.00
1984-11-15	0.10	0.11	0.10	0.10	156800.00
1984-11-16	0.10	0.11	0.10	0.10	579200.00
1984-11-19	0.10	0.11	0.10	0.10	358400.00
1984-11-20	0.10	0.10	0.09	0.09	179200.00
1984-11-21	0.09	0.10	0.09	0.09	905600.00
1984-11-23	0.09	0.10	0.09	0.09	25600.00
1984-11-26	0.10	0.10	0.10	0.10	166400.00
1984-11-27	0.10	0.10	0.10	0.10	147200.00
1984-11-28	0.10	0.10	0.10	0.10	492800.00
1984-11-29	0.10	0.10	0.10	0.10	262400.00
1984-11-30	0.10	0.10	0.10	0.10	556800.00
1984-12-03	0.10	0.10	0.10	0.10	380800.00
1984-12-04	0.10	0.10	0.09	0.09	217600.00
1984-12-05	0.09	0.10	0.09	0.09	102400.00
1984-12-06	0.09	0.10	0.09	0.09	630400.00
1984-12-07	0.09	0.09	0.09	0.09	86400.00
1984-12-10	0.09	0.09	0.09	0.09	2099200.00
1984-12-11	0.09	0.09	0.09	0.09	188800.00
1984-12-12	0.09	0.09	0.09	0.09	393600.00
1984-12-13	0.09	0.09	0.09	0.09	102400.00
1984-12-14	0.09	0.09	0.09	0.09	89600.00
1984-12-17	0.09	0.09	0.09	0.09	102400.00
1984-12-18	0.09	0.09	0.09	0.09	214400.00
1984-12-19	0.09	0.09	0.09	0.09	102400.00
1984-12-20	0.09	0.09	0.09	0.09	121600.00
1984-12-21	0.09	0.09	0.09	0.09	704000.00
1984-12-24	0.09	0.09	0.09	0.09	921600.00
1984-12-26	0.09	0.09	0.09	0.09	521600.00
1984-12-27	0.09	0.10	0.09	0.09	947200.00
1984-12-28	0.09	0.09	0.09	0.09	76800.00
1984-12-31	0.09	0.10	0.09	0.09	457600.00
1985-01-02	0.09	0.10	0.09	0.09	179200.00
1985-01-03	0.09	0.10	0.09	0.09	227200.00
1985-01-04	0.09	0.10	0.09	0.09	390400.00
1985-01-07	0.10	0.11	0.10	0.10	2652800.00
1985-01-08	0.11	0.12	0.11	0.11	1190400.00
1985-01-09	0.11	0.12	0.11	0.11	403200.00
1985-01-10	0.12	0.12	0.12	0.12	1062400.00
1985-01-11	0.12	0.13	0.12	0.12	188800.00
1985-01-14	0.12	0.13	0.12	0.12	131200.00
1985-01-15	0.12	0.13	0.12	0.12	320000.00
1985-01-16	0.12	0.13	0.12	0.12	134400.00
1985-01-17	0.12	0.13	0.12	0.12	441600.00
1985-01-18	0.12	0.13	0.12	0.12	556800.00
1985-01-21	0.12	0.13	0.12	0.12	112000.00
