Date	Close	High	Low	Open	Volume
	UNM	UNM	UNM	UNM	UNM
1986-11-06	2.97	3.03	2.91	2.99	17902800
1986-11-07	2.95	2.97	2.90	2.97	6288000
1986-11-10	2.87	2.93	2.86	2.93	3060000
1986-11-11	2.91	2.91	2.87	2.87	1130000
1986-11-12	2.91	2.94	2.89	2.91	2082800
1986-11-13	2.89	2.90	2.89	2.90	891200
1986-11-14	2.91	2.91	2.87	2.89	952000
1986-11-17	2.86	2.90	2.86	2.89	1055200
1986-11-18	2.81	2.87	2.80	2.86	2426400
1986-11-19	2.77	2.81	2.76	2.81	2026000
1986-11-20	2.81	2.82	2.77	2.80	3253600
1986-11-21	2.85	2.85	2.82	2.85	639600
1986-11-24	2.82	2.85	2.82	2.83	660000
1986-11-25	2.83	2.85	2.78	2.82	1080000
1986-11-26	2.83	2.86	2.78	2.83	963200
1986-11-28	2.85	2.85	2.82	2.83	521600
1986-12-01	2.86	2.86	2.83	2.83	662000
1986-12-02	2.91	2.91	2.86	2.86	1161200
1986-12-03	2.95	2.99	2.91	2.91	1210400
1986-12-04	2.93	2.95	2.91	2.95	1446400
1986-12-05	2.90	2.93	2.90	2.91	737600
1986-12-08	2.86	2.90	2.86	2.89	703600
1986-12-09	2.86	2.87	2.86	2.86	444800
1986-12-10	2.85	2.87	2.85	2.86	902400
1986-12-11	2.83	2.87	2.80	2.86	550400
1986-12-12	2.86	2.86	2.82	2.83	356800
1986-12-15	2.85	2.86	2.82	2.85	521200
1986-12-16	2.82	2.85	2.81	2.83	835600
1986-12-17	2.81	2.82	2.81	2.82	803600
1986-12-18	2.80	2.82	2.77	2.81	1108000
1986-12-19	2.81	2.81	2.76	2.76	556000
1986-12-22	2.78	2.78	2.76	2.78	1456000
1986-12-23	2.78	2.78	2.76	2.77	574000
1986-12-24	2.77	2.83	2.76	2.83	322400
1986-12-26	2.78	2.78	2.76	2.76	486000
1986-12-29	2.77	2.77	2.74	2.77	693200
1986-12-30	2.78	2.78	2.73	2.77	910000
1986-12-31	2.85	2.85	2.76	2.76	841600
1987-01-02	2.89	2.89	2.81	2.83	264800
1987-01-05	2.94	2.95	2.89	2.89	668400
1987-01-06	2.95	2.95	2.90	2.91	554400
1987-01-07	3.03	3.03	2.94	2.94	748400
1987-01-08	3.21	3.21	3.01	3.02	596800
1987-01-09	3.23	3.29	3.14	3.19	759600
1987-01-12	3.23	3.30	3.21	3.21	1196800
1987-01-13	3.14	3.22	3.11	3.21	504800
1987-01-14	3.18	3.22	3.15	3.17	611600
1987-01-15	3.18	3.22	3.17	3.17	463200
1987-01-16	3.23	3.25	3.15	3.19	412800
1987-01-19	3.21	3.23	3.18	3.21	161600
1987-01-20	3.23	3.24	3.20	3.23	642000
1987-01-21	3.20	3.24	3.20	3.22	505200
1987-01-22	3.16	3.20	3.14	3.20	618000
1987-01-23	3.24	3.24	3.16	3.18	573200
1987-01-26	3.14	3.19	3.14	3.19	594800
1987-01-27	3.18	3.19	3.10	3.11	488400
1987-01-28	3.16	3.20	3.16	3.16	462000
1987-01-29	3.14	3.19	3.14	3.15	574000
1987-01-30	3.14	3.18	3.12	3.14	265600
1987-02-02	3.20	3.20	3.12	3.19	900000
1987-02-03	3.20	3.24	3.19	3.22	1131600
1987-02-04	3.18	3.19	3.15	3.19	498800
1987-02-05	3.15	3.20	3.11	3.12	1638800
1987-02-06	3.20	3.20	3.15	3.16	673600
1987-02-09	3.19	3.22	3.15	3.18	487600
1987-02-10	3.18	3.19	3.16	3.18	300800
1987-02-11	3.19	3.20	3.18	3.18	228000
1987-02-12	3.20	3.23	3.19	3.20	324800
1987-02-13	3.30	3.30	3.20	3.20	402800
1987-02-17	3.19	3.32	3.19	3.30	933200
1987-02-18	3.14	3.22	3.12	3.22	702400
1987-02-19	3.30	3.34	3.02	3.11	1086400
