Date	Close	High	Low	Open	Volume
	UWM	UWM	UWM	UWM	UWM
2007-01-25	16.40	16.46	16.40	16.46	8400
2007-01-26	16.24	16.28	15.95	15.98	72800
2007-01-29	16.48	16.59	16.28	16.28	153600
2007-01-30	16.69	16.69	16.43	16.57	139600
2007-01-31	16.74	16.91	16.49	16.51	129600
2007-02-01	17.12	17.12	16.88	16.97	137200
2007-02-02	17.15	17.20	17.06	17.09	67200
2007-02-05	17.01	17.19	16.98	17.07	129600
2007-02-06	17.17	17.19	16.94	17.17	91600
2007-02-07	17.45	17.45	17.16	17.23	120000
2007-02-08	17.45	17.49	17.37	17.37	16800
2007-02-09	17.09	17.47	16.89	17.47	30800
2007-02-12	16.91	17.10	16.86	17.10	51200
2007-02-13	17.28	17.28	17.08	17.16	94000
2007-02-14	17.32	17.51	17.28	17.31	95200
2007-02-15	17.40	17.49	17.23	17.29	65600
2007-02-16	17.47	17.51	17.18	17.36	146400
2007-02-20	17.85	17.90	17.24	17.38	120000
2007-02-21	17.89	17.89	17.63	17.68	447200
2007-02-22	17.99	18.00	17.67	17.94	172000
2007-02-23	17.87	17.93	17.70	17.86	108400
2007-02-26	17.74	17.97	17.48	17.94	291600
2007-02-27	16.21	17.20	16.20	16.91	608800
2007-02-28	16.42	16.59	15.99	16.22	359200
2007-03-01	16.30	16.47	15.58	15.84	173200
2007-03-02	15.65	16.21	15.62	16.06	275600
2007-03-05	14.97	15.75	14.97	15.36	450400
2007-03-06	15.81	15.93	15.37	15.42	471200
2007-03-07	15.57	15.89	15.57	15.79	544400
2007-03-08	15.85	16.12	15.79	15.94	520000
2007-03-09	16.06	16.13	15.83	16.12	586000
2007-03-12	16.16	16.23	15.93	16.06	346000
2007-03-13	15.34	16.02	15.29	15.96	397200
2007-03-14	15.69	15.69	15.01	15.45	398400
2007-03-15	15.94	15.95	15.71	15.71	204800
2007-03-16	15.73	15.99	15.63	15.91	230400
2007-03-19	16.06	16.16	15.93	16.00	218400
2007-03-20	16.34	16.34	15.99	16.06	178800
2007-03-21	16.92	17.00	16.31	16.38	549200
2007-03-22	16.93	17.01	16.80	17.01	221200
2007-03-23	16.99	17.02	16.89	16.95	234800
2007-03-26	16.97	17.05	16.66	16.96	237200
2007-03-27	16.71	16.77	16.59	16.77	210400
2007-03-28	16.56	16.66	16.27	16.54	406000
2007-03-29	16.55	16.77	16.24	16.77	395600
2007-03-30	16.58	16.82	16.33	16.64	600400
2007-04-02	16.73	16.73	16.53	16.73	311200
2007-04-03	17.10	17.19	16.86	16.88	538800
2007-04-04	17.03	17.09	16.92	17.06	190400
2007-04-05	17.04	17.19	16.98	17.01	236800
2007-04-09	17.06	17.14	16.98	17.06	221200
2007-04-10	17.20	17.26	17.07	17.09	177200
2007-04-11	16.93	17.11	16.74	17.11	164000
2007-04-12	17.17	17.20	16.69	16.80	254800
2007-04-13	17.36	17.36	17.04	17.25	251600
2007-04-16	17.88	17.89	17.65	17.68	399600
2007-04-17	17.80	17.91	17.64	17.80	164800
2007-04-18	17.53	17.72	17.53	17.65	155600
2007-04-19	17.32	17.53	17.19	17.22	266800
2007-04-20	17.75	17.77	17.55	17.75	291200
2007-04-23	17.69	17.83	17.59	17.75	124800
2007-04-24	17.71	17.78	17.39	17.78	315200
2007-04-25	17.87	18.01	17.61	17.85	258400
2007-04-26	18.07	18.07	17.66	17.94	483600
2007-04-27	17.82	17.86	17.63	17.84	207600
2007-04-30	17.07	17.75	17.07	17.72	401200
2007-05-01	17.20	17.23	16.82	17.19	396000
2007-05-02	17.71	17.78	17.21	17.21	290000
2007-05-03	17.70	17.82	17.60	17.73	242800
2007-05-04	17.89	17.91	17.65	17.79	332800
2007-05-07	17.83	17.97	17.78	17.88	145600
2007-05-08	17.80	17.80	17.39	17.68	218400
2007-05-09	17.88	18.09	17.57	17.57	296400
2007-05-10	17.38	17.75	17.23	17.63	306400
