Date	Close	High	Low	Open	Volume
	U	U	U	U	U
2020-09-18	68.35	76.79	67.00	75.00	20621000
2020-09-21	72.96	73.98	65.11	67.11	5055200
2020-09-22	84.82	84.98	75.11	76.64	6893700
2020-09-23	81.85	88.88	79.90	88.67	4343900
2020-09-24	83.20	83.89	75.70	77.75	2487200
2020-09-25	89.85	93.36	84.25	84.79	3681700
2020-09-28	95.80	100.00	94.10	94.46	3999900
2020-09-29	94.92	102.63	93.50	98.16	2814000
2020-09-30	87.28	96.36	85.03	94.90	3670700
2020-10-01	84.56	90.97	83.50	89.33	4530800
2020-10-02	83.53	87.62	81.55	81.55	2771300
2020-10-05	84.00	85.85	82.30	85.83	1260500
2020-10-06	82.79	84.76	82.71	84.61	1014400
2020-10-07	88.65	89.50	83.76	84.04	1767800
2020-10-08	91.40	93.50	88.80	91.19	1892900
2020-10-09	99.11	100.42	92.70	92.85	2587700
2020-10-12	90.00	101.00	89.80	100.13	3868000
2020-10-13	92.11	94.78	91.00	92.35	2000700
2020-10-14	90.02	96.10	89.20	93.52	2196100
2020-10-15	91.43	93.39	87.00	88.20	1362700
2020-10-16	92.56	93.60	90.88	92.19	958600
2020-10-19	89.30	95.40	88.21	94.00	1669100
2020-10-20	87.15	90.62	86.10	89.83	1224800
2020-10-21	91.00	91.27	87.27	87.27	1270200
2020-10-22	100.96	101.00	88.28	90.82	4738100
2020-10-23	97.28	103.97	93.00	101.00	3246200
2020-10-26	99.96	103.49	91.63	98.00	2933300
2020-10-27	104.00	108.35	95.50	100.00	5984300
2020-10-28	99.76	102.00	96.20	100.00	2391500
2020-10-29	108.84	109.28	98.50	101.79	2805300
2020-10-30	94.88	107.30	92.22	105.81	5100700
2020-11-02	94.13	98.69	93.37	96.67	2514500
2020-11-03	98.07	99.50	94.60	96.00	2161600
2020-11-04	106.45	106.88	100.50	101.81	2788900
2020-11-05	110.76	112.79	107.23	110.00	2106600
2020-11-06	119.00	119.88	108.15	110.50	1727700
2020-11-09	102.85	117.03	102.41	116.88	3158700
2020-11-10	99.66	106.19	98.00	106.06	2447100
2020-11-11	105.58	106.50	101.53	102.76	1663700
2020-11-12	101.74	106.53	99.50	105.00	2937000
2020-11-13	114.77	116.86	100.00	100.00	4769700
2020-11-16	111.51	112.50	105.37	109.00	4675000
2020-11-17	118.05	122.95	107.83	107.83	3710800
2020-11-18	115.01	119.27	113.51	119.19	1897200
2020-11-19	116.31	118.50	114.00	115.01	1663800
2020-11-20	122.80	124.18	116.34	117.31	2688000
2020-11-23	129.40	129.87	122.60	123.31	2100800
2020-11-24	129.04	133.85	126.00	130.97	1724900
2020-11-25	137.46	138.95	128.00	130.00	1539800
2020-11-27	147.62	148.00	141.55	143.00	1799400
2020-11-30	151.98	152.61	139.13	147.00	2514000
2020-12-01	147.23	155.95	142.66	155.00	2407200
2020-12-02	141.05	145.50	135.51	142.10	2141600
2020-12-03	145.67	149.95	142.61	143.20	1241300
2020-12-04	150.94	154.88	146.61	149.09	1498600
2020-12-07	155.71	158.20	150.33	151.90	1321800
2020-12-08	167.25	167.87	158.00	158.00	1738800
2020-12-09	152.00	170.55	149.12	169.80	4057700
