Date	Open	High	Low	Close	Adj Close	Volume
2004-09-29	30.73	30.82	30.49	30.49		900.00
2004-09-30	30.77	30.77	30.66	30.76		4500.00
2004-10-01	30.78	31.17	30.78	31.16		6700.00
2004-10-04	31.18	31.26	31.12	31.19		6800.00
2004-10-05	31.43	31.57	31.43	31.48		8600.00
2004-10-06	31.74	32.08	31.71	32.08		14400.00
2004-10-07	32.37	32.42	31.76	31.78		16500.00
2004-10-08	32.00	32.00	31.65	31.86		6600.00
2004-10-11	31.88	31.88	31.37	31.54		10200.00
2004-10-12	31.63	31.63	31.21	31.24		1000.00
2004-10-13	30.72	30.72	30.20	30.46		37700.00
2004-10-14	30.91	30.91	30.75	30.75		3500.00
2004-10-15	31.11	31.11	30.71	30.79		34600.00
2004-10-18	30.89	30.89	30.48	30.49		2000.00
2004-10-19	30.32	30.40	30.32	30.35		400.00
2004-10-20	30.50	30.95	30.50	30.95		10600.00
2004-10-21	31.16	31.29	31.02	31.26		14100.00
2004-10-22	31.18	31.49	31.18	31.26		3800.00
2004-10-25	31.19	31.23	31.06	31.12		11700.00
2004-10-26	31.27	31.47	31.26	31.47		1300.00
2004-10-27	31.61	31.61	30.77	30.90		34400.00
2004-10-28	30.52	30.86	30.24	30.35		1900.00
2004-10-29	30.49	30.72	30.41	30.72		36500.00
2004-11-01	30.93	30.93	30.46	30.58		10400.00
2004-11-02	30.35	30.51	30.10	30.10		10400.00
2004-11-03	30.75	30.88	30.40	30.78		11100.00
2004-11-04	31.13	31.24	31.07	31.24		4000.00
2004-11-05	31.36	31.38	31.18	31.35		13600.00
2004-11-08	31.21	31.30	30.74	30.80		11800.00
2004-11-09	30.79	30.81	30.59	30.66		31700.00
2004-11-10	30.65	31.07	30.44	31.02		6800.00
2004-11-11	30.97	31.02	30.89	31.02		1800.00
2004-11-12	31.13	31.62	31.13	31.60		14300.00
2004-11-15	31.60	31.60	30.75	30.87		5700.00
2004-11-16	30.93	31.12	30.93	30.96		3200.00
2004-11-17	31.15	31.38	31.02	31.30		4200.00
2004-11-18	31.35	31.57	31.35	31.57		3800.00
2004-11-19	31.57	31.97	31.57	31.91		8700.00
2004-11-22	32.04	32.39	31.99	32.39		42800.00
2004-11-23	32.57	32.82	32.57	32.62		3700.00
2004-11-24	32.76	32.94	32.56	32.94		5200.00
2004-11-26	33.09	33.31	33.09	33.19		7700.00
2004-11-29	33.31	33.31	32.66	32.95		16000.00
2004-11-30	33.11	33.11	33.00	33.03		4300.00
2004-12-01	33.03	33.03	32.20	32.28		5300.00
2004-12-02	31.85	31.85	31.13	31.40		16700.00
2004-12-03	31.40	31.73	31.35	31.68		1700.00
2004-12-06	31.76	31.76	31.49	31.55		6800.00
2004-12-07	31.57	31.57	30.96	31.05		5100.00
2004-12-08	30.63	31.23	30.51	31.12		8600.00
2004-12-09	31.24	31.40	31.04	31.40		7200.00
2004-12-10	31.42	31.57	31.15	31.26		7500.00
2004-12-13	31.48	31.66	31.48	31.64		2600.00
2004-12-14	31.82	31.92	31.67	31.82		12500.00
2004-12-15	32.04	32.19	31.80	32.19		2400.00
2004-12-16	32.07	32.07	31.79	31.88		11100.00
2004-12-17	31.89	31.95	31.77	31.94		6600.00
2004-12-20	32.08	32.26	32.08	32.21		6700.00
2004-12-21	32.32	32.53	32.18	32.53		7900.00
2004-12-22	32.49	32.49	31.76	32.09		3000.00
2004-12-23	32.22	32.41	32.11	32.41		5100.00
2004-12-27	32.41	32.41	31.79	31.79		7400.00
2004-12-28	31.87	32.05	31.87	31.97		4500.00
2004-12-29	31.92	32.17	31.89	32.17		7700.00
2004-12-30	32.14	32.14	32.05	32.11		4100.00
2004-12-31	32.05	32.25	31.98	32.11		2400.00
2005-01-03	31.84	31.84	30.97	30.97		19700.00
2005-01-04	31.06	31.27	30.75	30.75		17100.00
2005-01-05	30.86	30.94	30.56	30.66		49200.00
2005-01-06	30.63	31.35	30.53	31.14		11600.00
2005-01-07	31.02	31.03	30.72	30.86		17300.00
2005-01-10	31.15	31.42	31.11	31.11		10100.00
2005-01-11	31.16	31.22	30.90	31.16		10600.00
2005-01-12	31.13	31.67	31.13	31.65		2500.00
