Date	Open	High	Low	Close	Adj Close	Volume
2004-01-30	37.33	37.46	37.24	37.46		28700.00
2004-02-02	37.50	38.02	37.41	37.85		8700.00
2004-02-03	37.84	38.09	37.80	38.09		7300.00
2004-02-04	38.01	38.26	37.99	38.12		8600.00
2004-02-05	38.12	38.12	37.76	37.92		16300.00
2004-02-06	37.93	38.18	37.80	38.16		6800.00
2004-02-09	38.10	38.11	37.95	37.98		44500.00
2004-02-10	37.87	38.18	37.87	38.12		8300.00
2004-02-11	38.16	38.52	38.02	38.49		11000.00
2004-02-12	38.49	38.55	38.29	38.29		16000.00
2004-02-13	38.37	38.37	38.11	38.21		3400.00
2004-02-17	38.43	38.43	38.32	38.38		11100.00
2004-02-18	38.45	38.46	38.14	38.21		12700.00
2004-02-19	38.38	38.42	37.99	38.02		5100.00
2004-02-20	38.06	38.06	37.72	37.85		4100.00
2004-02-23	37.87	37.87	37.52	37.66		5200.00
2004-02-24	37.61	37.87	37.51	37.78		3400.00
2004-02-25	37.72	37.90	37.72	37.88		5400.00
2004-02-26	37.83	37.96	37.69	37.91		4300.00
2004-02-27	37.91	38.02	37.89	37.93		5600.00
2004-03-01	37.92	38.06	37.75	38.04		7900.00
2004-03-02	37.99	38.08	37.80	37.96		5600.00
2004-03-03	37.74	38.08	37.64	38.07		4000.00
2004-03-04	38.08	38.26	38.03	38.26		5500.00
2004-03-05	38.14	38.49	38.14	38.43		8700.00
2004-03-08	38.52	38.64	38.42	38.42		13300.00
2004-03-09	38.36	38.36	37.86	37.95		6600.00
2004-03-10	37.95	37.95	37.33	37.33		13400.00
2004-03-11	37.05	37.21	36.70	36.70		9700.00
2004-03-12	36.80	36.96	36.72	36.96		4600.00
2004-03-15	36.92	36.92	36.48	36.49		14100.00
2004-03-16	36.79	36.79	36.49	36.50		5100.00
2004-03-17	36.78	36.79	36.64	36.77		4700.00
2004-03-18	36.64	36.78	36.39	36.74		2500.00
2004-03-19	36.56	36.56	36.12	36.25		6700.00
2004-03-22	36.00	36.00	35.64	35.73		7000.00
2004-03-23	35.88	35.88	35.70	35.75		3600.00
2004-03-24	35.83	35.83	35.53	35.53		3800.00
2004-03-25	35.67	36.00	35.64	35.99		4700.00
2004-03-26	35.91	36.04	35.91	35.96		5400.00
2004-03-29	36.14	36.50	36.14	36.48		4600.00
2004-03-30	36.52	36.55	36.30	36.44		5500.00
2004-03-31	36.51	36.65	36.48	36.65		7200.00
2004-04-01	36.98	36.98	36.88	36.88		2400.00
2004-04-02	37.46	37.47	37.32	37.32		4400.00
2004-04-05	37.53	37.87	37.53	37.87		7900.00
2004-04-06	37.76	37.76	37.56	37.71		5100.00
2004-04-07	37.69	37.71	37.56	37.60		1500.00
2004-04-08	37.84	37.85	37.31	37.31		4900.00
2004-04-12	37.50	37.60	37.31	37.60		3800.00
2004-04-13	37.73	37.81	37.24	37.28		6900.00
2004-04-14	37.10	37.58	37.10	37.45		6800.00
2004-04-15	37.58	38.14	37.58	38.10		7700.00
2004-04-16	38.11	38.41	38.08	38.29		5700.00
2004-04-19	38.36	38.36	38.24	38.32		2500.00
2004-04-20	38.38	38.38	37.88	37.88		8500.00
2004-04-21	38.27	38.37	38.11	38.37		2500.00
2004-04-22	38.26	38.61	38.20	38.61		5100.00
2004-04-23	38.55	38.55	38.32	38.44		2100.00
2004-04-26	38.61	38.77	38.40	38.49		8500.00
2004-04-27	38.62	38.78	38.47	38.47		6400.00
2004-04-28	38.51	38.51	38.02	38.08		7000.00
2004-04-29	38.10	38.14	37.78	37.79		2500.00
2004-04-30	37.89	37.91	37.87	37.91		1700.00
2004-05-03	37.93	38.58	37.93	38.34		36100.00
2004-05-04	38.25	38.45	38.06	38.17		2100.00
2004-05-05	38.17	38.56	38.17	38.56		2000.00
2004-05-06	38.43	38.43	38.05	38.27		2300.00
2004-05-07	38.32	38.35	37.96	38.02		11100.00
2004-05-10	37.58	37.71	37.15	37.30		4400.00
2004-05-11	37.42	37.50	37.27	37.39		30800.00
2004-05-12	37.35	37.49	36.93	37.49		7400.00
2004-05-13	37.59	37.67	37.47	37.47		4100.00
2004-05-14	37.54	37.72	37.08	37.56		23300.00
