Date	Close	High	Low	Open	Volume
	VIK	VIK	VIK	VIK	VIK
2024-05-01	26.10	26.86	25.71	26.15	35017400
2024-05-02	26.99	28.29	26.32	26.54	10635500
2024-05-03	29.00	29.27	27.20	27.75	5908800
2024-05-06	28.94	29.08	27.98	29.08	3604500
2024-05-07	28.65	29.45	28.62	29.01	1744200
2024-05-08	28.50	28.94	28.25	28.64	2333600
2024-05-09	28.50	29.00	28.35	28.74	1851700
2024-05-10	28.62	28.69	28.16	28.58	1861200
2024-05-13	28.00	28.97	27.98	28.80	1431600
2024-05-14	28.10	28.54	27.94	28.00	1595400
2024-05-15	28.05	28.52	27.60	28.50	817000
2024-05-16	28.07	28.44	27.93	28.27	789500
2024-05-17	28.49	28.51	28.05	28.35	776900
2024-05-20	29.81	30.16	28.75	28.77	2407800
2024-05-21	29.35	29.80	28.62	29.52	1110200
2024-05-22	29.12	30.23	28.87	29.63	1405200
2024-05-23	28.68	29.94	28.67	29.94	1081200
2024-05-24	29.68	29.96	28.71	29.11	1341400
2024-05-28	30.60	31.06	29.37	30.60	3838600
2024-05-29	29.71	30.75	28.89	30.66	2882900
2024-05-30	30.58	30.97	29.60	29.94	1428700
2024-05-31	31.41	32.49	30.65	30.90	2217900
2024-06-03	31.58	32.63	31.53	32.28	2330200
2024-06-04	31.97	32.53	31.56	31.74	1488500
2024-06-05	31.51	32.39	31.20	32.26	1220600
2024-06-06	30.59	31.60	30.36	31.15	1406200
2024-06-07	31.47	31.50	29.83	30.57	1518500
2024-06-10	31.50	31.70	30.92	31.40	832600
2024-06-11	31.71	31.71	31.10	31.57	1534600
2024-06-12	32.32	32.60	31.51	31.80	2214400
2024-06-13	32.99	33.28	32.11	32.39	1416700
2024-06-14	30.86	33.07	30.85	33.06	3581200
2024-06-17	30.97	31.37	30.42	30.88	1207300
2024-06-18	31.45	31.48	30.97	31.00	939300
2024-06-20	31.45	31.74	31.11	31.74	963400
2024-06-21	31.53	31.54	30.97	31.13	984200
2024-06-24	31.03	32.08	30.86	31.55	1024100
2024-06-25	30.93	31.96	30.70	31.58	1654800
2024-06-26	31.27	31.27	30.66	30.78	1952300
2024-06-27	32.71	33.09	30.61	31.31	2874300
2024-06-28	33.94	34.11	32.67	32.78	4589900
2024-07-01	33.26	34.26	32.75	34.23	2473300
2024-07-02	33.50	33.73	32.97	33.69	3285800
2024-07-03	34.15	34.26	33.32	33.64	1434300
2024-07-05	33.85	34.53	33.66	34.38	2080900
2024-07-08	34.12	34.36	33.85	33.85	2227800
2024-07-09	34.34	35.30	34.06	34.17	1618800
2024-07-10	33.63	34.66	33.45	34.54	1211400
2024-07-11	34.41	34.42	33.41	33.69	1135500
2024-07-12	34.96	35.34	34.42	34.59	779600
2024-07-15	35.68	35.71	34.59	35.07	532100
2024-07-16	36.65	36.89	35.53	35.75	1252900
2024-07-17	35.13	36.82	35.04	36.61	1246200
2024-07-18	35.85	36.34	35.10	35.37	1546300
2024-07-19	37.00	37.16	35.68	35.89	1635200
2024-07-22	36.33	37.25	35.94	37.05	808400
2024-07-23	36.75	37.07	36.08	36.29	498500
2024-07-24	34.54	36.72	34.18	36.72	1637500
2024-07-25	34.18	35.23	33.86	34.56	1327800
2024-07-26	35.19	35.33	34.35	34.87	715500
2024-07-29	35.35	35.62	34.88	35.23	611400
2024-07-30	35.52	35.86	35.19	35.45	603000
2024-07-31	35.70	36.57	35.45	35.79	1084800
2024-08-01	35.00	36.43	34.08	35.75	1722600
2024-08-02	32.93	34.19	32.72	34.04	2365400
2024-08-05	32.13	32.32	30.56	31.36	1627000
2024-08-06	33.24	33.94	32.27	32.33	1181800
2024-08-07	32.46	33.81	32.02	33.63	1478300
2024-08-08	33.03	33.59	31.97	32.55	998100
2024-08-09	33.51	34.10	32.74	33.13	1007500
2024-08-12	33.26	34.09	33.10	33.36	587100
2024-08-13	33.38	33.56	32.67	33.16	774900
2024-08-14	34.21	34.39	33.25	33.42	765300
2024-08-15	35.63	35.89	34.39	34.46	1255700
2024-08-16	35.14	35.60	34.92	35.52	1033400
2024-08-19	35.50	35.65	34.94	35.24	934000
2024-08-20	35.93	36.90	35.37	35.72	2220300
2024-08-21	36.44	36.59	35.61	36.07	1909200
2024-08-22	33.22	35.45	33.05	34.70	4042900
2024-08-23	35.63	35.83	33.83	33.83	1774000
2024-08-26	35.74	36.00	34.71	35.67	1157600
2024-08-27	35.38	35.87	35.05	35.62	863800
2024-08-28	33.71	35.69	33.64	35.31	1092000
2024-08-29	33.65	34.00	33.35	33.78	1275600
2024-08-30	33.55	33.97	33.15	33.93	1834800
2024-09-03	32.75	33.86	32.52	33.30	1065600
2024-09-04	33.03	33.12	32.52	32.66	515600
2024-09-05	33.19	33.81	32.88	33.00	791800
2024-09-06	32.39	33.31	32.21	32.84	1130400
2024-09-09	32.44	32.98	32.05	32.41	1546000
2024-09-10	31.28	31.94	30.75	31.32	2039600
2024-09-11	31.58	32.15	30.84	31.48	2827700
2024-09-12	32.40	33.05	31.76	31.83	11101300
2024-09-13	32.68	33.20	32.25	32.53	3574400
2024-09-16	32.77	32.93	32.20	32.60	2102100
2024-09-17	32.84	33.33	32.47	32.98	1613600
2024-09-18	33.57	33.94	32.82	32.94	2361700
2024-09-19	33.91	34.36	33.78	34.13	1386700
2024-09-20	34.43	34.54	33.86	34.00	1516100
2024-09-23	34.10	34.75	34.03	34.71	752300
2024-09-24	34.79	35.08	34.05	34.21	1628200
