Date	Close	High	Low	Open	Volume
	VNOM	VNOM	VNOM	VNOM	VNOM
2014-06-18	16.78	17.81	16.08	16.34	7080600
2014-06-19	17.30	17.59	16.47	16.80	980100
2014-06-20	17.64	17.64	16.97	17.43	238500
2014-06-23	17.76	18.68	17.64	18.68	322900
2014-06-24	17.12	18.14	16.94	18.01	237900
2014-06-25	16.59	17.36	16.38	16.89	243100
2014-06-26	16.83	16.94	16.50	16.50	144900
2014-06-27	17.17	17.38	16.58	16.64	117600
2014-06-30	17.54	17.97	17.22	17.44	188500
2014-07-01	16.73	17.90	16.63	17.71	234800
2014-07-02	17.27	17.36	16.40	16.75	72100
2014-07-03	17.47	17.63	17.12	17.39	13900
2014-07-07	17.62	17.65	17.18	17.21	41300
2014-07-08	17.38	17.70	17.15	17.67	44200
2014-07-09	17.31	17.38	17.12	17.38	27700
2014-07-10	17.08	17.23	16.87	17.17	30400
2014-07-11	16.96	17.11	16.86	16.93	90300
2014-07-14	16.86	16.91	16.48	16.80	158900
2014-07-15	16.85	17.01	16.67	16.86	95500
2014-07-16	17.02	17.38	16.61	16.78	56100
2014-07-17	17.24	17.34	16.65	17.07	35000
2014-07-18	17.43	17.55	17.08	17.23	86900
2014-07-21	17.14	17.64	16.96	17.52	60000
2014-07-22	17.08	17.20	16.99	16.99	12000
2014-07-23	16.98	17.18	16.97	17.02	18500
2014-07-24	16.95	17.20	16.94	16.98	46800
2014-07-25	16.78	17.05	16.66	16.95	23400
2014-07-28	16.27	16.97	16.21	16.78	223200
2014-07-29	16.26	16.56	16.21	16.27	210000
2014-07-30	15.75	16.46	15.75	16.26	341000
2014-07-31	15.80	16.16	15.58	15.65	128500
2014-08-01	15.98	16.14	15.66	15.96	36400
2014-08-04	15.90	16.12	15.63	15.82	9300
2014-08-05	15.83	15.91	15.63	15.91	9200
2014-08-06	15.86	15.98	15.64	15.80	20700
2014-08-07	16.21	16.54	15.65	15.65	26300
2014-08-08	16.58	16.75	15.98	16.38	18300
2014-08-11	16.35	16.60	15.98	16.48	27100
2014-08-12	16.34	16.60	15.99	16.35	18200
2014-08-13	16.26	16.47	16.19	16.47	4100
2014-08-14	16.49	16.59	16.12	16.12	5300
2014-08-15	16.29	16.37	16.00	16.35	2900
2014-08-18	16.66	16.67	15.96	16.22	5700
2014-08-19	17.04	17.04	16.29	16.67	6400
2014-08-20	16.60	17.04	16.33	16.87	21500
2014-08-21	16.81	16.87	16.43	16.87	4000
2014-08-22	16.67	16.84	16.44	16.84	9700
2014-08-25	16.35	16.97	16.35	16.97	26500
2014-08-26	16.40	16.60	16.40	16.42	6700
2014-08-27	16.77	16.80	16.35	16.35	16100
2014-08-28	16.52	16.79	16.50	16.78	13500
2014-08-29	16.62	16.65	16.34	16.52	15800
2014-09-02	16.51	16.73	16.35	16.36	7300
2014-09-03	16.27	16.56	16.08	16.56	23100
2014-09-04	15.57	16.34	15.57	16.27	39400
2014-09-05	15.67	16.08	15.57	16.08	23200
2014-09-08	15.68	15.69	15.57	15.58	2100
2014-09-09	15.57	15.82	15.57	15.82	9900
2014-09-10	15.60	15.86	15.57	15.77	22700
2014-09-11	15.61	15.79	15.57	15.57	10600
2014-09-12	15.60	15.85	15.57	15.60	20300
2014-09-15	14.79	15.50	14.78	15.46	216200
2014-09-16	14.12	14.68	14.02	14.63	3643800
2014-09-17	14.01	14.33	14.01	14.19	463000
2014-09-18	13.84	14.08	13.75	14.04	359300
2014-09-19	13.74	13.88	13.64	13.79	196700
2014-09-22	12.74	13.72	12.74	13.70	614400
2014-09-23	12.69	12.84	12.37	12.74	438300
2014-09-24	12.54	12.74	12.38	12.64	229600
2014-09-25	11.96	12.50	11.86	12.40	405400
2014-09-26	12.09	12.32	11.93	11.93	175600
2014-09-29	12.23	12.34	11.89	12.03	170600
2014-09-30	12.05	12.61	11.90	12.30	365400
2014-10-01	12.22	12.55	12.07	12.08	87700
2014-10-02	12.16	12.33	12.07	12.28	80300
2014-10-03	12.54	12.59	12.05	12.18	116000
2014-10-06	12.42	12.52	12.30	12.46	21300
2014-10-07	12.32	12.56	12.21	12.39	97400
2014-10-08	11.47	12.43	11.39	12.35	272600
2014-10-09	10.25	11.52	9.97	11.47	552600
2014-10-10	9.51	10.54	9.21	10.08	320600
2014-10-13	8.91	9.60	8.77	9.58	202800
2014-10-14	9.07	9.57	8.84	8.94	356600
2014-10-15	9.13	9.17	8.45	8.85	241300
2014-10-16	10.23	10.42	8.93	9.05	193700
2014-10-17	10.74	11.33	10.48	10.66	166500
2014-10-20	10.59	11.16	10.34	10.93	75200
2014-10-21	10.83	11.09	10.57	10.69	112600
2014-10-22	10.76	11.13	10.65	10.73	69100
2014-10-23	11.21	11.26	10.80	10.90	84800
2014-10-24	11.08	11.21	10.79	11.21	25900
2014-10-27	10.85	10.93	10.35	10.91	139300
2014-10-28	10.90	11.07	10.65	10.98	84600
2014-10-29	10.72	10.95	10.38	10.92	57400
2014-10-30	10.43	10.89	10.38	10.59	39000
2014-10-31	10.50	10.57	10.41	10.41	53500
2014-11-03	10.53	10.70	10.40	10.45	105600
2014-11-04	10.36	10.49	10.25	10.46	143900
2014-11-05	10.48	10.68	10.12	10.12	184100
2014-11-06	10.66	10.92	10.34	10.49	178500
2014-11-07	10.65	11.07	10.62	10.65	130800
2014-11-10	10.35	10.86	10.30	10.64	107700
2014-11-11	10.11	10.46	10.11	10.46	78200
2014-11-12	10.20	10.50	10.08	10.14	121800
2014-11-13	9.90	10.22	9.81	10.22	63800
2014-11-14	9.74	9.88	9.61	9.85	97300
2014-11-17	9.89	10.14	9.53	9.60	178500
2014-11-18	9.90	9.94	9.77	9.83	70700
2014-11-19	9.94	10.07	9.86	9.86	92800
2014-11-20	10.26	10.26	9.86	9.94	256500
2014-11-21	10.46	10.51	10.25	10.28	95200
2014-11-24	10.44	10.46	10.17	10.40	93800
2014-11-25	10.45	10.57	10.33	10.33	477800
2014-11-26	10.20	10.60	10.18	10.46	94500
2014-11-28	9.45	9.90	9.23	9.90	184200
2014-12-01	8.57	9.51	8.42	9.41	192400
2014-12-02	8.60	8.83	8.32	8.57	107900
2014-12-03	8.36	8.60	8.32	8.59	88500
2014-12-04	7.95	8.46	7.90	8.32	115200
2014-12-05	7.59	8.02	7.39	7.94	269600
2014-12-08	7.63	7.68	7.25	7.44	492900
2014-12-09	8.34	8.49	7.36	7.68	396400
2014-12-10	8.05	8.80	8.02	8.46	376600
2014-12-11	7.84	8.45	7.76	8.16	330100
2014-12-12	7.89	8.01	7.54	7.69	361200
2014-12-15	8.06	8.54	7.93	7.96	775200
2014-12-16	8.63	8.67	7.66	7.72	304100
2014-12-17	8.98	9.08	8.33	8.54	268800
2014-12-18	9.28	9.46	9.06	9.07	246700
2014-12-19	10.33	10.44	9.22	9.30	333400
2014-12-22	10.03	10.50	9.86	10.25	282000
2014-12-23	9.82	10.36	9.36	10.16	191800
2014-12-24	9.50	9.79	9.41	9.78	75600
2014-12-26	9.54	9.70	9.12	9.42	183000
2014-12-29	9.22	9.83	9.06	9.66	133600
2014-12-30	8.92	9.38	8.89	9.33	190600
2014-12-31	9.53	9.58	8.75	8.82	176900
2015-01-02	10.37	10.38	9.42	9.54	181600
2015-01-05	9.29	10.21	9.23	10.21	122900
2015-01-06	9.08	9.48	8.96	9.32	76800
2015-01-07	8.71	9.13	8.65	9.10	94100
2015-01-08	9.20	9.28	8.65	8.84	175500
2015-01-09	9.54	9.54	9.05	9.17	162700
2015-01-12	9.29	9.68	9.17	9.47	165700
2015-01-13	9.22	9.52	9.10	9.28	513200
2015-01-14	9.33	9.57	9.15	9.18	169300
2015-01-15	9.32	9.57	9.21	9.50	138800
2015-01-16	9.18	9.50	9.02	9.20	268500
2015-01-20	8.81	9.34	8.54	9.18	380800
2015-01-21	8.93	9.27	8.67	8.84	330400
2015-01-22	8.94	8.97	8.72	8.93	391200
2015-01-23	9.01	9.41	8.81	8.91	422300
2015-01-26	8.84	9.20	8.73	9.03	496300
2015-01-27	9.19	9.34	8.81	8.94	493500
2015-01-28	8.77	9.19	8.68	8.98	226000
2015-01-29	9.19	9.23	8.55	8.84	201300
2015-01-30	9.20	9.20	8.91	9.11	207600
2015-02-02	9.67	10.24	9.10	9.20	191700
2015-02-03	10.33	10.45	9.73	9.87	272500
2015-02-04	9.79	10.15	9.77	10.13	70500
2015-02-05	9.84	9.96	9.61	9.92	155000
2015-02-06	9.74	9.96	9.70	9.84	43100
2015-02-09	9.94	10.17	9.77	9.77	222900
2015-02-10	9.79	10.14	9.66	10.14	84800
2015-02-11	9.77	10.04	9.58	9.78	98700
2015-02-12	9.98	10.02	9.73	9.89	26900
2015-02-13	9.98	10.18	9.89	10.06	35600
2015-02-17	9.96	10.12	9.79	9.94	129800
2015-02-18	9.50	10.26	9.25	10.26	184400
2015-02-19	9.68	9.78	9.37	9.37	55300
2015-02-20	9.73	10.02	9.61	9.61	60500
2015-02-23	9.51	10.15	9.30	9.99	42800
2015-02-24	9.66	9.69	9.48	9.57	26600
2015-02-25	10.10	10.22	9.62	9.69	51500
2015-02-26	10.13	10.20	9.85	10.20	98000
2015-02-27	10.12	10.24	9.94	10.24	52100
2015-03-02	9.99	10.27	9.73	10.27	92900
2015-03-03	10.13	10.18	9.71	9.98	112400
2015-03-04	9.69	10.12	9.48	10.12	86400
2015-03-05	9.62	9.82	9.49	9.65	40700
2015-03-06	9.44	9.66	9.39	9.53	73400
2015-03-09	9.18	9.61	9.11	9.45	34800
2015-03-10	9.12	9.46	8.94	9.11	83500
2015-03-11	9.28	9.45	9.09	9.16	71900
2015-03-12	9.13	9.40	8.93	9.31	71900
2015-03-13	9.20	9.33	8.85	9.05	70900
2015-03-16	9.30	9.46	9.06	9.19	91700
2015-03-17	9.45	9.46	9.19	9.30	44000
2015-03-18	9.46	9.46	9.09	9.33	54700
2015-03-19	9.44	9.46	9.28	9.30	61000
2015-03-20	9.38	9.60	9.23	9.46	91600
2015-03-23	9.44	9.54	9.30	9.38	85000
2015-03-24	9.34	9.58	9.34	9.46	76300
2015-03-25	9.32	9.46	9.30	9.39	71300
2015-03-26	9.65	9.70	9.20	9.43	178000
2015-03-27	9.66	9.94	9.52	9.67	72400
2015-03-30	10.03	10.16	9.70	9.72	45700
2015-03-31	9.72	10.04	9.64	10.04	55000
2015-04-01	9.94	10.12	9.64	9.81	90500
2015-04-02	9.90	10.05	9.61	9.93	29400
2015-04-06	10.04	10.13	9.80	9.91	157500
2015-04-07	9.91	10.02	9.86	10.00	142600
2015-04-08	9.83	10.12	9.77	9.99	206300
2015-04-09	10.08	10.10	9.77	9.94	117300
2015-04-10	10.59	10.85	10.00	10.12	178400
2015-04-13	10.52	10.93	10.50	10.69	81200
2015-04-14	10.79	10.89	10.63	10.63	94400
2015-04-15	11.41	11.50	10.73	10.90	106200
2015-04-16	11.34	11.61	11.28	11.43	50800
2015-04-17	11.05	11.47	10.93	11.26	30800
2015-04-20	11.08	11.32	10.97	11.15	26100
2015-04-21	10.86	11.25	10.84	11.19	32000
2015-04-22	10.83	11.13	10.73	10.95	53000
2015-04-23	10.92	11.00	10.73	10.91	34500
2015-04-24	10.58	10.93	10.51	10.93	18700
2015-04-27	10.43	10.68	10.28	10.68	15500
2015-04-28	10.49	10.64	9.88	10.47	17900
2015-04-29	10.65	10.73	10.38	10.51	18400
2015-04-30	10.98	11.13	10.60	10.73	36800
2015-05-01	10.95	11.08	10.75	11.08	11700
2015-05-04	10.78	11.07	10.66	11.00	25700
2015-05-05	10.72	11.01	10.67	10.86	74900
2015-05-06	10.80	10.94	10.66	10.84	22700
2015-05-07	9.96	11.01	9.93	10.79	133800
2015-05-08	10.02	10.97	9.91	10.26	37000
2015-05-11	10.10	10.29	9.99	10.24	14800
2015-05-12	10.09	10.35	9.97	10.11	16900
2015-05-13	10.39	10.39	9.89	10.17	30600
2015-05-14	10.80	11.01	10.21	10.39	24000
2015-05-15	10.95	11.01	10.50	10.83	13100
2015-05-18	10.42	10.95	10.33	10.93	44100
2015-05-19	10.05	10.66	9.82	10.44	57700
2015-05-20	10.12	10.31	9.82	10.07	30700
2015-05-21	10.17	10.47	9.91	10.27	52200
2015-05-22	10.16	10.32	10.04	10.22	161200
2015-05-26	10.06	10.13	9.69	10.06	418500
2015-05-27	10.01	10.14	9.70	10.14	242000
2015-05-28	9.78	10.03	9.71	9.94	29900
2015-05-29	9.98	10.17	9.72	9.79	20000
2015-06-01	10.14	10.14	9.79	9.83	25900
2015-06-02	10.17	10.27	10.06	10.19	14800
2015-06-03	9.99	10.35	9.90	10.16	40800
2015-06-04	9.65	10.11	9.60	9.98	61800
2015-06-05	9.69	9.84	9.38	9.71	27700
2015-06-08	9.95	9.96	9.57	9.67	56400
2015-06-09	9.67	10.15	9.67	9.95	62100
2015-06-10	10.01	10.14	9.64	9.77	44600
2015-06-11	10.08	10.13	9.83	10.10	29100
2015-06-12	10.05	10.24	9.95	9.99	24500
2015-06-15	10.41	10.49	10.01	10.10	35200
2015-06-16	10.47	10.78	10.35	10.52	60200
2015-06-17	10.84	10.95	10.50	10.67	45700
2015-06-18	10.48	10.95	10.45	10.95	68100
2015-06-19	10.65	10.66	10.28	10.41	25300
2015-06-22	10.92	10.92	10.48	10.74	31900
2015-06-23	11.16	11.16	10.68	10.76	30600
2015-06-24	11.19	11.89	10.77	11.02	67900
2015-06-25	11.17	11.52	10.93	11.35	74100
2015-06-26	10.82	11.11	10.66	11.11	13100
2015-06-29	10.72	10.83	10.45	10.71	4700
2015-06-30	10.60	10.81	10.30	10.68	28300
2015-07-01	10.22	11.57	9.97	10.54	50700
2015-07-02	9.74	10.28	9.56	10.06	54900
2015-07-06	9.61	9.90	9.48	9.62	30700
2015-07-07	9.44	9.74	9.26	9.63	48100
2015-07-08	9.15	9.77	9.15	9.27	8400
2015-07-09	8.64	9.76	8.62	9.47	71100
2015-07-10	9.23	9.47	8.73	8.73	61100
2015-07-13	9.36	9.50	9.25	9.28	81500
2015-07-14	9.30	9.86	9.25	9.37	92800
2015-07-15	8.85	9.25	8.79	9.15	9900
2015-07-16	8.94	9.19	8.80	9.15	42600
2015-07-17	8.51	9.08	8.51	8.81	29500
2015-07-20	8.36	8.58	8.22	8.51	68000
2015-07-21	8.21	8.47	8.15	8.41	96900
2015-07-22	8.23	8.37	8.07	8.09	35700
2015-07-23	7.85	8.24	7.64	8.18	53400
2015-07-24	8.48	8.48	7.75	7.92	44100
2015-07-27	8.07	8.81	8.07	8.43	52400
2015-07-28	8.22	8.52	8.10	8.20	23100
2015-07-29	8.28	8.38	8.09	8.18	17800
2015-07-30	8.40	8.59	8.13	8.29	63800
2015-07-31	8.53	8.60	8.26	8.39	173500
2015-08-03	8.45	8.52	8.29	8.47	22800
2015-08-04	8.13	8.52	8.13	8.46	17200
2015-08-05	7.88	8.34	7.61	8.34	69800
2015-08-06	7.69	10.07	7.67	9.67	85400
2015-08-07	7.67	8.20	7.67	7.67	35200
2015-08-10	7.53	7.93	7.53	7.66	23900
2015-08-11	7.48	7.75	7.30	7.53	55100
2015-08-12	7.73	7.91	7.49	7.66	87600
2015-08-13	8.12	8.12	7.52	7.79	45400
2015-08-14	8.86	9.28	7.74	8.04	97800
2015-08-17	9.12	9.84	8.50	8.85	116200
2015-08-18	9.07	9.21	8.75	8.96	32700
2015-08-19	8.75	9.06	8.55	8.93	33700
2015-08-20	8.43	8.85	8.28	8.79	50500
2015-08-21	8.26	9.00	7.98	8.56	34900
2015-08-24	7.88	8.20	7.33	8.03	61800
2015-08-25	8.44	8.44	7.93	8.17	16000
2015-08-26	8.46	9.01	8.32	8.48	24200
2015-08-27	8.31	8.96	8.21	8.62	105100
2015-08-28	8.81	9.24	8.34	8.34	45400
2015-08-31	8.93	9.47	8.67	8.83	97400
2015-09-01	8.97	9.42	8.79	8.86	26700
2015-09-02	9.19	9.54	8.61	9.00	39700
2015-09-03	9.11	9.45	9.02	9.08	32500
2015-09-04	8.81	9.20	8.80	8.93	20300
2015-09-08	9.19	9.31	8.94	8.96	36500
2015-09-09	8.77	9.34	8.75	9.17	34500
2015-09-10	8.85	9.21	8.61	8.87	49000
2015-09-11	8.67	8.92	8.62	8.92	56500
2015-09-14	8.48	8.75	8.25	8.68	40000
2015-09-15	8.65	8.73	8.48	8.48	85700
2015-09-16	8.59	8.85	8.52	8.73	34000
2015-09-17	8.54	8.78	8.38	8.66	51000
2015-09-18	8.74	8.92	8.39	8.39	80900
2015-09-21	8.67	9.27	8.54	8.96	47100
2015-09-22	8.42	8.90	8.33	8.61	27400
2015-09-23	8.37	8.91	8.26	8.39	69000
2015-09-24	8.26	8.43	7.93	8.34	54200
2015-09-25	7.61	8.32	7.51	8.13	46200
2015-09-28	7.65	7.72	7.39	7.46	37900
2015-09-29	7.67	7.76	7.51	7.62	37200
2015-09-30	7.81	7.97	7.61	7.78	14800
2015-10-01	7.83	8.17	7.71	7.94	13800
