Date	Open	High	Low	Close	Volume
2010-09-09	78.11	78.11	77.08	77.21	26500.00
2010-09-10	77.49	77.63	77.20	77.56	8600.00
2010-09-13	78.46	78.60	78.11	78.54	33750.00
2010-09-14	78.37	78.86	78.02	78.53	59400.00
2010-09-15	78.21	78.78	78.04	78.72	9250.00
2010-09-16	78.51	78.74	78.27	78.69	59550.00
2010-09-17	79.17	79.17	78.51	78.77	49350.00
2010-09-20	79.06	80.05	78.85	80.05	19000.00
2010-09-21	80.03	80.35	79.47	79.81	19250.00
2010-09-22	79.68	80.05	79.23	79.38	18100.00
2010-09-23	78.74	79.52	78.59	78.72	33350.00
2010-09-24	79.64	80.38	79.58	80.33	24100.00
2010-09-27	80.44	80.44	79.95	79.95	15000.00
2010-09-28	79.93	80.47	79.24	80.47	49850.00
2010-09-29	80.13	80.39	79.86	80.09	15900.00
2010-09-30	80.61	80.97	79.66	79.96	44750.00
2010-10-01	80.51	80.58	79.81	80.24	17100.00
2010-10-04	80.65	80.65	79.30	79.56	88700.00
2010-10-05	80.47	81.37	80.32	81.31	19850.00
2010-10-06	81.31	81.43	80.93	81.17	276900.00
2010-10-07	81.60	81.60	80.70	81.13	49900.00
2010-10-08	81.24	81.79	80.96	81.74	61550.00
2010-10-11	81.77	81.86	81.43	81.60	14200.00
2010-10-12	81.51	82.17	81.02	82.08	42050.00
2010-10-13	82.43	82.97	82.17	82.57	74450.00
2010-10-14	82.52	82.61	81.83	82.26	19100.00
2010-10-15	82.78	82.81	81.77	82.42	54950.00
2010-10-18	82.46	83.09	82.32	83.01	22850.00
2010-10-19	82.09	82.51	81.24	81.69	38550.00
2010-10-20	81.94	82.87	81.94	82.57	22800.00
2010-10-21	82.95	83.33	82.22	82.69	29400.00
2010-10-22	82.87	82.91	82.71	82.89	24850.00
2010-10-25	83.53	83.73	83.10	83.14	29600.00
2010-10-26	82.69	83.18	82.66	83.12	15000.00
2010-10-27	82.55	82.92	82.15	82.86	17150.00
2010-10-28	83.33	83.38	82.57	82.92	19250.00
2010-10-29	82.83	83.07	82.75	82.98	13400.00
2010-11-01	83.46	83.84	82.57	83.03	51550.00
2010-11-02	83.69	83.84	83.41	83.67	26100.00
2010-11-03	83.84	84.02	83.00	84.02	31850.00
2010-11-04	84.97	85.66	84.85	85.60	49000.00
2010-11-05	85.74	86.05	85.57	85.94	48300.00
2010-11-08	85.73	85.88	85.43	85.83	43400.00
2010-11-09	85.95	86.05	84.90	85.16	35700.00
2010-11-10	85.17	85.51	84.53	85.48	28200.00
2010-11-11	84.81	85.27	84.61	85.20	24000.00
2010-11-12	84.59	84.94	83.81	84.15	39450.00
2010-11-15	84.51	84.68	84.01	84.07	202750.00
2010-11-16	83.53	83.53	82.35	82.72	32850.00
2010-11-17	82.80	83.10	82.58	82.78	42450.00
2010-11-18	83.58	84.22	83.58	84.01	26100.00
2010-11-19	83.90	84.24	83.55	84.21	20250.00
2010-11-22	83.84	84.13	83.20	84.13	25350.00
2010-11-23	83.18	83.24	82.69	82.95	142400.00
2010-11-24	83.47	84.12	83.47	84.02	30100.00
2010-11-26	83.49	83.82	83.38	83.55	32650.00
2010-11-29	83.03	83.64	82.49	83.47	46000.00
2010-11-30	82.72	83.41	82.61	82.89	91950.00
2010-12-01	84.22	84.85	84.19	84.76	33350.00
2010-12-02	84.85	85.89	84.85	85.86	60650.00
2010-12-03	85.56	86.17	85.54	86.08	184100.00
2010-12-06	85.94	86.14	85.82	85.97	64150.00
2010-12-07	86.84	86.87	85.97	86.00	109000.00
2010-12-08	86.12	86.38	85.79	86.35	69050.00
2010-12-09	86.84	86.84	86.32	86.68	54850.00
2010-12-10	86.95	87.26	86.75	87.20	73950.00
2010-12-13	87.59	87.69	87.21	87.24	77050.00
2010-12-14	87.44	87.63	87.09	87.29	59650.00
2010-12-15	87.15	87.50	86.77	86.91	43600.00
2010-12-16	87.01	87.47	86.68	87.41	60600.00
2010-12-17	87.35	87.61	87.21	87.53	59150.00
2010-12-20	87.79	87.92	87.32	87.72	72600.00
2010-12-21	88.01	88.35	87.95	88.25	76200.00
2010-12-22	88.38	88.58	88.30	88.58	108250.00
2010-12-23	88.45	88.51	88.24	88.44	57400.00
2010-12-27	88.10	88.53	88.06	88.50	71800.00
2010-12-28	88.69	88.69	88.37	88.60	56650.00
2010-12-29	88.77	88.86	88.67	88.67	53600.00
2010-12-30	88.61	88.72	88.43	88.53	78900.00
2010-12-31	88.41	88.63	88.27	88.63	145750.00
2011-01-03	89.24	89.80	89.21	89.46	119200.00
2011-01-04	89.72	89.72	88.90	89.38	108350.00
2011-01-05	89.18	89.90	89.07	89.86	717750.00
2011-01-06	89.94	90.00	89.46	89.70	72450.00
2011-01-07	89.83	89.95	88.89	89.52	82250.00
2011-01-10	89.20	89.50	88.89	89.44	124500.00
