Date	Open	High	Low	Close	Volume
2018-08-02	9.94	9.95	9.94	9.95	21000.00
2018-08-03	9.95	9.95	9.95	9.95	0.00
2018-08-06	10.05	10.05	9.91	9.92	6600.00
2018-08-07	9.91	9.91	9.91	9.91	500.00
2018-08-08	9.91	9.91	9.91	9.91	0.00
2018-08-09	9.86	9.86	9.86	9.86	500.00
2018-08-10	9.86	10.32	9.81	9.81	4100.00
2018-08-13	9.81	9.86	9.76	9.77	710800.00
2018-08-14	10.70	10.72	9.76	9.76	50100.00
2018-08-15	9.81	9.84	9.80	9.81	524700.00
2018-08-16	9.81	9.82	9.81	9.82	22900.00
2018-08-17	9.78	9.79	9.76	9.79	402100.00
2018-08-20	9.79	9.79	9.79	9.79	0.00
2018-08-21	9.76	9.76	9.76	9.76	2100.00
2018-08-22	9.79	9.79	9.76	9.76	24800.00
2018-08-23	9.77	9.81	9.71	9.77	334300.00
2018-08-24	9.76	9.76	9.76	9.76	100000.00
2018-08-27	9.76	9.76	9.71	9.71	2381000.00
2018-08-28	9.72	9.72	9.68	9.71	685100.00
2018-08-29	9.76	9.76	9.73	9.76	52600.00
2018-08-30	9.76	9.76	9.76	9.76	300.00
2018-08-31	9.71	9.76	9.69	9.69	10600.00
2018-09-04	9.75	9.75	9.75	9.75	100.00
2018-09-05	9.71	9.76	9.71	9.76	2100.00
2018-09-06	9.76	9.76	9.76	9.76	3800.00
2018-09-07	9.74	9.74	9.74	9.74	4300.00
2018-09-10	9.71	9.83	9.71	9.83	125100.00
2018-09-11	9.71	9.71	9.70	9.71	179800.00
2018-09-12	9.71	9.76	9.71	9.76	483000.00
2018-09-13	9.76	9.76	9.76	9.76	0.00
2018-09-14	9.69	9.76	9.69	9.76	600.00
2018-09-17	9.80	9.80	9.71	9.71	264600.00
2018-09-18	9.73	9.73	9.71	9.73	7200.00
2018-09-19	9.74	9.80	9.73	9.74	280800.00
2018-09-20	9.71	9.74	9.69	9.69	47900.00
2018-09-21	9.71	9.73	9.71	9.71	74300.00
2018-09-24	9.74	9.74	9.73	9.73	400.00
2018-09-25	9.70	9.73	9.70	9.73	47300.00
2018-09-26	9.71	9.71	9.71	9.71	2300.00
2018-09-27	9.71	9.73	9.71	9.71	9000.00
2018-09-28	9.71	9.73	9.69	9.71	65400.00
2018-10-01	9.71	9.71	9.67	9.71	8200.00
2018-10-02	9.69	9.72	9.68	9.69	359600.00
2018-10-03	9.69	9.69	9.69	9.69	800.00
2018-10-04	9.70	9.72	9.68	9.72	62800.00
2018-10-05	9.72	9.72	9.68	9.68	41300.00
2018-10-08	9.68	9.71	9.68	9.71	2000.00
2018-10-09	9.74	9.74	9.68	9.68	3300.00
2018-10-10	9.68	9.70	9.66	9.70	391300.00
2018-10-11	9.70	9.70	9.66	9.70	15900.00
2018-10-12	9.69	9.71	9.69	9.71	284400.00
2018-10-15	9.66	9.71	9.66	9.69	6200.00
2018-10-16	9.71	9.71	9.66	9.70	10100.00
2018-10-17	9.69	9.71	9.69	9.71	19000.00
2018-10-18	9.72	9.72	9.72	9.72	400.00
2018-10-19	9.73	9.78	9.70	9.78	2600.00
2018-10-22	9.76	9.76	9.71	9.71	4900.00
2018-10-23	9.72	9.72	9.66	9.72	1300.00
2018-10-24	9.71	9.71	9.66	9.66	2600.00
2018-10-25	9.66	9.72	9.66	9.72	700.00
2018-10-26	9.71	9.71	9.66	9.66	5300.00
2018-10-29	9.71	9.71	9.71	9.71	1000.00
2018-10-30	9.73	9.73	9.70	9.70	8900.00
2018-10-31	9.72	9.72	9.67	9.67	1000.00
2018-11-01	9.67	9.67	9.67	9.67	100.00
2018-11-02	9.72	9.72	9.67	9.71	1200.00
