Date	Close	Close	High	High	Low	Low	Open	Open	Volume	Volume
	VOO	VTI	VOO	VTI	VOO	VTI	VOO	VTI	VOO	VTI
2001-06-15		36.23		36.45		35.91		36.07		1067400
2001-06-18		36.00		36.39		36.00		36.33		282600
2001-06-19		36.10		36.56		35.95		36.55		1777600
2001-06-20		36.48		36.50		36.04		36.04		476000
2001-06-21		36.77		36.92		36.37		36.45		240400
2001-06-22		36.54		36.74		36.37		36.74		180600
2001-06-25		36.30		36.66		36.14		36.60		30400
2001-06-26		36.21		36.39		35.91		35.92		146600
2001-06-27		36.21		36.44		36.04		36.28		114000
2001-06-28		36.66		36.99		36.47		36.47		357400
2001-06-29		36.87		37.07		36.51		36.56		215000
2001-07-02		36.96		37.17		36.74		36.74		290000
2001-07-03		36.94		36.98		36.81		36.91		56800
2001-07-05		36.52		36.85		36.52		36.83		627600
2001-07-06		35.56		36.24		35.56		36.21		777000
2001-07-09		35.79		35.95		35.66		35.70		850000
2001-07-10		35.32		35.99		35.32		35.97		218000
2001-07-11		35.36		35.40		34.99		35.38		47200
2001-07-12		36.20		36.24		35.70		35.71		64800
2001-07-13		36.37		36.45		35.98		36.02		430000
2001-07-16		35.95		36.39		35.91		36.39		46400
2001-07-17		36.38		36.38		35.80		35.89		183400
2001-07-18		36.00		36.24		35.86		36.07		54400
2001-07-19		36.20		36.62		36.05		36.46		18600
2001-07-20		36.20		36.31		36.05		36.21		11600
2001-07-23		35.58		36.34		35.58		36.29		52000
2001-07-24		35.08		35.57		34.84		35.45		102400
2001-07-25		35.53		35.54		35.06		35.14		519200
2001-07-26		35.98		35.98		35.36		35.46		65000
2001-07-27		36.04		36.16		35.80		36.01		208000
2001-07-30		36.01		36.15		35.86		36.15		25600
2001-07-31		36.16		36.49		36.02		36.05		119200
2001-08-01		36.32		36.52		36.20		36.28		237400
2001-08-02		36.43		36.67		36.29		36.65		62200
2001-08-03		36.30		36.41		36.06		36.41		17600
2001-08-06		35.89		36.28		35.83		36.28		30400
2001-08-07		35.95		36.00		35.82		35.85		29200
2001-08-08		35.30		36.03		35.27		35.84		54400
2001-08-09		35.40		35.40		35.11		35.26		56200
2001-08-10		35.55		35.64		34.96		35.43		114200
