Date	Close	High	Low	Open	Volume
	WCN	WCN	WCN	WCN	WCN
1998-05-22	2.48	2.50	2.39	2.39	13194394
1998-05-26	2.61	2.65	2.46	2.46	913275
1998-05-27	2.52	2.61	2.50	2.52	995794
1998-05-28	2.61	2.78	2.52	2.54	540675
1998-05-29	2.64	2.71	2.63	2.65	409050
1998-06-01	2.64	2.71	2.64	2.64	205538
1998-06-02	2.67	2.70	2.64	2.70	1033763
1998-06-03	2.85	3.07	2.65	2.65	394369
1998-06-04	2.96	3.02	2.83	2.85	327544
1998-06-05	3.07	3.13	2.98	3.07	833794
1998-06-08	3.07	3.13	3.07	3.13	136688
1998-06-09	2.83	3.11	2.83	3.11	349819
1998-06-10	2.80	2.91	2.65	2.83	586744
1998-06-11	2.85	2.89	2.80	2.80	164025
1998-06-12	2.87	2.87	2.78	2.87	164025
1998-06-15	2.89	2.91	2.85	2.91	64800
1998-06-16	3.26	3.26	2.87	2.93	219713
1998-06-17	3.48	3.55	3.17	3.26	550294
1998-06-18	3.41	3.61	3.30	3.57	457144
1998-06-19	3.22	3.41	3.20	3.41	120994
1998-06-22	3.22	3.30	3.15	3.30	166556
1998-06-23	3.13	3.17	3.12	3.13	466763
1998-06-24	3.26	3.30	3.13	3.13	210094
1998-06-25	3.46	3.54	3.22	3.22	459169
1998-06-26	3.35	3.50	3.35	3.43	45563
1998-06-29	3.48	3.61	3.46	3.46	97200
1998-06-30	3.46	3.52	3.46	3.52	72900
1998-07-01	3.54	3.54	3.46	3.48	161494
1998-07-02	3.46	3.52	3.43	3.51	206044
1998-07-06	3.39	3.46	3.37	3.46	110363
1998-07-07	3.26	3.41	3.26	3.41	54169
1998-07-08	3.15	3.26	3.09	3.24	518906
1998-07-09	3.22	3.28	3.22	3.24	92138
1998-07-10	3.35	3.35	3.22	3.22	35438
1998-07-13	3.37	3.39	3.33	3.39	186300
1998-07-14	3.35	3.39	3.30	3.37	14681
1998-07-15	3.52	3.52	3.39	3.41	173644
1998-07-16	3.35	3.39	3.35	3.39	16200
1998-07-17	3.50	3.50	3.35	3.48	32906
1998-07-20	3.41	3.50	3.35	3.39	86569
1998-07-21	3.48	3.48	3.41	3.41	1519
1998-07-22	3.55	3.55	3.43	3.48	38981
1998-07-23	3.85	4.07	3.54	3.55	234394
1998-07-24	3.65	4.00	3.65	3.80	88594
1998-07-27	3.61	3.76	3.61	3.76	16200
1998-07-28	3.83	4.00	3.61	3.61	160988
1998-07-29	3.74	3.87	3.74	3.87	124538
1998-07-30	3.87	3.87	3.76	3.76	28856
1998-07-31	3.85	3.87	3.76	3.78	231356
1998-08-03	3.67	3.87	3.67	3.87	44044
1998-08-04	3.80	3.87	3.70	3.80	88594
1998-08-05	3.87	3.87	3.74	3.83	58219
1998-08-06	3.83	3.87	3.83	3.87	7594
1998-08-07	3.91	3.91	3.83	3.87	753806
1998-08-10	3.89	3.98	3.89	3.91	103275
1998-08-11	3.83	3.93	3.83	3.85	15188
1998-08-12	3.93	3.93	3.83	3.89	6581
1998-08-13	3.91	3.91	3.83	3.83	44044
