Date	Open	High	Low	Close	Volume
1972-06-01	0.14	0.14	0.14	0.14	249600.00
1972-06-02	0.14	0.14	0.14	0.14	172800.00
1972-06-05	0.14	0.14	0.14	0.14	302400.00
1972-06-06	0.14	0.14	0.14	0.14	196800.00
1972-06-07	0.14	0.14	0.14	0.14	48000.00
1972-06-08	0.14	0.14	0.14	0.14	144000.00
1972-06-09	0.14	0.14	0.14	0.14	43200.00
1972-06-12	0.14	0.14	0.14	0.14	24000.00
1972-06-13	0.14	0.14	0.14	0.14	76800.00
1972-06-14	0.14	0.14	0.14	0.14	244800.00
1972-06-15	0.14	0.14	0.14	0.14	206400.00
1972-06-16	0.14	0.14	0.14	0.14	48000.00
1972-06-19	0.14	0.14	0.14	0.14	91200.00
1972-06-20	0.14	0.14	0.14	0.14	14400.00
1972-06-21	0.14	0.14	0.14	0.14	48000.00
1972-06-22	0.14	0.14	0.14	0.14	86400.00
1972-06-23	0.14	0.15	0.14	0.15	96000.00
1972-06-26	0.15	0.15	0.14	0.15	62400.00
1972-06-27	0.15	0.15	0.15	0.15	67200.00
1972-06-28	0.15	0.15	0.15	0.15	144000.00
1972-06-29	0.15	0.15	0.15	0.15	28800.00
1972-06-30	0.15	0.15	0.15	0.15	72000.00
1972-07-03	0.15	0.15	0.15	0.15	57600.00
1972-07-05	0.15	0.15	0.15	0.15	211200.00
1972-07-06	0.15	0.16	0.15	0.16	254400.00
1972-07-07	0.16	0.16	0.16	0.16	412800.00
1972-07-10	0.16	0.16	0.16	0.16	0.00
1972-07-11	0.16	0.16	0.16	0.16	2904000.00
1972-07-12	0.16	0.16	0.16	0.16	259200.00
1972-07-13	0.16	0.16	0.16	0.16	225600.00
1972-07-14	0.16	0.16	0.16	0.16	172800.00
1972-07-17	0.16	0.16	0.16	0.16	62400.00
1972-07-18	0.16	0.17	0.16	0.16	220800.00
1972-07-19	0.16	0.17	0.16	0.17	24000.00
1972-07-20	0.17	0.17	0.16	0.16	76800.00
1972-07-21	0.16	0.17	0.16	0.17	273600.00
1972-07-24	0.17	0.17	0.17	0.17	225600.00
1972-07-25	0.17	0.17	0.17	0.17	278400.00
1972-07-26	0.17	0.17	0.17	0.17	86400.00
1972-07-27	0.17	0.17	0.17	0.17	518400.00
1972-07-28	0.17	0.17	0.17	0.17	67200.00
1972-07-31	0.17	0.17	0.17	0.17	86400.00
1972-08-01	0.17	0.17	0.17	0.17	264000.00
1972-08-02	0.17	0.17	0.17	0.17	211200.00
1972-08-03	0.17	0.17	0.17	0.17	264000.00
1972-08-04	0.17	0.17	0.17	0.17	681600.00
1972-08-07	0.18	0.18	0.18	0.18	206400.00
