Date	Close	High	Low	Open	Volume
	WF	WF	WF	WF	WF
2003-10-01	13.56	13.56	13.56	13.56	0
2003-10-02	13.56	13.56	13.56	13.56	252
2003-10-03	13.35	13.35	12.80	12.80	3188
2003-10-06	12.85	12.89	12.80	12.85	2014
2003-10-07	12.76	12.76	12.76	12.76	839
2003-10-08	12.80	12.85	12.80	12.85	671
2003-10-09	14.10	14.10	13.93	13.93	12501
2003-10-10	14.93	14.94	14.81	14.81	5621
2003-10-13	14.93	14.93	14.93	14.93	0
2003-10-14	14.93	14.93	14.93	14.93	0
2003-10-15	14.93	14.93	14.93	14.93	0
2003-10-16	14.89	14.89	14.89	14.89	252
2003-10-17	14.89	14.89	14.89	14.89	0
2003-10-20	14.89	14.89	14.89	14.89	0
2003-10-21	14.89	14.89	14.89	14.89	0
2003-10-22	13.81	13.81	13.81	13.81	84
2003-10-23	13.81	13.81	13.81	13.81	0
2003-10-24	13.85	13.85	13.76	13.76	8222
2003-10-27	13.76	13.76	13.76	13.76	252
2003-10-28	14.11	14.11	14.11	14.11	755
2003-10-29	14.22	14.22	14.22	14.22	84
2003-10-30	14.22	14.22	14.22	14.22	0
2003-10-31	13.89	13.93	13.89	13.89	1175
2003-11-03	13.89	13.89	13.89	13.89	0
2003-11-04	14.18	14.18	14.06	14.06	3608
2003-11-05	14.76	14.76	14.72	14.72	2517
2003-11-06	14.47	14.51	14.47	14.51	168
2003-11-07	14.68	14.68	14.68	14.68	839
2003-11-10	15.01	15.06	15.01	15.06	168
2003-11-11	15.43	15.43	15.43	15.43	420
2003-11-12	15.45	15.45	15.45	15.45	336
2003-11-13	15.45	15.45	15.45	15.45	0
2003-11-14	15.85	15.85	15.85	15.85	839
2003-11-17	15.60	15.60	15.60	15.60	336
2003-11-18	16.10	16.10	15.93	15.93	1342
2003-11-19	15.10	15.10	15.10	15.10	503
2003-11-20	14.28	14.28	14.26	14.26	1175
2003-11-21	14.28	14.28	14.28	14.28	0
2003-11-24	13.76	13.89	13.76	13.89	4363
2003-11-25	14.22	14.22	14.18	14.18	1007
2003-11-26	14.29	14.29	14.27	14.27	252
2003-11-28	14.29	14.29	14.29	14.29	0
2003-12-01	14.29	14.29	14.29	14.29	0
2003-12-02	14.29	14.29	14.29	14.29	0
2003-12-03	15.43	15.43	14.93	14.93	3608
2003-12-04	15.43	15.43	15.43	15.43	0
2003-12-05	14.82	14.82	14.82	14.82	168
2003-12-08	14.82	14.82	14.82	14.82	0
2003-12-09	14.89	14.89	14.89	14.89	84
2003-12-10	14.76	14.89	14.76	14.89	503
2003-12-11	14.51	14.51	14.51	14.51	587
2003-12-12	14.51	14.51	14.51	14.51	0
2003-12-15	15.01	15.01	15.01	15.01	420
2003-12-16	14.81	14.81	14.81	14.81	168
2003-12-17	14.47	14.47	14.47	14.47	84
2003-12-18	14.47	14.47	14.47	14.47	0
2003-12-19	14.60	14.60	14.50	14.50	1930
2003-12-22	14.14	14.14	14.10	14.10	420
2003-12-23	14.14	14.14	14.14	14.14	420
2003-12-24	14.14	14.14	14.14	14.14	0
2003-12-26	13.81	13.81	13.81	13.81	84
2003-12-29	13.81	13.81	13.81	13.81	0
2003-12-30	15.70	15.70	14.76	14.76	6041
2003-12-31	16.13	16.13	15.70	15.70	2853
2004-01-02	16.35	16.35	15.61	15.61	3776
2004-01-05	15.87	15.87	15.39	15.39	2265
2004-01-06	15.61	15.61	15.26	15.26	8726
2004-01-07	15.57	15.70	15.57	15.70	2265
2004-01-08	15.61	15.61	15.39	15.39	25590
2004-01-09	15.91	15.91	15.74	15.74	4195
2004-01-12	16.22	16.22	16.04	16.04	4111
2004-01-13	16.13	16.13	16.09	16.09	168
2004-01-14	16.48	16.48	16.39	16.39	2014
2004-01-15	16.22	16.65	16.17	16.39	7299
2004-01-16	16.17	16.26	16.17	16.22	755
2004-01-20	16.61	16.87	16.56	16.87	755
2004-01-21	16.91	16.91	16.91	16.91	587
2004-01-22	16.87	16.93	16.82	16.93	839
2004-01-23	17.08	17.08	17.00	17.00	1342
2004-01-26	16.95	16.95	16.91	16.91	923
2004-01-27	16.48	16.48	16.35	16.39	2265
2004-01-28	16.39	16.39	16.30	16.30	839
2004-01-29	16.39	16.39	16.39	16.39	0
2004-01-30	16.17	16.17	16.13	16.13	839
2004-02-02	16.17	16.17	16.17	16.17	0
2004-02-03	15.74	15.74	15.74	15.74	755
2004-02-04	15.84	15.84	15.84	15.84	168
2004-02-05	15.93	15.93	15.93	15.93	84
2004-02-06	15.87	15.87	15.87	15.87	168
2004-02-09	15.87	15.91	15.87	15.91	168
2004-02-10	15.87	15.87	15.87	15.87	0
2004-02-11	16.48	16.48	16.48	16.48	5034
2004-02-12	16.48	16.48	16.48	16.48	0
2004-02-13	16.48	16.48	16.48	16.48	84
2004-02-17	16.82	16.91	16.82	16.91	252
2004-02-18	16.82	16.82	16.82	16.82	0
2004-02-19	16.82	16.82	16.82	16.82	0
2004-02-20	17.30	17.43	17.30	17.43	252
2004-02-23	17.56	17.60	17.56	17.60	503
2004-02-24	17.56	17.56	17.56	17.56	0
2004-02-25	17.56	17.56	17.56	17.56	0
2004-02-26	18.91	18.91	18.88	18.88	923
2004-02-27	19.30	19.30	19.08	19.08	3188
2004-03-01	19.38	19.38	19.36	19.36	587
2004-03-02	19.43	19.51	19.38	19.51	9732
2004-03-03	19.43	19.43	19.30	19.43	6209
2004-03-04	19.69	19.69	19.51	19.51	3859
2004-03-05	19.89	19.89	19.77	19.77	3188
2004-03-08	20.21	20.21	19.95	19.95	6796
2004-03-09	19.90	19.90	19.68	19.73	5957
2004-03-10	19.04	19.08	19.04	19.05	2601
2004-03-11	19.05	19.05	19.05	19.05	839
2004-03-12	17.82	17.95	17.80	17.95	3188
2004-03-15	18.17	18.17	18.13	18.13	2853
2004-03-16	18.30	18.30	18.16	18.17	2517
2004-03-17	19.51	19.51	19.21	19.21	4866
2004-03-18	19.54	19.69	19.54	19.60	1091
2004-03-19	20.39	20.39	20.39	20.39	84
2004-03-22	19.60	19.77	19.51	19.77	4615
2004-03-23	21.85	27.76	20.42	20.42	45977
2004-03-24	21.85	22.76	21.16	21.16	38846
2004-03-25	20.94	21.20	20.94	21.03	3020
2004-03-26	20.51	20.77	20.42	20.77	3608
2004-03-29	20.21	20.47	20.07	20.29	6460
2004-03-30	19.86	20.03	19.77	20.03	671
2004-03-31	20.73	21.12	20.38	20.38	16109
2004-04-01	20.38	20.38	20.30	20.38	671
2004-04-02	20.03	20.03	19.90	20.03	2181
2004-04-05	20.38	20.38	19.86	20.03	4698
2004-04-06	20.38	20.38	20.38	20.38	336
2004-04-07	20.08	20.08	20.03	20.03	1259
2004-04-08	19.88	20.09	19.88	20.09	2349
2004-04-12	19.94	19.95	19.94	19.95	420
2004-04-13	20.20	20.20	20.19	20.19	1007
2004-04-14	19.97	20.03	19.95	20.03	2098
2004-04-15	19.97	19.97	19.95	19.95	252
2004-04-16	19.17	19.17	19.17	19.17	923
2004-04-19	18.73	18.73	18.73	18.73	252
2004-04-20	19.63	19.64	19.51	19.51	2349
2004-04-21	19.53	19.64	19.53	19.64	1762
2004-04-22	19.53	19.53	19.53	19.53	0
2004-04-23	20.35	20.44	20.35	20.38	503
2004-04-26	20.35	20.35	20.35	20.35	0
2004-04-27	20.35	20.35	20.35	20.35	0
2004-04-28	19.99	19.99	19.90	19.90	2853
2004-04-29	19.69	19.69	19.64	19.64	252
2004-04-30	18.91	19.51	18.91	19.51	14179
2004-05-03	18.91	18.91	18.91	18.91	420
2004-05-04	18.91	18.91	18.91	18.91	168
