Date	Close	High	Low	Open	Volume
	WMB	WMB	WMB	WMB	WMB
1981-12-31	0.64	0.65	0.63	0.64	521946
1982-01-04	0.64	0.64	0.63	0.64	224493
1982-01-05	0.61	0.63	0.60	0.62	686307
1982-01-06	0.59	0.61	0.59	0.60	1118455
1982-01-07	0.59	0.60	0.57	0.59	831425
1982-01-08	0.60	0.60	0.59	0.60	682298
1982-01-11	0.57	0.60	0.56	0.58	558025
1982-01-12	0.56	0.57	0.56	0.57	521144
1982-01-13	0.54	0.57	0.54	0.56	753654
1982-01-14	0.54	0.54	0.53	0.54	700738
1982-01-15	0.60	0.62	0.54	0.58	2531958
1982-01-18	0.60	0.61	0.59	0.60	1624366
1982-01-19	0.56	0.60	0.56	0.58	986967
1982-01-20	0.61	0.62	0.57	0.59	1433547
1982-01-21	0.63	0.66	0.61	0.64	2398064
1982-01-22	0.62	0.64	0.62	0.63	877125
1982-01-25	0.61	0.62	0.58	0.60	917213
1982-01-26	0.61	0.62	0.60	0.61	1245935
1982-01-27	0.63	0.63	0.60	0.62	915610
1982-01-28	0.67	0.67	0.62	0.65	2878318
1982-01-29	0.66	0.68	0.65	0.67	1789528
1982-02-01	0.65	0.66	0.64	0.65	1104024
1982-02-02	0.67	0.68	0.65	0.67	1726991
1982-02-03	0.68	0.69	0.67	0.68	2005202
1982-02-04	0.66	0.70	0.66	0.68	1691714
1982-02-05	0.64	0.67	0.64	0.66	987768
1982-02-08	0.58	0.64	0.57	0.61	1714965
1982-02-09	0.59	0.60	0.57	0.58	1166561
1982-02-10	0.61	0.62	0.58	0.60	4347143
1982-02-11	0.61	0.62	0.60	0.61	2742019
1982-02-12	0.64	0.64	0.62	0.63	1955493
1982-02-16	0.62	0.64	0.61	0.62	1200235
1982-02-17	0.60	0.64	0.60	0.62	1079971
1982-02-18	0.59	0.62	0.58	0.60	1259565
1982-02-19	0.58	0.59	0.57	0.58	2928028
1982-02-22	0.53	0.59	0.52	0.55	1726189
1982-02-23	0.54	0.55	0.52	0.53	1511318
1982-02-24	0.57	0.57	0.53	0.55	1133689
1982-02-25	0.54	0.56	0.54	0.55	561232
1982-02-26	0.54	0.55	0.53	0.54	1085583
1982-03-01	0.54	0.55	0.54	0.54	534774
1982-03-02	0.51	0.55	0.50	0.53	1033469
1982-03-03	0.48	0.51	0.48	0.50	1576260
1982-03-04	0.46	0.49	0.45	0.47	1557820
1982-03-05	0.46	0.47	0.45	0.46	1187407
1982-03-08	0.44	0.47	0.43	0.45	823408
1982-03-09	0.44	0.45	0.42	0.44	2048497
1982-03-10	0.45	0.47	0.44	0.45	554818
1982-03-11	0.46	0.46	0.45	0.46	521946
1982-03-12	0.45	0.47	0.45	0.46	601320
1982-03-15	0.46	0.46	0.45	0.46	625373
1982-03-16	0.46	0.46	0.45	0.46	319902
1982-03-17	0.46	0.46	0.45	0.46	458607
1982-03-18	0.45	0.46	0.45	0.46	335937
1982-03-19	0.49	0.49	0.46	0.46	768888
1982-03-22	0.50	0.51	0.49	0.50	2114241
1982-03-23	0.48	0.51	0.47	0.49	554818
1982-03-24	0.47	0.49	0.46	0.47	407294
1982-03-25	0.47	0.49	0.46	0.48	1291635
1982-03-26	0.47	0.47	0.46	0.47	533170
1982-03-29	0.48	0.48	0.46	0.47	394466
1982-03-30	0.47	0.48	0.46	0.47	393664
1982-03-31	0.46	0.47	0.46	0.47	440968
1982-04-01	0.48	0.49	0.46	0.47	574060
1982-04-02	0.48	0.49	0.48	0.48	563637
1982-04-05	0.48	0.48	0.47	0.48	351171
1982-04-06	0.48	0.48	0.47	0.48	375224
1982-04-07	0.48	0.48	0.47	0.48	468228
1982-04-08	0.49	0.50	0.48	0.49	973337
1982-04-12	0.48	0.49	0.48	0.49	542792
1982-04-13	0.47	0.48	0.46	0.47	347964
1982-04-14	0.46	0.46	0.45	0.46	819399
1982-04-15	0.46	0.46	0.46	0.46	420924
1982-04-16	0.46	0.48	0.46	0.47	919619
1982-04-19	0.46	0.48	0.46	0.47	463417
1982-04-20	0.45	0.45	0.44	0.45	515532
1982-04-21	0.45	0.46	0.44	0.45	458607
1982-04-22	0.45	0.46	0.44	0.45	662254
1982-04-23	0.45	0.46	0.45	0.46	826615
1982-04-26	0.46	0.46	0.45	0.46	960509
1982-04-27	0.45	0.46	0.45	0.46	525153
1982-04-28	0.45	0.46	0.45	0.46	478651
1982-04-29	0.45	0.46	0.45	0.45	513928
1982-04-30	0.47	0.48	0.45	0.46	1074358
1982-05-03	0.47	0.48	0.46	0.47	496289
1982-05-04	0.46	0.47	0.46	0.47	346360
1982-05-05	0.46	0.47	0.46	0.47	794544
1982-05-06	0.47	0.47	0.46	0.47	447382
1982-05-07	0.47	0.47	0.46	0.47	437761
1982-05-10	0.48	0.49	0.46	0.48	987768
1982-05-11	0.48	0.48	0.47	0.48	458607
1982-05-12	0.47	0.48	0.46	0.47	528360
1982-05-13	0.47	0.47	0.47	0.47	298255
1982-05-14	0.47	0.47	0.46	0.46	396871
1982-05-17	0.46	0.46	0.45	0.46	313488
1982-05-18	0.45	0.46	0.44	0.45	413708
1982-05-19	0.45	0.46	0.44	0.45	480254
1982-05-20	0.45	0.45	0.44	0.45	469831
1982-05-21	0.43	0.44	0.42	0.43	876324
1982-05-24	0.42	0.42	0.41	0.41	954094
1982-05-25	0.41	0.42	0.41	0.42	675884
1982-05-26	0.41	0.41	0.40	0.41	2287421
1982-05-27	0.39	0.41	0.39	0.40	924429
1982-05-28	0.39	0.40	0.38	0.39	1519335
1982-06-01	0.38	0.39	0.37	0.38	537179
1982-06-02	0.37	0.37	0.36	0.37	1410296
1982-06-03	0.37	0.38	0.37	0.37	905989
1982-06-04	0.34	0.37	0.34	0.35	1286825
1982-06-07	0.35	0.35	0.34	0.35	1346957
1982-06-08	0.35	0.36	0.35	0.35	433752
1982-06-09	0.34	0.35	0.34	0.35	748042
1982-06-10	0.35	0.35	0.34	0.35	887548
1982-06-11	0.36	0.37	0.36	0.37	506712
1982-06-14	0.36	0.36	0.35	0.36	391259
1982-06-15	0.36	0.36	0.35	0.35	428942
1982-06-16	0.35	0.37	0.35	0.36	506712
1982-06-17	0.36	0.36	0.35	0.36	660650
1982-06-18	0.37	0.37	0.36	0.36	388854
1982-06-21	0.38	0.39	0.36	0.37	660650
1982-06-22	0.39	0.39	0.37	0.38	299858
