Date	Close	High	Low	Open	Volume
	WMG	WMG	WMG	WMG	WMG
2020-06-03	27.13	27.79	24.31	24.32	34950900
2020-06-04	27.03	31.31	26.12	29.29	13099600
2020-06-05	26.97	27.79	25.22	27.48	7450200
2020-06-08	27.93	28.82	25.81	26.30	4215200
2020-06-09	28.83	29.71	26.58	26.79	8371400
2020-06-10	27.97	29.55	27.54	28.92	2223000
2020-06-11	27.02	27.45	26.12	26.32	3715500
2020-06-12	27.72	28.02	27.13	27.42	2375300
2020-06-15	28.91	29.26	26.87	27.02	1592400
2020-06-16	28.81	29.48	28.08	29.28	2040200
2020-06-17	29.33	29.35	28.38	28.63	835900
2020-06-18	29.48	29.64	28.47	28.77	936400
2020-06-19	29.60	30.63	29.10	29.64	5628900
2020-06-22	28.82	29.71	28.62	29.57	1026900
2020-06-23	28.24	28.96	27.88	28.87	878400
2020-06-24	28.22	28.74	27.94	27.96	594500
2020-06-25	27.57	28.54	27.13	27.85	1119900
2020-06-26	27.45	28.06	27.34	27.59	509800
2020-06-29	28.31	29.02	27.48	27.87	1191100
2020-06-30	26.58	28.48	26.42	28.21	2363200
2020-07-01	26.53	27.47	25.72	27.07	1576200
2020-07-02	26.44	27.07	26.18	26.62	594300
2020-07-06	26.84	26.98	26.45	26.92	1088400
2020-07-07	26.70	27.02	26.59	26.59	607300
2020-07-08	27.01	27.46	26.76	27.03	727800
2020-07-09	27.03	27.28	26.76	27.23	438200
2020-07-10	27.82	27.93	26.83	26.89	364400
2020-07-13	27.11	27.93	27.11	27.83	493000
2020-07-14	26.70	27.05	26.64	26.89	345800
2020-07-15	26.69	26.96	26.39	26.58	579000
2020-07-16	26.75	27.48	26.40	26.52	300100
2020-07-17	26.50	26.85	26.50	26.76	380900
2020-07-20	26.08	26.69	25.85	26.50	466500
2020-07-21	25.67	26.38	25.04	26.08	1565700
2020-07-22	25.06	25.90	25.04	25.58	1093200
2020-07-23	25.52	25.94	24.42	25.12	1133000
2020-07-24	25.53	25.67	24.50	25.24	440000
2020-07-27	25.81	26.12	25.33	25.46	289700
2020-07-28	26.59	27.29	25.50	25.80	751200
2020-07-29	27.03	27.21	25.70	26.90	1011000
2020-07-30	26.94	27.20	26.35	26.94	329300
2020-07-31	27.16	27.21	26.34	27.03	799800
2020-08-03	26.97	27.61	26.81	27.25	1548000
2020-08-04	26.08	27.48	25.57	27.08	1206500
2020-08-05	25.80	26.48	25.40	26.14	1721400
