Date	Open	High	Low	Close	Volume
1972-08-25	0.01	0.01	0.01	0.01	7526400.00
1972-08-28	0.01	0.01	0.01	0.01	2918400.00
1972-08-29	0.01	0.01	0.01	0.01	5836800.00
1972-08-30	0.01	0.01	0.01	0.01	1228800.00
1972-08-31	0.01	0.01	0.01	0.01	2611200.00
1972-09-01	0.01	0.01	0.01	0.01	768000.00
1972-09-05	0.01	0.01	0.01	0.01	1689600.00
1972-09-06	0.01	0.01	0.01	0.01	768000.00
1972-09-07	0.01	0.01	0.01	0.01	3532800.00
1972-09-08	0.01	0.01	0.01	0.01	1996800.00
1972-09-11	0.01	0.01	0.01	0.01	2764800.00
1972-09-12	0.01	0.01	0.01	0.01	1843200.00
1972-09-13	0.01	0.01	0.01	0.01	460800.00
1972-09-14	0.01	0.01	0.01	0.01	3840000.00
1972-09-15	0.01	0.01	0.01	0.01	1536000.00
1972-09-18	0.01	0.01	0.01	0.01	3225600.00
1972-09-19	0.01	0.01	0.01	0.01	9369600.00
1972-09-20	0.01	0.01	0.01	0.01	153600.00
1972-09-21	0.01	0.01	0.01	0.01	4300800.00
1972-09-22	0.01	0.01	0.01	0.01	2611200.00
1972-09-25	0.01	0.01	0.01	0.01	2918400.00
1972-09-26	0.01	0.01	0.01	0.01	2150400.00
1972-09-27	0.01	0.01	0.01	0.01	1996800.00
1972-09-28	0.01	0.01	0.01	0.01	4300800.00
1972-09-29	0.01	0.01	0.01	0.01	768000.00
1972-10-02	0.01	0.01	0.01	0.01	4915200.00
1972-10-03	0.01	0.01	0.01	0.01	1536000.00
1972-10-04	0.01	0.01	0.01	0.01	4608000.00
1972-10-05	0.01	0.01	0.01	0.01	4147200.00
1972-10-06	0.01	0.01	0.01	0.01	29337600.00
1972-10-09	0.01	0.01	0.01	0.01	3840000.00
1972-10-10	0.01	0.01	0.01	0.01	0.00
1972-10-11	0.01	0.01	0.01	0.01	1382400.00
1972-10-12	0.01	0.01	0.01	0.01	1075200.00
1972-10-13	0.01	0.01	0.01	0.01	153600.00
1972-10-16	0.01	0.01	0.01	0.01	1996800.00
1972-10-17	0.01	0.01	0.01	0.01	7372800.00
1972-10-18	0.01	0.01	0.01	0.01	23347200.00
1972-10-19	0.01	0.01	0.01	0.01	31795200.00
1972-10-20	0.01	0.01	0.01	0.01	153600.00
1972-10-23	0.01	0.01	0.01	0.01	1382400.00
1972-10-24	0.01	0.01	0.01	0.01	307200.00
1972-10-25	0.01	0.01	0.01	0.01	3686400.00
1972-10-26	0.01	0.01	0.01	0.01	153600.00
1972-10-27	0.01	0.01	0.01	0.01	614400.00
1972-10-30	0.01	0.01	0.01	0.01	3993600.00
1972-10-31	0.01	0.01	0.01	0.01	2150400.00
1972-11-01	0.01	0.01	0.01	0.01	6758400.00
1972-11-02	0.01	0.01	0.01	0.01	2150400.00
1972-11-03	0.01	0.01	0.01	0.01	4300800.00
1972-11-06	0.01	0.01	0.01	0.01	460800.00
1972-11-08	0.01	0.01	0.01	0.01	2150400.00
1972-11-09	0.01	0.01	0.01	0.01	2457600.00
1972-11-10	0.01	0.01	0.01	0.01	0.00
1972-11-13	0.01	0.01	0.01	0.01	1228800.00
1972-11-14	0.01	0.01	0.01	0.01	460800.00
1972-11-15	0.01	0.01	0.01	0.01	1689600.00
1972-11-16	0.01	0.01	0.01	0.01	1843200.00
1972-11-17	0.01	0.01	0.01	0.01	4147200.00
1972-11-20	0.01	0.01	0.01	0.01	460800.00
1972-11-21	0.01	0.01	0.01	0.01	1689600.00
1972-11-22	0.01	0.01	0.01	0.01	1382400.00
1972-11-24	0.01	0.01	0.01	0.01	1075200.00
1972-11-27	0.01	0.01	0.01	0.01	18739200.00
1972-11-28	0.01	0.01	0.01	0.01	10444800.00
1972-11-29	0.01	0.01	0.01	0.01	10752000.00
1972-11-30	0.01	0.01	0.01	0.01	614400.00
1972-12-01	0.01	0.01	0.01	0.01	4454400.00
1972-12-04	0.01	0.01	0.01	0.01	2918400.00
1972-12-05	0.01	0.01	0.01	0.01	3993600.00
1972-12-06	0.01	0.01	0.01	0.01	1228800.00
1972-12-07	0.01	0.01	0.01	0.01	1996800.00
1972-12-08	0.01	0.01	0.01	0.01	29337600.00
1972-12-11	0.01	0.01	0.01	0.01	1075200.00
1972-12-12	0.01	0.01	0.01	0.01	614400.00
1972-12-13	0.01	0.01	0.01	0.01	307200.00
1972-12-14	0.01	0.01	0.01	0.01	4915200.00
1972-12-15	0.01	0.01	0.01	0.01	4608000.00
1972-12-18	0.01	0.01	0.01	0.01	4608000.00
1972-12-19	0.01	0.01	0.01	0.01	460800.00
1972-12-20	0.01	0.01	0.01	0.01	614400.00
1972-12-21	0.01	0.01	0.01	0.01	27187200.00
1972-12-22	0.01	0.01	0.01	0.01	3686400.00
1972-12-26	0.01	0.01	0.01	0.01	1843200.00
1972-12-27	0.01	0.01	0.01	0.01	2304000.00
1972-12-29	0.01	0.01	0.01	0.01	921600.00
1973-01-02	0.01	0.01	0.01	0.01	1382400.00
1973-01-03	0.01	0.01	0.01	0.01	2304000.00
1973-01-04	0.01	0.01	0.01	0.01	5222400.00
1973-01-05	0.01	0.01	0.01	0.01	4761600.00
1973-01-08	0.01	0.01	0.01	0.01	1996800.00
1973-01-09	0.01	0.01	0.01	0.01	10752000.00
1973-01-10	0.01	0.01	0.01	0.01	3840000.00
1973-01-11	0.01	0.01	0.01	0.01	3993600.00
1973-01-12	0.01	0.01	0.01	0.01	5836800.00
1973-01-15	0.01	0.01	0.01	0.01	1075200.00
1973-01-16	0.01	0.01	0.01	0.01	10444800.00
1973-01-17	0.01	0.01	0.01	0.01	1996800.00
1973-01-18	0.01	0.01	0.01	0.01	0.00
1973-01-19	0.01	0.01	0.01	0.01	1843200.00
1973-01-22	0.01	0.01	0.01	0.01	921600.00
1973-01-23	0.01	0.01	0.01	0.01	4608000.00
1973-01-24	0.01	0.01	0.01	0.01	4761600.00
1973-01-26	0.01	0.01	0.01	0.01	3379200.00
1973-01-29	0.01	0.01	0.01	0.01	2918400.00
1973-01-30	0.01	0.01	0.01	0.01	3840000.00
1973-01-31	0.01	0.01	0.01	0.01	1536000.00
1973-02-01	0.01	0.01	0.01	0.01	9369600.00
1973-02-02	0.01	0.01	0.01	0.01	7680000.00
1973-02-05	0.01	0.01	0.01	0.01	307200.00
1973-02-06	0.01	0.01	0.01	0.01	3532800.00
1973-02-07	0.01	0.01	0.01	0.01	9984000.00
1973-02-08	0.01	0.01	0.01	0.01	2611200.00
1973-02-09	0.01	0.01	0.01	0.01	3072000.00
1973-02-12	0.01	0.01	0.01	0.01	6758400.00
1973-02-13	0.01	0.01	0.01	0.01	2457600.00
1973-02-14	0.01	0.01	0.01	0.01	3072000.00
1973-02-15	0.01	0.01	0.01	0.01	2918400.00
1973-02-16	0.01	0.01	0.01	0.01	3993600.00
1973-02-20	0.01	0.01	0.01	0.01	17510400.00
1973-02-21	0.01	0.01	0.01	0.01	3993600.00
1973-02-22	0.01	0.01	0.01	0.01	40857600.00
1973-02-23	0.01	0.01	0.01	0.01	6451200.00
1973-02-26	0.01	0.01	0.01	0.01	2457600.00
1973-02-27	0.01	0.01	0.01	0.01	4300800.00
1973-02-28	0.01	0.01	0.01	0.01	7680000.00
1973-03-01	0.01	0.01	0.01	0.01	307200.00
1973-03-02	0.01	0.01	0.01	0.01	7833600.00
1973-03-05	0.01	0.01	0.01	0.01	25036800.00
1973-03-06	0.01	0.01	0.01	0.01	17971200.00
1973-03-07	0.01	0.01	0.01	0.01	15360000.00
1973-03-08	0.01	0.01	0.01	0.01	9830400.00
1973-03-09	0.01	0.01	0.01	0.01	7680000.00
1973-03-12	0.01	0.01	0.01	0.01	1689600.00
1973-03-13	0.01	0.01	0.01	0.01	4454400.00
1973-03-14	0.01	0.01	0.01	0.01	5376000.00
1973-03-15	0.01	0.01	0.01	0.01	2150400.00
1973-03-16	0.01	0.01	0.01	0.01	3379200.00
1973-03-19	0.01	0.01	0.01	0.01	1536000.00
1973-03-20	0.01	0.01	0.01	0.01	460800.00
1973-03-21	0.01	0.01	0.01	0.01	6604800.00
1973-03-22	0.01	0.01	0.01	0.01	12902400.00
1973-03-23	0.01	0.01	0.01	0.01	16588800.00
1973-03-26	0.01	0.01	0.01	0.01	4147200.00
1973-03-27	0.01	0.01	0.01	0.01	14592000.00
1973-03-28	0.01	0.01	0.01	0.01	2611200.00
1973-03-29	0.01	0.01	0.01	0.01	153600.00
1973-03-30	0.01	0.01	0.01	0.01	4147200.00
1973-04-02	0.01	0.01	0.01	0.01	4608000.00
1973-04-03	0.01	0.01	0.01	0.01	460800.00
1973-04-04	0.01	0.01	0.01	0.01	1536000.00
1973-04-05	0.01	0.01	0.01	0.01	4300800.00
1973-04-06	0.01	0.01	0.01	0.01	460800.00
1973-04-09	0.01	0.01	0.01	0.01	153600.00
1973-04-10	0.01	0.01	0.01	0.01	3993600.00
1973-04-11	0.01	0.01	0.01	0.01	1382400.00
1973-04-12	0.01	0.01	0.01	0.01	460800.00
1973-04-13	0.01	0.01	0.01	0.01	921600.00
1973-04-16	0.01	0.01	0.01	0.01	2764800.00
1973-04-17	0.01	0.01	0.01	0.01	0.00
1973-04-18	0.01	0.01	0.01	0.01	2304000.00
