Date	Open	High	Low	Close	Volume
1988-06-22	2.60	2.67	2.60	2.60	18200.00
1988-06-23	2.52	2.52	2.38	2.38	51100.00
1988-06-24	2.45	2.45	2.45	2.45	11800.00
1988-06-27	2.45	2.45	2.38	2.38	13200.00
1988-06-28	2.38	2.38	2.24	2.24	16200.00
1988-06-29	2.31	2.38	2.31	2.31	8900.00
1988-06-30	2.45	2.52	2.45	2.45	47300.00
1988-07-01	2.67	2.74	2.67	2.67	29100.00
1988-07-05	2.67	2.74	2.60	2.60	14000.00
1988-07-06	2.60	2.60	2.52	2.52	20000.00
1988-07-07	2.52	2.60	2.52	2.52	6900.00
1988-07-08	2.52	2.52	2.45	2.45	9300.00
1988-07-11	2.45	2.52	2.45	2.45	31400.00
1988-07-12	2.45	2.60	2.45	2.45	3600.00
1988-07-13	2.52	2.60	2.52	2.52	2800.00
1988-07-14	2.52	2.60	2.45	2.45	26400.00
1988-07-15	2.45	2.60	2.45	2.45	13000.00
1988-07-18	2.45	2.52	2.38	2.38	10500.00
1988-07-19	2.38	2.45	2.31	2.31	7500.00
1988-07-20	2.31	2.31	2.17	2.17	31400.00
1988-07-21	2.24	2.31	2.24	2.24	13200.00
1988-07-22	2.24	2.31	2.17	2.17	21100.00
1988-07-25	2.17	2.31	2.17	2.17	2000.00
1988-07-26	2.17	2.24	2.17	2.17	26900.00
1988-07-27	2.17	2.24	2.17	2.17	1900.00
1988-07-28	2.17	2.24	2.17	2.17	10300.00
1988-07-29	2.17	2.24	2.17	2.17	14200.00
1988-08-01	2.24	2.31	2.24	2.24	19700.00
1988-08-02	2.24	2.31	2.17	2.17	17500.00
1988-08-03	2.17	2.24	2.10	2.10	33600.00
1988-08-04	2.10	2.17	2.03	2.03	1300.00
1988-08-05	2.10	2.17	2.10	2.10	2900.00
1988-08-08	2.10	2.17	2.10	2.10	9400.00
1988-08-09	2.03	2.03	1.96	1.96	26000.00
1988-08-10	1.89	1.89	1.82	1.82	41100.00
1988-08-11	1.89	1.96	1.89	1.89	8900.00
1988-08-12	1.89	1.96	1.89	1.89	2000.00
1988-08-15	1.89	1.89	1.82	1.82	12500.00
1988-08-16	1.82	1.89	1.75	1.75	13700.00
1988-08-17	1.61	1.61	1.54	1.54	43200.00
1988-08-18	1.54	1.61	1.54	1.54	15500.00
1988-08-19	1.54	1.61	1.54	1.54	13400.00
1988-08-22	1.54	1.54	1.47	1.47	12400.00
1988-08-23	1.54	1.61	1.54	1.54	21500.00
1988-08-24	1.54	1.54	1.47	1.47	5500.00
1988-08-25	1.47	1.54	1.47	1.47	800.00
1988-08-26	1.61	1.61	1.61	1.61	14500.00
1988-08-29	1.61	1.61	1.54	1.54	3900.00
1988-08-30	1.54	1.61	1.54	1.54	1000.00
1988-08-31	1.54	1.61	1.54	1.54	6200.00
