Date	Close	High	Low	Open	Volume
	WPC	WPC	WPC	WPC	WPC
1998-01-21	3.49	3.61	3.39	3.39	370623
1998-01-22	3.43	3.49	3.33	3.49	198789
1998-01-23	3.41	3.46	3.31	3.46	158868
1998-01-26	3.34	3.45	3.31	3.45	122009
1998-01-27	3.31	3.31	3.22	3.30	178981
1998-01-28	3.47	3.47	3.24	3.31	163156
1998-01-29	3.49	3.53	3.41	3.45	74125
1998-01-30	3.43	3.49	3.39	3.49	58503
1998-02-02	3.43	3.46	3.29	3.46	76269
1998-02-03	3.37	3.43	3.31	3.43	96791
1998-02-04	3.35	3.42	3.29	3.32	78209
1998-02-05	3.42	3.46	3.35	3.38	78821
1998-02-06	3.37	3.46	3.37	3.46	62791
1998-02-09	3.31	3.41	3.31	3.33	73716
1998-02-10	3.39	3.41	3.35	3.35	79434
1998-02-11	3.36	3.41	3.32	3.39	67182
1998-02-12	3.38	3.39	3.35	3.38	26954
1998-02-13	3.38	3.41	3.36	3.39	52275
1998-02-17	3.40	3.41	3.34	3.39	84437
1998-02-18	3.39	3.42	3.33	3.42	65344
1998-02-19	3.40	3.43	3.35	3.40	48906
1998-02-20	3.40	3.41	3.35	3.37	39309
1998-02-23	3.39	3.40	3.35	3.36	47374
1998-02-24	3.39	3.39	3.34	3.38	72491
1998-02-25	3.35	3.40	3.35	3.39	38492
1998-02-26	3.39	3.39	3.35	3.38	34510
1998-02-27	3.39	3.40	3.36	3.39	28282
1998-03-02	3.40	3.40	3.36	3.38	54828
1998-03-03	3.35	3.40	3.35	3.39	44822
1998-03-04	3.35	3.39	3.34	3.39	44209
1998-03-05	3.35	3.38	3.31	3.34	72695
1998-03-06	3.34	3.37	3.31	3.37	38288
1998-03-09	3.30	3.33	3.28	3.28	81884
1998-03-10	3.29	3.31	3.27	3.30	81476
1998-03-11	3.33	3.38	3.27	3.28	42678
1998-03-12	3.32	3.37	3.32	3.37	47885
1998-03-13	3.32	3.34	3.31	3.34	54419
1998-03-16	3.29	3.32	3.28	3.32	48906
1998-03-17	3.25	3.29	3.24	3.27	65446
1998-03-18	3.23	3.26	3.23	3.23	61873
1998-03-19	3.23	3.26	3.21	3.23	78413
1998-03-20	3.29	3.32	3.26	3.26	104959
1998-03-23	3.27	3.32	3.27	3.32	79128
1998-03-24	3.23	3.29	3.22	3.28	94238
1998-03-25	3.24	3.26	3.22	3.22	57686
1998-03-26	3.28	3.28	3.24	3.25	74125
1998-03-27	3.32	3.33	3.27	3.27	46251
1998-03-30	3.26	3.32	3.24	3.30	48497
1998-03-31	3.24	3.31	3.24	3.30	45945
1998-04-01	3.35	3.36	3.28	3.28	83109
1998-04-02	3.36	3.36	3.32	3.34	54828
1998-04-03	3.37	3.38	3.35	3.37	62383
1998-04-06	3.34	3.41	3.32	3.39	57176
1998-04-07	3.34	3.37	3.32	3.32	44924
1998-04-08	3.35	3.38	3.32	3.36	24198
1998-04-09	3.35	3.37	3.32	3.35	27567
1998-04-13	3.30	3.34	3.30	3.31	25219
1998-04-14	3.29	3.32	3.26	3.32	35939
1998-04-15	3.31	3.31	3.26	3.26	33489
1998-04-16	3.28	3.33	3.25	3.27	42474
1998-04-17	3.33	3.38	3.25	3.26	69224
1998-04-20	3.36	3.39	3.33	3.33	59831
1998-04-21	3.34	3.35	3.30	3.34	41759
1998-04-22	3.34	3.34	3.26	3.33	23279
1998-04-23	3.36	3.37	3.32	3.34	70041
1998-04-24	3.38	3.40	3.35	3.37	65752
1998-04-27	3.37	3.38	3.30	3.34	39309
1998-04-28	3.37	3.42	3.32	3.38	74227
1998-04-29	3.47	3.48	3.38	3.38	64731
1998-04-30	3.57	3.58	3.50	3.51	75044
1998-05-01	3.55	3.57	3.51	3.54	44822
1998-05-04	3.50	3.57	3.46	3.57	42474
1998-05-05	3.51	3.55	3.44	3.46	59320
1998-05-06	3.47	3.52	3.46	3.52	45843
1998-05-07	3.45	3.48	3.38	3.48	24810
1998-05-08	3.42	3.47	3.38	3.47	31855
1998-05-11	3.48	3.52	3.45	3.46	79128
1998-05-12	3.51	3.51	3.42	3.51	38594
1998-05-13	3.47	3.51	3.45	3.51	17255
1998-05-14	3.44	3.51	3.41	3.49	48497
1998-05-15	3.42	3.45	3.39	3.40	21135
1998-05-18	3.38	3.44	3.36	3.44	26240
1998-05-19	3.38	3.40	3.33	3.40	35837
1998-05-20	3.30	3.37	3.29	3.34	38288
1998-05-21	3.36	3.37	3.31	3.31	36960
1998-05-22	3.35	3.38	3.32	3.38	22768
1998-05-26	3.35	3.36	3.31	3.35	54521
1998-05-27	3.35	3.35	3.32	3.35	33489
1998-05-28	3.36	3.36	3.33	3.35	33795
1998-05-29	3.44	3.44	3.33	3.36	33285
1998-06-01	3.47	3.50	3.44	3.45	59422
1998-06-02	3.51	3.53	3.47	3.48	45434
1998-06-03	3.48	3.51	3.46	3.51	30630
1998-06-04	3.47	3.50	3.42	3.42	28996
1998-06-05	3.54	3.54	3.48	3.50	23075
1998-06-08	3.55	3.56	3.52	3.54	30426
1998-06-09	3.47	3.57	3.46	3.56	42371
1998-06-10	3.54	3.57	3.46	3.50	47476
1998-06-11	3.46	3.54	3.44	3.52	71266
1998-06-12	3.48	3.50	3.39	3.48	44822
1998-06-15	3.38	3.48	3.38	3.48	52684
1998-06-16	3.33	3.39	3.33	3.39	21849
1998-06-17	3.30	3.40	3.29	3.29	52071
1998-06-18	3.31	3.34	3.29	3.32	22156
1998-06-19	3.30	3.33	3.29	3.32	48497
1998-06-22	3.26	3.34	3.26	3.32	46353
1998-06-23	3.26	3.28	3.26	3.26	49212
1998-06-24	3.35	3.36	3.28	3.28	37573
1998-06-25	3.37	3.38	3.32	3.35	42984
1998-06-26	3.36	3.38	3.34	3.36	20318
1998-06-29	3.38	3.41	3.36	3.38	25014
1998-06-30	3.24	3.38	3.24	3.38	55542
1998-07-01	3.36	3.38	3.24	3.24	32978
1998-07-02	3.37	3.40	3.32	3.34	29609
1998-07-06	3.33	3.40	3.32	3.37	19705
1998-07-07	3.38	3.39	3.33	3.37	25117
1998-07-08	3.34	3.38	3.34	3.36	43597
1998-07-09	3.32	3.36	3.32	3.36	28077
1998-07-10	3.36	3.39	3.30	3.30	14600
1998-07-13	3.36	3.38	3.33	3.34	12762
1998-07-14	3.27	3.36	3.26	3.36	58707
1998-07-15	3.40	3.43	3.28	3.31	92400
1998-07-16	3.35	3.42	3.34	3.42	23075
1998-07-17	3.35	3.36	3.32	3.36	19297
1998-07-20	3.36	3.36	3.33	3.34	15825
1998-07-21	3.31	3.35	3.26	3.33	39309
1998-07-22	3.36	3.37	3.28	3.29	39104
1998-07-23	3.38	3.40	3.36	3.40	11537
1998-07-24	3.38	3.40	3.36	3.38	30119
1998-07-27	3.35	3.38	3.34	3.38	26648
1998-07-28	3.38	3.38	3.31	3.36	25423
1998-07-29	3.34	3.41	3.34	3.40	20930
1998-07-30	3.31	3.35	3.29	3.33	25831
1998-07-31	3.27	3.30	3.26	3.30	25321
1998-08-03	3.27	3.28	3.25	3.28	28690
1998-08-04	3.26	3.29	3.24	3.29	36348
1998-08-05	3.26	3.27	3.23	3.25	49621
1998-08-06	3.23	3.30	3.23	3.28	10006
1998-08-07	3.30	3.32	3.24	3.24	10618
1998-08-10	3.33	3.34	3.26	3.28	12048
1998-08-11	3.28	3.34	3.25	3.34	21951
1998-08-12	3.24	3.30	3.22	3.29	25014
1998-08-13	3.25	3.28	3.16	3.28	35429
1998-08-14	3.25	3.29	3.23	3.28	15621
1998-08-17	3.26	3.28	3.22	3.24	19501
1998-08-18	3.28	3.28	3.24	3.27	8576
1998-08-19	3.26	3.30	3.26	3.26	19705
1998-08-20	3.28	3.29	3.26	3.28	11741
1998-08-21	3.29	3.32	3.26	3.29	17765
1998-08-24	3.29	3.31	3.27	3.27	12762
1998-08-25	3.26	3.32	3.26	3.31	20726
1998-08-26	3.27	3.28	3.23	3.27	23075
1998-08-27	3.27	3.27	3.21	3.27	10516
1998-08-28	3.16	3.27	3.12	3.26	37777
1998-08-31	3.07	3.18	3.03	3.16	31651
1998-09-01	3.09	3.17	3.06	3.09	33591
1998-09-02	3.15	3.15	3.10	3.10	14804
1998-09-03	3.14	3.17	3.11	3.12	28282
1998-09-04	3.15	3.16	3.11	3.16	13783
1998-09-08	3.14	3.15	3.11	3.12	13375
1998-09-09	3.14	3.14	3.06	3.10	27873
1998-09-10	3.11	3.13	3.09	3.13	16336
1998-09-11	3.10	3.13	3.09	3.10	26240
1998-09-14	3.10	3.14	3.08	3.11	17153
1998-09-15	3.11	3.12	3.08	3.10	21543
1998-09-16	3.10	3.12	3.08	3.12	16030
1998-09-17	3.11	3.15	3.09	3.12	24606
1998-09-18	3.09	3.12	3.09	3.11	15009
1998-09-21	3.14	3.14	3.11	3.11	10312
1998-09-22	3.14	3.21	3.13	3.13	25525
1998-09-23	3.25	3.28	3.17	3.17	30119
1998-09-24	3.28	3.28	3.22	3.26	23381
1998-09-25	3.21	3.29	3.21	3.27	23381
1998-09-28	3.31	3.34	3.25	3.25	15825
1998-09-29	3.32	3.37	3.30	3.31	15519
1998-09-30	3.31	3.33	3.30	3.32	7760
1998-10-01	3.34	3.35	3.32	3.33	17153
1998-10-02	3.32	3.34	3.29	3.34	24096
1998-10-05	3.33	3.35	3.28	3.33	36858
