Date	Close	High	Low	Open	Volume
	WRB	WRB	WRB	WRB	WRB
1973-10-23	0.09	0.09	0.09	0.09	611249
1973-10-24	0.08	0.09	0.08	0.09	686214
1973-10-25	0.08	0.09	0.08	0.08	530518
1973-10-26	0.08	0.08	0.08	0.08	380589
1973-10-29	0.07	0.08	0.07	0.08	709280
1973-10-30	0.07	0.07	0.07	0.07	461320
1973-10-31	0.07	0.08	0.07	0.07	651615
1973-11-01	0.07	0.08	0.07	0.07	190295
1973-11-02	0.07	0.08	0.07	0.07	478620
1973-11-05	0.07	0.07	0.07	0.07	121097
1973-11-06	0.07	0.07	0.07	0.07	259493
1973-11-07	0.07	0.07	0.07	0.07	184528
1973-11-08	0.06	0.07	0.06	0.07	138396
1973-11-09	0.06	0.07	0.06	0.06	305625
1973-11-12	0.06	0.07	0.06	0.06	57665
1973-11-13	0.06	0.06	0.06	0.06	403655
1973-11-14	0.06	0.06	0.06	0.06	155696
1973-11-15	0.06	0.06	0.06	0.06	138396
1973-11-16	0.06	0.06	0.06	0.06	328691
1973-11-19	0.06	0.06	0.06	0.06	155696
1973-11-20	0.05	0.06	0.05	0.06	386356
1973-11-21	0.05	0.06	0.05	0.05	86498
1973-11-23	0.05	0.06	0.05	0.05	259493
1973-11-26	0.05	0.05	0.05	0.05	155696
1973-11-27	0.05	0.05	0.05	0.05	178762
1973-11-28	0.05	0.05	0.05	0.05	17300
1973-11-29	0.05	0.05	0.05	0.05	63432
1973-11-30	0.04	0.05	0.04	0.05	109564
1973-12-03	0.05	0.05	0.05	0.05	369056
1973-12-04	0.05	0.05	0.05	0.05	501686
1973-12-05	0.05	0.05	0.05	0.05	415188
1973-12-06	0.05	0.05	0.05	0.05	5767
1973-12-07	0.05	0.05	0.05	0.05	17300
1973-12-10	0.05	0.05	0.05	0.05	478620
1973-12-11	0.05	0.06	0.05	0.05	547818
1973-12-12	0.05	0.06	0.05	0.05	703513
1973-12-13	0.05	0.05	0.05	0.05	392122
1973-12-14	0.05	0.05	0.05	0.05	207594
1973-12-17	0.05	0.05	0.05	0.05	11533
1973-12-18	0.05	0.05	0.05	0.05	172995
1973-12-19	0.05	0.05	0.05	0.05	121097
1973-12-20	0.05	0.05	0.05	0.05	449787
1973-12-21	0.05	0.06	0.05	0.05	501686
1973-12-24	0.05	0.06	0.05	0.05	196061
1973-12-26	0.05	0.06	0.05	0.05	259493
1973-12-27	0.05	0.06	0.05	0.05	184528
1973-12-28	0.05	0.06	0.05	0.05	184528
1973-12-31	0.05	0.06	0.05	0.05	369056
1974-01-02	0.05	0.06	0.05	0.05	63432
1974-01-03	0.05	0.06	0.05	0.05	92264
1974-01-04	0.06	0.06	0.06	0.06	1453159
1974-01-07	0.06	0.07	0.06	0.06	247960
1974-01-08	0.06	0.07	0.06	0.06	247960
1974-01-09	0.07	0.08	0.07	0.07	317158
1974-01-10	0.07	0.08	0.07	0.07	415188
1974-01-11	0.07	0.07	0.07	0.07	103797
1974-01-14	0.07	0.07	0.07	0.07	63432
1974-01-15	0.07	0.07	0.07	0.07	0
1974-01-16	0.07	0.07	0.07	0.07	207594
1974-01-17	0.06	0.07	0.06	0.07	109564
1974-01-18	0.06	0.07	0.06	0.06	63432
1974-01-21	0.06	0.07	0.06	0.06	109564
1974-01-22	0.06	0.06	0.06	0.06	57665
1974-01-23	0.05	0.06	0.05	0.06	271026
1974-01-24	0.05	0.06	0.05	0.05	149929
1974-01-25	0.05	0.06	0.05	0.05	57665
1974-01-28	0.06	0.06	0.06	0.06	109564
1974-01-29	0.06	0.06	0.06	0.06	17300
1974-01-30	0.06	0.06	0.06	0.06	155696
