Date	Close	High	Low	Open	Volume
	WSM	WSM	WSM	WSM	WSM
1983-07-07	0.33	0.33	0.33	0.33	32203575
1983-07-08	0.33	0.33	0.33	0.33	8924175
1983-07-11	0.33	0.35	0.33	0.33	2673000
1983-07-12	0.34	0.35	0.34	0.34	4866075
1983-07-13	0.35	0.36	0.35	0.35	2654775
1983-07-14	0.35	0.35	0.35	0.35	1676700
1983-07-15	0.34	0.35	0.34	0.35	4641300
1983-07-18	0.33	0.34	0.33	0.34	3620700
1983-07-19	0.33	0.34	0.33	0.33	2156625
1983-07-20	0.34	0.35	0.34	0.34	874800
1983-07-21	0.34	0.35	0.34	0.34	504225
1983-07-22	0.34	0.35	0.34	0.34	492075
1983-07-25	0.35	0.36	0.35	0.35	413100
1983-07-26	0.35	0.36	0.35	0.35	230850
1983-07-27	0.35	0.36	0.35	0.35	722925
1983-07-28	0.35	0.35	0.35	0.35	0
1983-07-29	0.34	0.35	0.34	0.35	370575
1983-08-01	0.33	0.35	0.33	0.34	801900
1983-08-02	0.34	0.35	0.34	0.34	1269675
1983-08-03	0.34	0.35	0.34	0.34	2278125
1983-08-04	0.34	0.34	0.34	0.34	589275
1983-08-05	0.33	0.34	0.33	0.34	905175
1983-08-08	0.33	0.34	0.33	0.33	1069200
1983-08-09	0.33	0.34	0.33	0.33	437400
1983-08-10	0.33	0.34	0.33	0.33	461700
1983-08-11	0.33	0.35	0.33	0.33	182250
1983-08-12	0.33	0.35	0.33	0.33	157950
1983-08-15	0.33	0.35	0.33	0.33	352350
1983-08-16	0.33	0.35	0.33	0.33	814050
1983-08-17	0.33	0.35	0.33	0.33	492075
1983-08-18	0.33	0.35	0.33	0.33	303750
1983-08-19	0.33	0.35	0.33	0.33	157950
1983-08-22	0.33	0.35	0.33	0.33	1263600
1983-08-23	0.33	0.35	0.33	0.33	78975
1983-08-24	0.33	0.35	0.33	0.33	2229525
1983-08-25	0.32	0.33	0.32	0.33	510300
1983-08-26	0.32	0.33	0.32	0.32	516375
1983-08-29	0.32	0.33	0.32	0.32	30375
1983-08-30	0.31	0.33	0.31	0.32	400950
1983-08-31	0.31	0.32	0.31	0.31	188325
1983-09-01	0.31	0.32	0.31	0.31	413100
1983-09-02	0.32	0.32	0.32	0.32	1142100
1983-09-06	0.31	0.32	0.31	0.32	176175
1983-09-07	0.31	0.32	0.31	0.31	285525
1983-09-08	0.30	0.31	0.30	0.31	668250
1983-09-09	0.30	0.31	0.30	0.30	42525
1983-09-12	0.30	0.31	0.30	0.30	164025
1983-09-13	0.30	0.31	0.30	0.30	741150
1983-09-14	0.31	0.32	0.31	0.31	230850
1983-09-15	0.31	0.32	0.31	0.31	48600
1983-09-16	0.31	0.32	0.31	0.31	91125
1983-09-19	0.31	0.32	0.31	0.31	115425
1983-09-20	0.33	0.35	0.33	0.33	473850
1983-09-21	0.34	0.35	0.34	0.34	66825
1983-09-22	0.35	0.36	0.35	0.35	704700
1983-09-23	0.35	0.36	0.35	0.35	170100
1983-09-26	0.35	0.37	0.35	0.35	54675
