Date	Open	High	Low	Close	Adj Close	Volume
1998-12-22	14.53	14.58	14.53	14.58		600.00
1998-12-23	14.69	14.88	14.69	14.84		900.00
1998-12-24	14.97	15.04	14.92	15.03		1400.00
1998-12-28	15.03	15.12	15.03	15.11		7400.00
1998-12-29	15.19	15.33	15.19	15.33		1400.00
1998-12-30	15.32	15.32	15.22	15.26		2800.00
1998-12-31	15.26	15.38	15.23	15.38		33100.00
1999-01-04	15.40	15.56	15.17	15.17		6400.00
1999-01-05	15.33	15.51	15.26	15.48		2000.00
1999-01-06	15.63	15.86	15.63	15.82		13500.00
1999-01-07	15.70	15.74	15.56	15.68		13100.00
1999-01-08	15.64	15.82	15.55	15.80		11000.00
1999-01-11	15.76	15.76	15.58	15.65		2200.00
1999-01-12	15.57	15.61	15.41	15.46		6500.00
1999-01-13	15.05	15.26	15.03	15.07		1700.00
1999-01-14	15.03	15.17	15.00	15.00		4100.00
1999-01-15	15.08	15.30	15.08	15.26		4900.00
1999-01-19	15.39	15.39	15.10	15.23		10100.00
1999-01-20	15.27	15.35	15.16	15.16		1700.00
1999-01-21	15.12	15.12	15.02	15.03		2500.00
1999-01-22	14.82	14.88	14.74	14.74		8700.00
1999-01-25	14.81	14.98	14.79	14.98		4600.00
1999-01-26	14.98	14.98	14.98	14.98		0.00
1999-01-27	15.16	15.16	15.10	15.10		500.00
1999-01-28	15.05	15.15	15.00	15.12		1900.00
1999-01-29	15.18	15.29	15.00	15.22		109200.00
1999-02-01	15.35	15.35	15.24	15.24		2400.00
1999-02-02	15.13	15.15	14.94	15.12		20700.00
1999-02-03	15.12	15.27	15.12	15.27		20100.00
1999-02-04	15.25	15.30	15.19	15.29		6100.00
1999-02-05	15.34	15.34	15.22	15.24		4300.00
1999-02-08	15.35	15.35	15.12	15.29		2900.00
1999-02-09	15.26	15.26	15.08	15.08		4100.00
1999-02-10	15.14	15.14	15.06	15.14		5400.00
1999-02-11	15.24	15.35	15.24	15.35		3500.00
