Date	Open	High	Low	Close	Adj Close	Volume
1998-12-22	12.08	12.08	11.91	11.91		7900.00
1998-12-23	11.90	11.90	11.84	11.86		24100.00
1998-12-24	12.07	12.11	12.04	12.08		23800.00
1998-12-28	12.06	12.08	12.00	12.02		3100.00
1998-12-29	12.07	12.25	12.07	12.22		12000.00
1998-12-30	12.28	12.31	12.12	12.12		70400.00
1998-12-31	12.08	12.08	11.99	12.08		21600.00
1999-01-04	11.99	12.08	11.83	11.88		109300.00
1999-01-05	11.98	12.03	11.93	12.03		111200.00
1999-01-06	12.06	12.19	12.06	12.15		41000.00
1999-01-07	12.15	12.28	12.08	12.11		222300.00
1999-01-08	12.14	12.19	12.03	12.18		135900.00
1999-01-11	12.11	12.11	11.81	11.85		129000.00
1999-01-12	11.84	12.03	11.80	11.86		7100.00
1999-01-13	11.78	12.03	11.78	11.94		25900.00
1999-01-14	11.77	11.89	11.68	11.74		20000.00
1999-01-15	11.78	11.90	11.75	11.80		6900.00
1999-01-19	12.16	12.19	11.98	12.19		12200.00
1999-01-20	12.21	12.28	12.09	12.14		32700.00
1999-01-21	12.23	12.23	12.10	12.10		20500.00
1999-01-22	12.02	12.27	11.97	12.18		20800.00
1999-01-25	12.18	12.18	11.73	11.73		13600.00
1999-01-26	11.86	11.96	11.68	11.96		15200.00
1999-01-27	11.93	11.93	11.78	11.78		7800.00
1999-01-28	11.81	11.96	11.80	11.80		17600.00
1999-01-29	11.80	11.85	11.66	11.78		39800.00
1999-02-01	11.85	11.85	11.68	11.75		12200.00
1999-02-02	11.60	11.63	11.45	11.60		27700.00
1999-02-03	11.53	11.67	11.53	11.66		32500.00
1999-02-04	11.64	11.64	11.48	11.48		18200.00
1999-02-05	11.53	11.59	11.49	11.49		8100.00
1999-02-08	11.50	11.57	11.47	11.49		13300.00
1999-02-09	11.51	11.65	11.49	11.54		12200.00
1999-02-10	11.54	11.58	11.45	11.46		8000.00
1999-02-11	11.49	11.57	11.45	11.51		4400.00
1999-02-12	11.56	11.56	11.27	11.32		103000.00
1999-02-16	11.47	11.53	11.44	11.53		59300.00
1999-02-17	11.50	11.68	11.45	11.45		57400.00
1999-02-18	11.50	11.81	11.45	11.65		14000.00
1999-02-19	11.59	11.65	11.48	11.53		9600.00
1999-02-22	11.57	11.90	11.57	11.90		6900.00
1999-02-23	11.80	11.80	11.48	11.53		15100.00
1999-02-24	11.56	11.81	11.56	11.63		66000.00
1999-02-25	11.56	11.57	11.33	11.38		23600.00
1999-02-26	11.46	11.46	11.29	11.45		11400.00
1999-03-01	11.36	11.36	11.21	11.28		8400.00
1999-03-02	11.36	11.39	11.11	11.11		10300.00
1999-03-03	11.12	11.19	11.12	11.12		4700.00
1999-03-04	11.21	11.30	11.18	11.30		5700.00
1999-03-05	11.48	11.51	11.35	11.49		21000.00
1999-03-08	11.44	11.44	11.30	11.36		39100.00
1999-03-09	11.37	11.41	11.26	11.33		5800.00
1999-03-10	11.28	11.33	11.27	11.29		34000.00
1999-03-11	11.30	11.45	11.27	11.38		9600.00
1999-03-12	11.54	11.55	11.45	11.50		7800.00
1999-03-15	11.55	11.58	11.48	11.53		15900.00
1999-03-16	11.50	11.55	11.43	11.49		10100.00
