Date	Open	High	Low	Close	Adj Close	Volume
1998-12-22	16.86	17.03	16.86	17.01		5700.00
1998-12-23	17.11	17.39	17.11	17.39		18100.00
1998-12-24	17.41	17.50	17.34	17.50		4900.00
1998-12-28	17.44	17.50	17.24	17.24		15500.00
1998-12-29	17.24	17.62	17.24	17.62		5300.00
1998-12-30	17.67	17.69	17.48	17.48		17300.00
1998-12-31	17.54	17.67	17.50	17.67		6600.00
1999-01-04	17.84	17.92	17.52	17.62		249200.00
1999-01-05	17.67	17.90	17.67	17.90		4400.00
1999-01-06	18.03	18.20	17.98	18.20		38500.00
1999-01-07	18.03	18.13	17.90	18.11		15900.00
1999-01-08	18.15	18.34	18.15	18.34		24400.00
1999-01-11	18.32	18.52	18.22	18.38		7700.00
1999-01-12	18.43	18.52	18.28	18.30		270700.00
1999-01-13	17.52	18.26	17.52	18.13		7100.00
1999-01-14	18.20	18.25	17.92	17.98		12200.00
1999-01-15	18.05	18.28	18.05	18.23		7700.00
1999-01-19	18.54	18.79	18.43	18.75		22700.00
1999-01-20	18.86	19.11	18.75	18.86		25800.00
1999-01-21	18.81	18.81	18.15	18.20		23200.00
1999-01-22	18.07	18.26	17.94	18.12		67100.00
1999-01-25	18.13	18.28	18.13	18.27		495300.00
1999-01-26	18.30	18.37	18.12	18.36		187400.00
1999-01-27	18.41	18.41	18.18	18.18		6800.00
1999-01-28	18.35	18.58	18.35	18.52		25800.00
1999-01-29	18.54	18.54	18.28	18.52		13800.00
1999-02-01	18.60	18.66	18.45	18.62		34000.00
1999-02-02	18.32	18.38	18.09	18.35		141700.00
1999-02-03	18.30	18.70	18.30	18.70		38900.00
1999-02-04	18.58	18.64	18.43	18.56		7400.00
1999-02-05	18.56	18.56	18.22	18.35		16900.00
1999-02-08	18.43	18.43	18.26	18.34		6500.00
1999-02-09	18.39	18.41	18.01	18.01		220800.00
1999-02-10	17.88	18.05	17.79	18.05		17800.00
1999-02-11	17.98	18.54	17.92	18.54		5300.00
1999-02-12	18.43	18.43	18.15	18.26		8400.00
1999-02-16	18.35	18.56	18.35	18.43		18500.00
1999-02-17	18.39	18.52	18.22	18.24		12900.00
1999-02-18	18.30	18.48	18.19	18.47		11500.00
1999-02-19	18.47	18.60	18.47	18.53		13900.00
1999-02-22	18.60	18.93	18.56	18.92		17800.00
1999-02-23	18.96	18.96	18.69	18.89		15000.00
1999-02-24	18.94	19.01	18.66	18.66		28000.00
1999-02-25	18.58	18.58	18.26	18.48		98900.00
1999-02-26	18.56	18.59	18.27	18.54		10800.00
1999-03-01	18.49	18.52	18.28	18.51		8800.00
1999-03-02	18.62	18.78	18.38	18.49		11500.00
1999-03-03	18.56	18.56	18.35	18.38		13100.00
1999-03-04	18.64	18.71	18.51	18.71		10400.00
1999-03-05	18.98	19.17	18.92	19.13		25400.00
1999-03-08	19.09	19.15	18.98	19.15		62700.00
1999-03-09	18.92	19.20	18.90	19.00		12200.00
1999-03-10	18.98	19.17	18.88	19.17		10700.00
1999-03-11	19.17	19.41	19.17	19.30		23600.00
1999-03-12	19.39	19.47	19.20	19.20		24600.00
1999-03-15	19.32	19.40	19.17	19.26		144800.00
1999-03-16	19.32	19.32	19.18	19.22		9100.00
1999-03-17	19.15	19.27	19.04	19.11		2700.00
1999-03-18	19.00	19.38	19.00	19.38		9500.00
1999-03-19	19.39	19.47	19.22	19.29		6900.00
1999-03-22	19.24	19.43	19.22	19.24		40900.00
1999-03-23	19.20	19.20	18.64	18.71		15400.00
1999-03-24	18.66	18.79	18.58	18.79		12800.00
1999-03-25	18.96	19.11	18.86	19.11		9700.00
1999-03-26	18.97	19.05	18.92	18.96		6600.00
1999-03-29	18.98	19.25	18.98	19.20		8100.00
1999-03-30	19.17	19.27	19.09	19.13		37300.00
1999-03-31	19.20	19.20	19.03	19.03		6300.00
1999-04-01	19.03	19.08	18.79	19.03		22500.00
1999-04-05	19.32	19.53	19.32	19.45		12400.00
1999-04-06	19.53	19.62	19.41	19.47		14500.00
1999-04-07	19.60	19.94	19.60	19.84		15700.00
1999-04-08	19.79	20.04	19.77	20.04		29600.00
1999-04-09	20.04	20.11	19.90	20.11		6600.00
1999-04-12	19.90	20.62	19.90	20.62		87300.00
1999-04-13	20.68	20.70	20.41	20.41		23600.00
1999-04-14	20.55	20.60	20.21	20.21		96900.00
1999-04-15	20.26	20.26	19.56	19.70		17800.00
1999-04-16	19.70	19.70	19.39	19.51		10400.00
1999-04-19	19.66	19.77	18.94	18.98		32700.00
1999-04-20	19.11	19.34	18.96	19.34		15700.00
1999-04-21	19.30	19.79	19.30	19.79		16000.00
1999-04-22	19.87	20.28	19.87	20.19		20200.00
1999-04-23	20.32	20.65	20.32	20.65		9800.00
1999-04-26	20.75	20.75	20.51	20.62		36200.00
1999-04-27	20.78	20.79	20.45	20.64		13900.00
1999-04-28	20.55	20.55	20.09	20.09		25500.00
1999-04-29	20.13	20.26	19.73	19.85		9800.00
1999-04-30	20.00	20.11	19.70	19.70		5800.00
