Date	Close	High	Low	Open	Volume
	XMAR	XMAR	XMAR	XMAR	XMAR
2023-03-20	29.81	33.06	29.69	29.70	1475100
2023-03-21	29.94	29.99	29.83	29.92	825400
2023-03-22	29.80	30.08	29.80	29.98	327300
2023-03-23	29.84	30.03	29.72	29.90	405300
2023-03-24	29.89	29.93	29.70	29.82	532200
2023-03-27	29.91	30.02	29.88	30.02	77700
2023-03-28	29.91	29.93	29.83	29.92	70100
2023-03-29	30.08	30.12	29.96	30.08	323600
2023-03-30	30.13	30.21	30.07	30.21	171300
2023-03-31	30.33	30.33	30.14	30.22	744800
2023-04-03	30.37	30.38	30.25	30.33	220200
2023-04-04	30.28	30.37	30.25	30.29	84200
2023-04-05	30.30	30.30	30.23	30.30	107800
2023-04-06	30.33	30.37	30.17	30.29	350800
2023-04-10	30.30	30.38	30.17	30.28	226400
2023-04-11	30.34	30.41	30.28	30.39	616500
2023-04-12	30.31	30.41	30.29	30.34	153900
2023-04-13	30.45	30.48	30.32	30.46	327000
2023-04-14	30.43	30.48	30.37	30.47	216600
2023-04-17	30.50	30.50	30.40	30.46	73100
2023-04-18	30.52	30.56	30.42	30.56	77900
2023-04-19	30.52	30.53	30.42	30.49	128500
2023-04-20	30.46	30.49	30.38	30.46	155900
2023-04-21	30.48	30.49	30.38	30.47	222200
2023-04-24	30.45	30.50	30.39	30.48	148800
2023-04-25	30.33	30.49	30.28	30.49	130700
2023-04-26	30.29	30.39	30.25	30.36	422700
2023-04-27	30.51	30.52	30.32	30.41	187700
2023-04-28	30.60	30.62	30.44	30.52	298300
2023-05-01	30.61	30.65	30.55	30.61	152100
2023-05-02	30.49	30.61	30.39	30.61	214400
2023-05-03	30.45	30.56	30.42	30.55	455800
2023-05-04	30.37	30.44	30.31	30.44	69100
2023-05-05	30.51	30.59	30.41	30.51	49400
2023-05-08	30.55	30.61	30.47	30.61	54300
2023-05-09	30.52	30.58	30.46	30.58	51100
2023-05-10	30.58	30.63	30.44	30.63	49300
2023-05-11	30.59	30.59	30.50	30.57	32400
2023-05-12	30.50	30.65	30.46	30.65	31100
2023-05-15	30.59	30.62	30.49	30.51	50400
2023-05-16	30.55	30.63	30.54	30.60	18700
2023-05-17	30.70	30.70	30.53	30.62	18000
2023-05-18	30.79	30.79	30.62	30.69	42400
2023-05-19	30.73	30.82	30.70	30.78	82800
2023-05-22	30.77	30.80	30.71	30.79	45000
2023-05-23	30.64	30.76	30.59	30.74	32500
2023-05-24	30.58	30.61	30.52	30.59	48600
2023-05-25	30.64	30.68	30.59	30.59	150500
2023-05-26	30.77	30.81	30.61	30.61	24800
2023-05-30	30.81	30.84	30.75	30.84	70000
2023-05-31	30.79	30.80	30.66	30.77	33100
