Date	Close	High	Low	Open	Volume
	XPO	XPO	XPO	XPO	XPO
2003-10-07	1.73	1.85	1.70	1.85	36793
2003-10-08	1.73	1.73	1.70	1.73	7228
2003-10-09	1.73	1.73	1.70	1.70	20963
2003-10-10	1.80	1.80	1.73	1.73	5494
2003-10-13	1.84	1.85	1.77	1.80	20167
2003-10-14	1.80	1.80	1.80	1.80	361
2003-10-15	1.85	1.85	1.77	1.85	7228
2003-10-16	1.87	1.87	1.77	1.81	43154
2003-10-17	1.76	1.87	1.76	1.87	7156
2003-10-20	2.41	2.42	1.77	1.80	93175
2003-10-21	2.08	2.35	2.08	2.35	29275
2003-10-22	1.94	2.09	1.91	2.08	131197
2003-10-23	1.87	1.91	1.87	1.90	5783
2003-10-24	1.94	1.96	1.85	1.91	8746
2003-10-27	1.90	1.90	1.85	1.85	4337
2003-10-28	1.90	1.90	1.90	1.90	361
2003-10-29	1.90	1.92	1.90	1.90	69610
2003-10-30	2.28	2.42	1.87	1.88	32311
2003-10-31	2.14	2.28	2.08	2.14	6506
2003-11-03	1.99	2.08	1.94	2.08	15830
2003-11-04	1.94	1.94	1.94	1.94	361
2003-11-05	1.87	2.08	1.87	1.94	8385
2003-11-06	1.94	1.94	1.70	1.94	23059
2003-11-07	1.94	1.99	1.94	1.99	651
2003-11-10	1.94	1.94	1.94	1.94	723
2003-11-11	2.08	2.08	1.94	1.94	2385
2003-11-12	2.01	2.01	1.80	2.01	1012
2003-11-13	2.01	2.01	2.01	2.01	0
2003-11-14	1.80	1.80	1.80	1.80	578
2003-11-17	1.94	1.94	1.80	1.80	15035
2003-11-18	1.98	2.06	1.91	2.06	14240
2003-11-19	1.94	1.99	1.91	1.99	8385
2003-11-20	1.81	1.99	1.81	1.99	940
2003-11-21	1.80	1.80	1.80	1.80	145
2003-11-24	1.94	1.98	1.94	1.98	506
2003-11-25	1.80	1.80	1.80	1.80	1084
2003-11-26	1.80	1.80	1.80	1.80	1446
2003-11-28	1.80	1.80	1.80	1.80	723
2003-12-01	1.80	1.80	1.80	1.80	1807
2003-12-02	1.80	1.80	1.80	1.80	0
2003-12-03	1.80	1.80	1.80	1.80	0
2003-12-04	1.80	1.80	1.80	1.80	0
2003-12-05	1.80	1.80	1.80	1.80	0
2003-12-08	1.83	1.83	1.77	1.77	6361
2003-12-09	1.83	1.83	1.80	1.80	1590
2003-12-10	1.84	1.84	1.69	1.77	30504
2003-12-11	1.83	1.83	1.83	1.83	361
2003-12-12	1.83	1.84	1.83	1.83	6144
2003-12-15	1.87	1.90	1.87	1.88	3253
2003-12-16	1.87	1.87	1.87	1.87	723
2003-12-17	1.83	1.83	1.83	1.83	145
2003-12-18	1.83	1.83	1.83	1.83	0
2003-12-19	1.83	1.92	1.83	1.92	2964
2003-12-22	1.84	1.84	1.80	1.83	4337
2003-12-23	1.80	1.80	1.80	1.80	723
2003-12-24	1.80	1.80	1.80	1.80	0
2003-12-26	1.90	1.91	1.90	1.91	2891
2003-12-29	1.92	1.92	1.90	1.92	10264
2003-12-30	1.92	1.92	1.92	1.92	0
2003-12-31	1.91	1.91	1.91	1.91	723
2004-01-02	1.81	1.91	1.81	1.91	434
2004-01-05	1.81	1.84	1.81	1.81	2169
2004-01-06	1.87	1.87	1.52	1.87	292681
2004-01-07	2.08	2.17	1.80	1.80	106042
2004-01-08	2.86	3.18	2.10	2.19	376459
2004-01-09	2.86	3.06	2.81	2.91	180351
2004-01-12	3.18	3.18	3.04	3.04	130185
2004-01-13	3.13	3.33	3.04	3.29	63177
2004-01-14	3.09	3.14	3.09	3.14	35998
2004-01-15	3.25	3.31	3.09	3.09	29492
2004-01-16	3.28	3.31	3.18	3.25	28047
2004-01-20	3.28	3.39	3.25	3.25	36215
2004-01-21	3.21	3.32	3.17	3.21	28263
2004-01-22	2.97	3.18	2.97	3.17	24071
2004-01-23	2.77	2.97	2.77	2.84	35203
2004-01-26	3.02	3.02	2.77	2.77	58768
2004-01-27	3.17	3.18	2.96	3.04	69683
2004-01-28	3.79	3.98	3.11	3.11	132137
2004-01-29	3.74	3.76	3.46	3.60	58912
2004-01-30	3.79	3.87	3.67	3.76	13734
2004-02-02	3.76	3.79	3.61	3.79	15252
2004-02-03	3.74	3.87	3.71	3.71	35130
2004-02-04	3.74	3.85	3.67	3.85	4337
2004-02-05	3.67	3.79	3.67	3.74	15469
2004-02-06	3.60	3.67	3.60	3.60	3831
2004-02-09	3.65	3.67	3.60	3.62	20890
2004-02-10	3.65	3.67	3.60	3.65	19734
2004-02-11	3.65	3.65	3.53	3.53	4409
