Date	Open	High	Low	Close	Adj Close	Volume
2009-12-03	696.58	696.58	682.92	682.92		325.00
2009-12-04	726.79	726.79	660.90	677.46		625.00
2009-12-07	683.61	683.61	664.83	669.61		295.00
2009-12-08	657.15	657.15	629.16	642.13		350.00
2009-12-09	666.20	666.20	629.16	644.18		335.00
2009-12-10	657.15	657.15	645.03	652.03		610.00
2009-12-11	676.10	676.10	640.08	652.54		565.00
2009-12-14	670.12	681.05	660.05	675.41		845.00
2009-12-15	684.80	685.31	668.93	671.83		510.00
2009-12-16	666.88	681.56	666.88	674.22		540.00
2009-12-17	652.03	652.03	625.40	627.45		1390.00
2009-12-18	623.01	624.72	602.87	620.62		1345.00
2009-12-21	665.68	665.68	614.31	618.91		480.00
2009-12-22	665.68	680.87	558.15	598.09		1265.00
2009-12-23	602.87	624.21	602.87	623.01		1130.00
2009-12-24	646.91	646.91	631.89	634.45		805.00
2009-12-28	634.11	653.74	631.55	634.96		1210.00
2009-12-29	639.91	639.91	623.18	630.52		575.00
2009-12-30	624.72	631.03	623.52	630.35		440.00
2009-12-31	639.91	646.91	633.08	633.94		590.00
2010-01-04	657.15	695.21	651.35	695.21		1970.00
2010-01-05	730.03	746.08	715.87	743.52		4220.00
2010-01-06	770.83	787.38	751.03	768.10		4390.00
2010-01-07	771.00	771.00	733.96	745.22		2650.00
2010-01-08	752.22	758.54	734.47	756.49		1410.00
2010-01-11	773.56	853.44	768.10	778.00		3730.00
2010-01-12	780.90	797.63	717.06	729.69		3905.00
2010-01-13	694.87	723.72	687.02	719.79		2190.00
2010-01-14	738.91	746.08	720.47	721.16		2010.00
2010-01-15	715.35	716.89	682.75	686.51		2445.00
2010-01-19	691.97	700.16	675.58	698.11		2395.00
2010-01-20	670.46	670.46	632.74	638.89		4015.00
2010-01-21	634.96	634.96	581.36	585.63		3780.00
2010-01-22	581.36	583.75	536.47	539.37		4835.00
2010-01-25	567.20	574.37	546.20	554.91		1695.00
2010-01-26	519.40	539.55	512.06	522.31		3800.00
2010-01-27	522.82	526.91	490.73	509.16		5755.00
2010-01-28	534.25	535.79	492.26	503.36		2545.00
2010-01-29	510.87	521.96	477.93	485.95		4085.00
2010-02-01	500.80	525.72	498.41	524.18		3175.00
2010-02-02	533.57	555.76	526.74	549.96		3550.00
2010-02-03	557.64	574.02	553.03	560.03		2575.00
2010-02-04	533.91	534.42	480.49	482.88		4640.00
2010-02-05	480.66	481.68	445.15	480.66		5710.00
2010-02-08	481.34	487.83	464.61	466.49		3165.00
2010-02-09	498.24	508.48	483.39	497.21		3890.00
2010-02-10	504.72	521.11	487.14	508.48		2760.00
2010-02-11	512.06	552.52	495.00	550.30		4360.00
2010-02-12	529.13	548.59	512.24	536.81		2585.00
2010-02-16	556.27	569.93	546.88	567.03		4035.00
2010-02-17	580.34	582.90	565.32	570.10		2525.00
2010-02-18	552.86	576.93	552.86	576.93		2430.00
2010-02-19	541.93	559.86	537.67	550.47		5695.00
2010-02-22	569.24	569.24	551.83	552.69		1685.00
2010-02-23	550.47	561.73	533.57	538.52		2890.00
2010-02-24	546.20	560.54	546.20	555.08		2045.00
2010-02-25	520.60	557.47	520.43	554.74		1670.00
2010-02-26	560.88	590.41	560.88	588.87		2985.00
2010-03-01	613.11	613.11	597.58	606.80		2020.00
2010-03-02	623.87	623.87	599.29	602.70		2140.00
2010-03-03	597.41	607.31	580.34	589.90		2820.00
2010-03-04	580.34	590.75	568.22	578.29		1215.00
2010-03-05	588.87	613.97	588.87	609.36		2780.00
2010-03-08	614.48	631.55	614.31	624.04		2030.00
2010-03-09	619.43	640.25	612.09	629.16		1700.00
2010-03-10	621.48	647.76	621.48	640.25		2505.00
2010-03-11	634.79	646.23	623.01	645.03		2400.00
2010-03-12	658.17	658.17	639.91	644.86		1295.00
2010-03-15	628.99	638.54	616.87	630.18		1895.00
2010-03-16	630.18	633.25	623.01	633.25		1175.00
2010-03-17	647.76	657.15	643.49	646.23		2210.00
2010-03-18	655.44	655.44	640.08	644.86		800.00
2010-03-19	628.30	654.59	591.26	628.30		1345.00
2010-03-22	607.99	635.64	592.29	633.25		2980.00
2010-03-23	645.37	645.37	629.50	643.32		585.00
2010-03-24	628.99	632.23	622.16	628.82		1810.00
2010-03-25	631.55	635.81	604.92	607.65		1335.00
2010-03-26	618.06	642.64	616.87	631.03		4680.00
2010-03-29	648.61	662.78	642.64	661.76		2775.00
2010-03-30	674.22	681.05	665.00	677.80		3085.00
2010-03-31	681.73	681.73	658.86	663.98		1330.00
2010-04-01	681.05	702.38	681.05	692.82		2245.00
2010-04-05	709.72	720.65	703.24	718.26		3060.00
2010-04-06	725.25	725.42	711.77	720.99		1420.00
2010-04-07	731.06	732.59	705.45	714.33		1745.00
2010-04-08	704.43	733.96	690.77	730.20		2595.00
2010-04-09	746.93	759.22	746.25	759.22		3140.00
2010-04-12	751.88	758.88	742.83	746.25		3040.00
2010-04-13	742.15	744.71	726.96	743.86		1400.00
2010-04-14	757.51	767.58	750.34	765.71		2760.00
2010-04-15	772.19	772.36	757.86	766.90		1635.00
2010-04-16	749.83	749.83	686.17	699.31		4815.00
2010-04-19	664.32	687.87	650.32	683.44		4860.00
2010-04-20	699.99	725.25	699.99	720.30		2525.00
2010-04-21	733.79	733.79	691.29	703.06		1815.00
2010-04-22	682.75	713.82	670.97	710.75		1295.00
2010-04-23	709.04	727.47	692.31	725.42		1510.00
2010-04-26	733.96	751.03	725.77	727.98		1810.00
2010-04-27	703.06	731.23	663.98	669.95		2565.00
2010-04-28	682.92	700.33	659.37	675.58		2025.00
2010-04-29	679.51	706.82	679.51	703.06		2850.00
2010-04-30	716.89	732.08	692.31	692.82		1690.00
2010-05-03	688.04	709.72	688.04	706.65		1830.00
2010-05-04	693.16	693.16	625.74	634.11		4910.00
2010-05-05	614.48	631.20	586.14	606.45		2950.00
2010-05-06	592.29	603.04	477.93	528.62		8535.00
2010-05-07	537.67	567.03	493.80	531.35		9020.00
2010-05-10	594.51	625.06	594.51	625.06		4305.00
2010-05-11	568.73	618.74	568.73	599.97		2165.00
2010-05-12	609.36	623.69	604.24	621.99		1850.00
2010-05-13	636.67	639.57	606.97	611.75		1240.00
2010-05-14	576.41	582.39	545.35	569.07		3150.00
2010-05-17	554.91	561.39	510.19	541.76		3935.00
2010-05-18	576.24	576.24	517.53	525.55		3920.00
2010-05-19	530.33	530.33	478.61	505.24		6240.00
2010-05-20	488.17	488.17	438.67	443.79		4200.00
2010-05-21	434.74	489.02	420.75	489.02		4615.00
2010-05-24	528.96	528.96	495.85	495.85		4910.00
2010-05-25	439.86	476.05	421.94	476.05		6685.00
2010-05-26	501.31	504.55	469.39	470.59		4015.00
2010-05-27	518.21	539.89	498.75	538.69		6025.00
2010-05-28	550.13	561.56	512.06	526.40		4450.00
2010-06-01	504.21	534.77	477.93	491.24		2010.00
2010-06-02	504.55	528.79	487.14	528.79		1600.00
2010-06-03	537.67	554.74	510.19	528.45		1630.00
2010-06-04	485.95	515.99	477.93	482.88		2370.00
2010-06-07	483.05	495.00	454.88	454.88		1800.00
2010-06-08	462.22	476.22	450.28	473.15		1835.00
2010-06-09	495.00	513.09	474.51	480.66		3695.00
2010-06-10	521.96	535.45	505.24	534.77		3775.00
2010-06-11	508.48	549.27	508.31	549.10		2470.00
2010-06-14	555.93	579.49	547.74	547.74		4490.00
2010-06-15	556.44	599.29	556.44	596.55		2060.00
2010-06-16	594.34	610.04	577.95	600.14		2875.00
2010-06-17	603.89	605.77	569.59	581.88		2780.00
2010-06-18	573.34	585.63	571.63	582.90		1270.00
2010-06-21	658.86	658.86	617.38	628.99		5835.00
2010-06-22	634.23	634.23	589.34	593.80		3205.00
2010-06-23	588.83	614.18	583.52	608.02		2980.00
2010-06-24	594.65	599.79	573.24	577.35		2130.00
2010-06-25	572.38	602.02	567.41	601.33		2265.00
2010-06-28	605.79	609.90	591.06	596.37		1245.00
2010-06-29	548.40	549.42	505.40	509.34		8450.00
2010-06-30	530.41	538.97	510.19	514.30		5085.00
2010-07-01	524.24	524.75	484.84	519.44		4155.00
2010-07-02	518.59	532.81	508.99	522.18		2245.00
2010-07-06	544.11	556.79	513.96	525.95		3565.00
2010-07-07	539.15	558.85	518.59	558.85		3830.00
2010-07-08	554.39	560.39	539.15	559.70		2945.00
2010-07-09	569.13	582.49	558.68	582.49		2850.00
2010-07-12	579.58	585.57	558.50	565.87		2360.00
2010-07-13	579.92	581.80	571.52	578.89		2865.00
2010-07-14	567.76	568.44	553.54	563.47		1785.00
2010-07-15	549.08	549.42	527.50	547.54		4085.00
2010-07-16	531.09	535.72	513.96	515.33		2925.00
2010-07-19	538.80	538.80	517.22	531.61		2010.00
2010-07-20	521.16	567.93	521.16	562.79		4170.00
2010-07-21	576.66	580.78	548.57	553.02		5465.00
