Date	Close	High	Low	Open	Volume
	YMM	YMM	YMM	YMM	YMM
2021-06-23	20.42	20.90	18.51	19.54	13438500
2021-06-24	20.44	20.62	20.13	20.28	7022600
2021-06-25	19.18	20.49	19.18	20.44	2700300
2021-06-28	17.32	19.13	16.54	19.06	11270300
2021-06-29	15.70	17.22	14.95	17.22	9578800
2021-06-30	19.82	20.22	15.56	15.70	10052000
2021-07-01	18.09	18.99	17.13	18.93	3965400
2021-07-02	18.49	19.16	17.49	17.50	2948200
2021-07-06	17.26	17.31	14.48	14.79	24114200
2021-07-07	16.53	16.98	15.56	16.12	4527200
2021-07-08	14.71	16.10	14.50	15.93	6977000
2021-07-09	15.50	15.56	14.72	14.93	3046300
2021-07-12	15.34	15.65	15.00	15.41	2723400
2021-07-13	17.08	17.31	15.33	15.33	3171500
2021-07-14	17.03	17.57	16.68	16.68	3034600
2021-07-15	16.68	17.22	16.30	16.76	944800
2021-07-16	16.72	16.91	16.30	16.83	2212100
2021-07-19	15.85	16.39	15.65	16.08	2270800
2021-07-20	15.90	16.06	14.97	15.98	2022100
2021-07-21	16.10	16.28	15.70	15.88	1266800
2021-07-22	14.73	16.09	14.69	16.08	1145200
2021-07-23	10.55	14.25	10.50	14.01	10444300
2021-07-26	9.70	10.35	9.19	9.51	9049300
2021-07-27	8.46	9.43	7.73	9.40	10360400
2021-07-28	9.59	9.99	9.04	9.43	7192900
2021-07-29	10.09	10.60	9.41	10.48	8529900
2021-07-30	9.21	9.72	9.16	9.30	5454200
2021-08-02	11.38	11.60	9.40	9.57	2680500
2021-08-03	11.34	12.91	10.96	11.57	3010600
2021-08-04	12.18	12.83	11.26	11.32	1533100
2021-08-05	11.63	12.12	11.42	11.90	1414900
2021-08-06	12.11	12.47	11.79	11.96	1151300
2021-08-09	12.87	13.30	11.93	12.02	3068200
2021-08-10	13.63	14.01	13.42	13.64	5408400
2021-08-11	13.72	14.09	13.31	13.87	2564900
2021-08-12	12.16	13.61	11.81	13.36	2311600
2021-08-13	10.71	12.35	10.57	12.19	3268800
2021-08-16	10.20	10.56	10.06	10.56	2429900
2021-08-17	10.23	10.58	9.97	10.18	2235000
2021-08-18	10.69	10.95	10.31	10.31	2168400
2021-08-19	10.71	10.81	10.29	10.45	4496800
2021-08-20	12.33	12.67	10.92	10.93	5374300
2021-08-23	12.53	13.05	12.15	12.88	2676300
2021-08-24	14.23	14.71	13.05	13.06	5084400
2021-08-25	13.44	14.60	13.22	14.05	3040100
2021-08-26	13.95	14.35	13.61	13.61	1246100
2021-08-27	14.28	14.45	13.82	13.90	740600
2021-08-30	15.36	15.84	13.87	14.37	3615200
2021-08-31	15.63	15.93	15.03	15.87	2478000
2021-09-01	17.45	17.48	15.50	15.63	5537400
2021-09-02	17.68	17.84	16.73	17.53	4485600
2021-09-03	17.80	17.85	16.25	17.35	5510500
2021-09-07	17.73	18.74	17.24	18.08	4789300
2021-09-08	17.09	17.69	15.95	17.66	3841900
2021-09-09	17.42	17.54	16.19	16.19	1857700
2021-09-10	16.68	18.20	16.54	17.30	2263300
2021-09-13	15.61	16.88	15.27	16.73	1559700
2021-09-14	15.04	15.89	14.65	15.76	1210000
2021-09-15	15.62	15.80	14.11	14.85	2474100
2021-09-16	16.19	17.23	15.36	15.41	1960000
2021-09-17	15.62	16.58	15.16	16.32	1962900
2021-09-20	14.35	15.79	14.17	14.74	2586200
2021-09-21	14.99	15.35	14.58	14.93	1432400
2021-09-22	15.90	16.45	15.11	15.11	2513300
2021-09-23	16.32	16.53	15.76	16.16	1189600
2021-09-24	15.69	16.51	15.62	15.97	1419100
2021-09-27	15.56	15.90	14.88	15.48	1172200
2021-09-28	14.67	15.80	14.40	15.29	1309100
2021-09-29	14.64	15.39	14.49	14.70	991400
2021-09-30	14.91	15.13	14.66	14.72	1085800
2021-10-01	13.88	14.87	13.75	14.81	1154900
2021-10-04	13.61	14.11	13.32	13.69	2595300
2021-10-05	14.47	15.16	13.86	13.86	1669700
2021-10-06	14.63	14.76	13.96	14.08	1327700
2021-10-07	15.53	16.67	15.22	15.23	1739100
2021-10-08	15.99	16.53	15.58	16.04	1844500
2021-10-11	15.15	17.01	15.01	16.39	1789700
2021-10-12	13.81	15.39	13.78	15.39	2665400
2021-10-13	14.39	14.71	13.50	14.01	2377100
2021-10-14	13.60	14.74	13.46	14.74	2100800
2021-10-15	13.75	14.05	13.30	13.62	1438200
2021-10-18	13.98	14.47	13.47	13.60	2126900
2021-10-19	16.10	16.95	14.06	14.06	4608700
2021-10-20	16.39	17.06	16.16	16.52	2204100
2021-10-21	16.49	16.76	15.93	16.55	2211300
2021-10-22	16.00	16.82	15.48	16.28	1862600
2021-10-25	16.39	16.99	15.91	16.06	1473500
2021-10-26	14.98	16.91	14.76	16.47	3722000
2021-10-27	14.59	15.68	14.20	15.01	2341200
2021-10-28	14.33	14.72	14.10	14.37	1816100
2021-10-29	13.86	14.51	13.61	14.47	1741800
2021-11-01	15.66	15.79	13.92	13.92	2242400
2021-11-02	15.41	15.65	14.83	15.16	1440400
2021-11-03	14.87	14.97	14.11	14.57	1406600
2021-11-04	13.92	15.20	13.37	14.92	3736300
2021-11-05	13.57	14.57	13.42	14.03	2769200
2021-11-08	14.26	14.54	13.72	13.80	2003700
2021-11-09	15.09	15.73	14.19	14.40	2686100
2021-11-10	15.04	16.08	14.69	15.14	1876100
2021-11-11	16.03	16.59	15.77	15.98	2795300
2021-11-12	15.76	16.53	15.49	16.07	3590000
2021-11-15	15.39	16.32	15.30	15.80	1331100
2021-11-16	14.71	15.98	14.55	15.82	2336800
2021-11-17	14.42	14.93	14.12	14.78	1671300
2021-11-18	14.57	15.16	13.61	13.93	4237400
2021-11-19	13.63	14.93	13.30	14.57	4302800
2021-11-22	12.70	13.85	12.12	13.81	4064800
2021-11-23	12.04	13.03	11.80	12.98	2961800
2021-11-24	12.47	12.54	11.93	12.17	2527200
2021-11-26	12.51	12.62	11.47	11.65	3118600
2021-11-29	12.42	12.70	12.08	12.63	1178800
2021-11-30	12.16	12.91	11.84	12.29	2381300
2021-12-01	11.51	12.83	11.42	12.44	2489000
2021-12-02	11.56	12.32	10.96	11.65	4018900
2021-12-03	10.53	11.17	9.72	11.14	5537800
2021-12-06	10.64	10.69	9.94	10.31	4641400
2021-12-07	11.24	11.76	11.00	11.00	2032200
2021-12-08	10.84	11.19	10.43	11.18	2710000
2021-12-09	9.96	11.00	9.83	10.86	3383600
2021-12-10	11.45	11.53	10.10	10.10	12175600
2021-12-13	10.48	11.72	10.41	10.86	7153300
2021-12-14	10.57	10.75	9.91	10.27	7170100
2021-12-15	10.03	10.69	9.68	10.36	5765100
2021-12-16	9.86	10.71	9.55	10.45	5113700
